Date,Close,Volume
1981-12-31,5.3971,77575
1982-01-04,5.2874,37100
1982-01-05,5.1869,152977
1982-01-06,5.0135,141655
1982-01-07,4.9769,77332
1982-01-08,4.9495,72032
1982-01-11,4.7668,59745
1982-01-12,4.84,81908
1982-01-13,4.703,82875
1982-01-14,4.703,176107
1982-01-15,4.6024,64324
1982-01-18,4.6301,108651
1982-01-19,4.4565,76611
1982-01-20,4.2919,103111
1982-01-21,4.0727,183817
1982-01-22,3.9452,252958
1982-01-25,3.9452,382327
1982-01-26,3.7349,249342
1982-01-27,3.9087,176107
1982-01-28,4.3832,277528
1982-01-29,4.4931,241391
1982-02-01,4.4197,94919
1982-02-02,4.356,56615
1982-02-03,4.1823,55895
1982-02-04,4.2919,18549
1982-02-05,4.3194,65286
1982-02-08,4.1823,79260
1982-02-09,4.0455,51552
1982-02-10,4.146,42159
1982-02-11,4.0455,41436
1982-02-12,4.0727,21683
1982-02-16,4.0727,42400
1982-02-17,4.0093,46013
1982-02-18,4.0093,67215
1982-02-19,3.9452,26259
1982-02-22,3.8079,79260
1982-02-23,3.6345,357511
1982-02-24,3.7349,139249
1982-02-25,3.6621,125275
1982-02-26,3.7349,52036
1982-03-01,3.872,47459
1982-03-02,3.7349,134669
1982-03-03,3.4244,222120
1982-03-04,3.3882,143103
1982-03-05,3.5248,102386
1982-03-08,3.5248,184059
1982-03-09,3.4975,83836
1982-03-10,3.4975,60709
1982-03-11,3.5979,49628
1982-03-12,3.5248,16384
1982-03-15,3.4975,146232
1982-03-16,3.5248,218989
1982-03-17,3.4244,86249
1982-03-18,3.6345,104073
1982-03-19,3.6621,34690
1982-03-22,3.6983,57339
1982-03-23,3.5979,63601
1982-03-24,3.5979,67699
1982-03-25,3.7533,82391
1982-03-26,3.6802,68420
1982-03-29,3.8174,219470
1982-03-30,3.8898,117325
1982-03-31,3.8537,75887
1982-04-01,3.8174,108894
1982-04-02,4.0637,196821
1982-04-05,3.9999,51070
1982-04-06,4.2373,63359
1982-04-07,4.2007,39750
1982-04-08,4.137,70827
1982-04-12,4.0271,48905
1982-04-13,3.8898,76367
1982-04-14,3.7807,75650
1982-04-15,3.8537,25296
1982-04-16,3.9177,80461
1982-04-19,3.8537,34450
1982-04-20,3.9177,39750
1982-04-21,3.8174,78054
1982-04-22,3.8898,56374
1982-04-23,4.137,59020
1982-04-26,4.0637,25777
1982-04-27,4.0637,16138
1982-04-28,3.9541,27946
1982-04-29,3.9541,13733
1982-04-30,3.8898,32041
1982-05-03,3.9541,31559
1982-05-04,3.9541,41436
1982-05-05,4.0271,22405
1982-05-06,4.0271,60952
1982-05-07,4.137,101905
1982-05-10,4.1731,78538
1982-05-11,4.2373,55411
1982-05-12,4.4108,105518
1982-05-13,4.4108,180200
1982-05-14,4.3744,30837
1982-05-17,4.3012,19513
1982-05-18,4.2007,36135
1982-05-19,4.1731,28187
1982-05-20,4.0271,28669
1982-05-21,4.1003,62154
1982-05-24,4.0637,58300
1982-05-25,3.8174,142376
1982-05-26,3.8898,56132
1982-05-27,3.7807,50835
1982-05-28,3.8174,42159
1982-06-01,3.8537,28428
1982-06-02,3.7807,73717
1982-06-03,3.6802,86969
1982-06-04,3.4793,66975
1982-06-07,3.5064,91787
1982-06-08,3.4063,52517
1982-06-09,3.4428,62634
1982-06-10,3.3698,97327
1982-06-11,3.4793,158035
1982-06-14,3.4793,56615
1982-06-15,3.4793,39750
1982-06-16,3.3698,40474
1982-06-17,3.4793,88898
1982-06-18,3.3058,61912
1982-06-21,3.2691,58783
1982-06-22,3.1233,140452
1982-06-23,3.4063,166712
1982-06-24,3.3882,63601
1982-06-25,3.3152,67699
1982-06-28,3.4244,44325
1982-06-29,3.2782,30594
1982-06-30,3.3152,47940
1982-07-01,3.178,28669
1982-07-02,3.0046,86729
