Date,Close,Volume
2016-10-06,60.732,764634
2016-10-07,61.119,666400
2016-10-10,64.774,901750
2016-10-11,65.864,763918
2016-10-12,67.062,802068
2016-10-13,66.34,894605
2016-10-14,66.508,662811
2016-10-17,68.409,739318
2016-10-18,69.212,1203032
2016-10-19,70.49,1120193
2016-10-20,71.124,636278
2016-10-21,75.285,1451733
2016-10-24,74.789,570148
2016-10-25,74.967,519634
2016-10-26,74.541,329343
2016-10-27,72.728,565726
2016-10-28,72.462,845214
2016-10-31,72.688,212851
2016-11-01,72.708,531334
2016-11-02,72.204,465793
2016-11-03,70.609,368365
2016-11-04,67.36,534291
2016-11-07,67.36,392568
2016-11-08,70.846,890508
2016-11-09,78.246,2730676
2016-11-10,84.358,1373196
2016-11-11,83.992,1091911
2016-11-14,83.882,593049
2016-11-15,81.981,624884
2016-11-16,78.514,375036
2016-11-17,73.254,1450923
2016-11-18,71.986,409441
2016-11-21,71.074,555671
2016-11-22,76.592,673314
2016-11-23,77.86,538132
2016-11-25,74.749,186036
2016-11-28,75.453,482160
2016-11-29,75.115,484555
2016-11-30,77.295,642883
2016-12-01,76.988,428904
2016-12-02,78.572,255270
2016-12-05,81.723,1197584
2016-12-06,82.743,719231
2016-12-07,83.803,1013685
2016-12-08,82.011,1102019
2016-12-09,79.296,600732
2016-12-12,82.902,1147123
2016-12-13,81.019,855315
2016-12-14,78.484,815432
2016-12-15,79.514,1255593
2016-12-16,78.256,2189019
2016-12-19,79.078,221693
2016-12-20,82.268,504829
2016-12-21,80.138,205527
2016-12-22,76.721,486024
2016-12-23,77.652,209257
2016-12-27,78.424,204369
2016-12-28,78.355,199027
2016-12-29,77.394,241930
2016-12-30,77.315,337429
2017-01-03,74.284,458894
2017-01-04,74.432,355609
2017-01-05,74.066,350203
2017-01-06,71.58,444902
2017-01-09,70.025,355862
2017-01-10,71.312,680030
2017-01-11,74.541,689888
2017-01-12,75.333,364454
2017-01-13,74.274,236551
2017-01-17,72.352,425521
2017-01-18,72.312,233707
2017-01-19,71.53,286984
2017-01-20,72.808,248724
2017-01-23,73.184,147734
2017-01-24,74.165,737493
2017-01-25,73.749,598136
2017-01-26,73.036,427770
2017-01-27,72.956,296774
2017-01-30,71.619,261754
2017-01-31,71.312,238106
2017-02-01,71.798,280198
2017-02-02,72.858,439972
2017-02-03,71.223,415852
2017-02-06,70.252,358866
2017-02-07,70.064,853360
2017-02-08,68.182,1120128
2017-02-09,70.291,558562
2017-02-10,68.935,455050
2017-02-13,68.221,529161
2017-02-14,68.003,356012
2017-02-15,69.163,1139034
2017-02-16,71.431,660555
2017-02-17,75.373,987939
2017-02-21,73.303,810537
2017-02-22,73.095,252174
2017-02-23,72.422,516626
2017-02-24,71.312,584370
2017-02-27,71.817,314985
2017-02-28,71.183,548813
2017-03-01,73.987,550622
2017-03-02,70.827,437893
2017-03-03,71.044,301451
2017-03-06,71.778,425103
2017-03-07,68.449,583483
2017-03-08,66.23,789892
2017-03-09,65.696,1039070
2017-03-10,64.041,422773
2017-03-13,66.26,454084
2017-03-14,65.022,291998
2017-03-15,67.597,343865
2017-03-16,67.27,298324
2017-03-17,66.418,1795684
2017-03-20,65.418,367135
2017-03-21,64.834,514137
2017-03-22,66.28,358974
2017-03-23,64.289,868312
2017-03-24,64.16,262196
2017-03-27,67.112,782129
2017-03-28,68.35,560185
2017-03-29,68.677,353237
2017-03-30,68.261,341161
2017-03-31,68.291,312422
2017-04-03,70.896,1223313
2017-04-04,72.164,756572
2017-04-05,71.51,646274
2017-04-06,73.987,513641
2017-04-07,74.046,646346
2017-04-10,75.145,407217
2017-04-11,73.313,506528
2017-04-12,70.718,700474
2017-04-13,70.093,754448
2017-04-17,70.945,349244
2017-04-18,70.371,666773
2017-04-19,69.599,297002
2017-04-20,70.569,222556
2017-04-21,69.915,335633
2017-04-24,71.005,184265
2017-04-25,70.223,257002
2017-04-26,70.431,291349
2017-04-27,69.291,598940
2017-04-28,69.579,309561
2017-05-01,69.341,562485
2017-05-02,74.036,1469752
2017-05-03,71.896,611545
2017-05-04,69.341,585134
2017-05-05,70.262,261294
2017-05-08,70.975,249723
2017-05-09,71.223,188571
2017-05-10,71.51,255099
2017-05-11,72.045,289241
2017-05-12,72.718,165535
2017-05-15,71.847,237752
2017-05-16,73.462,243726
2017-05-17,72.362,218642
2017-05-18,72.244,298130
2017-05-19,72.194,277124
2017-05-22,71.183,241585
2017-05-23,72.302,202476
2017-05-24,72.262,145618
2017-05-25,71.144,344430
2017-05-26,71.94,183390
2017-05-30,70.069,322751
2017-05-31,70.447,911425
2017-06-01,71.054,365779
2017-06-02,69.362,632169
2017-06-05,69.74,283372
2017-06-06,69.7,273791
2017-06-07,67.53,230889
2017-06-08,68.864,358742
2017-06-09,69.72,290484
2017-06-12,70.238,331335
2017-06-13,70.049,588687
2017-06-14,68.834,391550
2017-06-15,64.673,619526
2017-06-16,63.409,752650
2017-06-19,62.513,591339
2017-06-20,60.642,388971
2017-06-21,62.015,761570
2017-06-22,62.215,1057475
2017-06-23,64.146,3230610
2017-06-26,64.703,664110
2017-06-27,64.484,568026
2017-06-28,66.435,564277
2017-06-29,67.59,420541
2017-06-30,67.988,396140
2017-07-03,68.466,196841
2017-07-05,69.581,345234
2017-07-06,68.436,330926
2017-07-07,69.322,562828
2017-07-10,70.069,361667
2017-07-11,72.627,636647
2017-07-12,73.144,528810
2017-07-13,73.702,306892
2017-07-14,74.21,487295
2017-07-17,73.841,390173
2017-07-18,74.339,377901
2017-07-19,74.727,346023
2017-07-20,75.553,287394
2017-07-21,75.175,210143
2017-07-24,74.857,478712
2017-07-25,75.892,477795
2017-07-26,75.762,596034
2017-07-27,72.079,542107
2017-07-28,72.985,174331
2017-07-31,75.723,436226
2017-08-01,77.126,411401
2017-08-02,76.897,302304
2017-08-03,74.229,281000
2017-08-04,75.265,305346
2017-08-07,76.161,284976
2017-08-08,76.628,275875
2017-08-09,76.19,227352
2017-08-10,75.703,361115
2017-08-11,74.866,276526
2017-08-14,74.886,242630
2017-08-15,74.239,283518
2017-08-16,73.941,600401
2017-08-17,73.463,240161
2017-08-18,74.349,371709
2017-08-21,75.374,208931
2017-08-22,76.29,229866
2017-08-23,77.305,356854
2017-08-24,75.115,349450
2017-08-25,76.22,354545
2017-08-28,76.28,284485
2017-08-29,77.07,354082
2017-08-30,76.55,294471
2017-08-31,79.87,515364
2017-09-01,80.11,572281
2017-09-05,76.72,351603
2017-09-06,78.22,374475
2017-09-07,78.11,290240
2017-09-08,76.5,382879
2017-09-11,75.45,458261
2017-09-12,75.05,470807
2017-09-13,76.04,392416
2017-09-14,76.97,307484
2017-09-15,75.3,360801
2017-09-18,74.24,246200
2017-09-19,72.53,404633
2017-09-20,72.89,353201
2017-09-21,71.55,395693
2017-09-22,71.15,476049
2017-09-25,73.18,420196
2017-09-26,73.84,356482
2017-09-27,73.62,352489
2017-09-28,72.18,238198
2017-09-29,71.74,322724
2017-10-02,73.19,252412
2017-10-03,72.8,379069
2017-10-04,72.11,250374
2017-10-05,72.99,221938
2017-10-06,71.14,366751
2017-10-09,70.36,405493
2017-10-10,71.19,378806
2017-10-11,70.62,211404
2017-10-12,70.68,292825
2017-10-13,69.39,458021
2017-10-16,71.24,283352
2017-10-17,72.87,408052
2017-10-18,72.91,329388
2017-10-19,75.01,362140
2017-10-20,75.43,278580
2017-10-23,74.19,367055
2017-10-24,74.91,229974
2017-10-25,73.96,230958
2017-10-26,72.01,342044
2017-10-27,72.3,321349
2017-10-30,71.8,342179
2017-10-31,76.42,1075013
2017-11-01,78.95,593288
2017-11-02,78.68,316914
2017-11-03,79.38,349474
2017-11-06,80.03,512868
2017-11-07,79.68,283023
2017-11-08,79.78,215630
2017-11-09,78.67,293474
2017-11-10,78.74,274952
