Date,Close,Volume
2016-11-01,18.641,18171522
2016-11-02,17.677,16614781
2016-11-03,17.233,8580317
2016-11-04,17.419,9595825
2016-11-07,17.085,9393390
2016-11-08,17.244,6599487
2016-11-09,17.361,7567800
2016-11-10,18.272,12549290
2016-11-11,18.678,5408091
2016-11-14,18.908,5344699
2016-11-15,19.72,4903767
2016-11-16,19.421,4190441
2016-11-17,19.314,4248417
2016-11-18,19.72,4904846
2016-11-21,19.987,3646595
2016-11-22,19.7,4854532
2016-11-23,20.086,3703136
2016-11-25,20.333,2600078
2016-11-28,19.957,4573716
2016-11-29,19.481,5937936
2016-11-30,19.095,6470847
2016-12-01,19.314,7907378
2016-12-02,19.501,3138085
2016-12-05,20.066,4598020
2016-12-06,20.126,4437530
2016-12-07,20.679,4542371
2016-12-08,20.709,3857546
2016-12-09,21.591,6389124
2016-12-12,21.373,5023811
2016-12-13,20.987,4553019
2016-12-14,20.551,5929209
2016-12-15,20.363,4656992
2016-12-16,20.066,16327119
2016-12-19,19.828,4551191
2016-12-20,19.907,3455619
2016-12-21,19.828,2941002
2016-12-22,19.877,3515860
2016-12-23,19.59,2166339
2016-12-27,19.59,2448118
2016-12-28,19.065,3257461
2016-12-29,18.522,4694603
2016-12-30,18.362,5102225
2017-01-03,19.005,4327102
2017-01-04,19.511,4477567
2017-01-05,19.907,5460182
2017-01-06,20.433,5587997
2017-01-09,20.194,4929212
2017-01-10,20.511,4353321
2017-01-11,20.897,4239984
2017-01-12,20.799,5602434
2017-01-13,20.927,4602050
2017-01-17,20.541,3073800
2017-01-18,20.679,2602310
2017-01-19,21.105,3719654
2017-01-20,21.086,5677702
2017-01-23,21.125,4222034
2017-01-24,21.957,8388372
2017-01-25,22.472,3839677
2017-01-26,22.642,3305740
2017-01-27,22.383,2716812
2017-01-30,22.284,3825431
2017-01-31,22.572,5703971
2017-02-01,25.104,16469858
2017-02-02,25.024,8138663
2017-02-03,25.719,6005657
2017-02-06,26.018,10320650
2017-02-07,26.435,7565350
2017-02-08,27.11,7719540
2017-02-09,27.765,9131996
2017-02-10,29.414,11619376
2017-02-13,29.443,10230478
2017-02-14,29.315,11965675
2017-02-15,29.006,5109259
2017-02-16,29.285,5067224
2017-02-17,29.702,4684211
2017-02-21,30.079,3909063
2017-02-22,30.336,4548176
2017-02-23,29.364,6998033
2017-02-24,29.115,4541584
2017-02-27,29.035,3088976
2017-02-28,28.589,4172329
2017-03-01,29.335,3643867
2017-03-02,28.341,3019677
2017-03-03,27.894,3670015
2017-03-06,27.507,3574614
2017-03-07,26.792,6305164
2017-03-08,26.663,4120719
2017-03-09,26.305,4058847
2017-03-10,26.643,3546765
2017-03-13,26.613,3197472
2017-03-14,26.484,1922141
2017-03-15,27.07,2289151
2017-03-16,27.13,2688390
2017-03-17,27.308,6036232
2017-03-20,27.676,3813302
2017-03-21,26.563,6453210
2017-03-22,26.315,3511058
2017-03-23,26.494,4026036
2017-03-24,26.494,2951788
2017-03-27,26.375,2842104
2017-03-28,26.852,2563855
2017-03-29,26.018,3248377
2017-03-30,26.375,2569644
2017-03-31,26.156,2531606
2017-04-03,25.998,2361869
2017-04-04,26.196,5325831
2017-04-05,25.709,3760868
2017-04-06,25.978,1597470
2017-04-07,26.226,1825235
2017-04-10,26.345,2633379
2017-04-11,26.405,3237930
2017-04-12,25.67,5474806
2017-04-13,25.719,4674598
2017-04-17,26.504,12721310
2017-04-18,25.62,9309665
2017-04-19,25.789,5143757
2017-04-20,25.928,2323813
2017-04-21,25.819,2998351
2017-04-24,25.918,4609337
2017-04-25,26.792,4995476
2017-04-26,27.308,5748521
2017-04-27,27.03,3667085
2017-04-28,27.14,4393160
2017-05-01,27.06,3245941
2017-05-02,26.96,2757534
2017-05-03,26.652,2585939
2017-05-04,26.493,2959731
2017-05-05,27.17,2382613
2017-05-08,26.95,1872198
2017-05-09,27.13,2120241
2017-05-10,27.15,2006589
2017-05-11,27.08,1900742
2017-05-12,27.568,2865841
2017-05-15,27.966,2989037
2017-05-16,27.279,2439009
2017-05-17,26.712,3395819
2017-05-18,26.792,1938184
2017-05-19,27.448,2017333
2017-05-22,27.498,2705296
2017-05-23,27.737,1991479
2017-05-24,27.946,1986107
2017-05-25,27.08,3012396
2017-05-26,27.289,2201759
2017-05-30,27.09,4135855
2017-05-31,27.339,8140822
2017-06-01,27.836,5672802
2017-06-02,28.026,2435453
2017-06-05,27.339,2587843
2017-06-06,27.339,1834054
2017-06-07,26.772,2869927
2017-06-08,27.319,1620856
2017-06-09,27.23,1992621
2017-06-12,26.692,2102168
2017-06-13,27.528,2253870
2017-06-14,26.772,2098537
2017-06-15,26.572,2895637
2017-06-16,26.304,3255039
2017-06-19,26.483,2444024
2017-06-20,26.284,1411648
2017-06-21,25.199,3189230
2017-06-22,25.18,2842710
2017-06-23,25.418,5150451
2017-06-26,23.896,20307781
2017-06-27,21.736,21224866
2017-06-28,22.99,10910797
2017-06-29,22.711,6054996
2017-06-30,22.542,7694543
2017-07-03,22.731,3399539
2017-07-05,22.88,5669982
2017-07-06,22.81,4465205
2017-07-07,23.02,3095104
2017-07-10,23.716,5433580
2017-07-11,23.906,4353641
2017-07-12,24.074,2803396
2017-07-13,24.334,4478830
2017-07-14,24.274,2636592
2017-07-17,24.831,4317499
2017-07-18,24.762,2819229
2017-07-19,25.0,2249548
2017-07-20,24.632,6033749
2017-07-21,25.09,3816280
2017-07-24,25.05,5714543
2017-07-25,25.796,4678507
2017-07-26,25.468,3019547
2017-07-27,25.0,3362007
2017-07-28,24.831,1890958
2017-07-31,24.672,2459327
2017-08-01,24.98,3258512
2017-08-02,24.821,5045462
2017-08-03,25.269,4907528
2017-08-04,25.07,2268511
2017-08-07,25.279,2884777
2017-08-08,24.93,3585274
2017-08-09,24.591,2578268
2017-08-10,23.963,2761258
2017-08-11,23.933,2306456
2017-08-14,24.501,1865723
2017-08-15,24.691,3094047
2017-08-16,24.781,3533544
