Date,Close,Volume
2005-02-25,8.62,134415
2005-02-28,8.42,136392
2005-03-01,8.29,139826
2005-03-02,8.26,73505
2005-03-03,8.11,60080
2005-03-04,7.81,220640
2005-03-07,7.3,281605
2005-03-08,7.21,209530
2005-03-09,7.42,286766
2005-03-10,7.24,114398
2005-03-11,7.42,224222
2005-03-14,7.95,205347
2005-03-15,7.87,127605
2005-03-16,7.77,170159
2005-03-17,7.58,156523
2005-03-18,7.64,418648
2005-03-21,7.51,155205
2005-03-22,7.39,82800
2005-03-23,7.49,238785
2005-03-24,7.51,172743
2005-03-28,7.35,237367
2005-03-29,6.8,169474
2005-03-30,6.89,185095
2005-03-31,7.01,290630
2005-04-01,6.32,262203
2005-04-04,6.19,193527
2005-04-05,6.25,75374
2005-04-06,6.24,126671
2005-04-07,6.32,77152
2005-04-08,6.43,453902
2005-04-11,6.28,248435
2005-04-12,6.34,240849
2005-04-13,6.26,82443
2005-04-14,6.28,182819
2005-04-15,6.45,130788
2005-04-18,6.24,172653
2005-04-19,6.59,158332
2005-04-20,6.42,108600
2005-04-21,6.47,166207
2005-04-22,6.38,91764
2005-04-25,6.52,80164
2005-04-26,6.56,131978
2005-04-27,6.5,70864
2005-04-28,6.25,119578
2005-04-29,6.22,165739
2005-05-02,6.33,266275
2005-05-03,6.4,299093
2005-05-04,6.34,161939
2005-05-05,6.33,151271
2005-05-06,6.26,102905
2005-05-09,6.74,341630
2005-05-10,7.06,297322
2005-05-11,6.55,495218
2005-05-12,6.62,349336
2005-05-13,6.57,159938
2005-05-16,6.57,130321
2005-05-17,6.43,99684
2005-05-18,6.4,229902
2005-05-19,6.58,204469
2005-05-20,6.75,80034
2005-05-23,6.53,84949
2005-05-24,6.36,79154
2005-05-25,6.09,165892
2005-05-26,6.2,95927
2005-05-27,6.23,144747
2005-05-31,6.24,153544
2005-06-01,6.26,180617
2005-06-02,6.16,42930
2005-06-03,6.15,153575
2005-06-06,6.18,140486
2005-06-07,6.15,132914
2005-06-08,5.91,182777
2005-06-09,5.99,124534
2005-06-10,5.9,143917
2005-06-13,5.85,94192
2005-06-14,5.85,111068
2005-06-15,5.86,228850
2005-06-16,6.12,196508
2005-06-17,6.26,195578
2005-06-20,6.31,106174
2005-06-21,6.25,161178
2005-06-22,6.1,134572
2005-06-23,5.81,178069
2005-06-24,5.9,276218
2005-06-27,5.67,153587
2005-06-28,5.75,179207
2005-06-29,6.13,257713
2005-06-30,6.3,244234
2005-07-01,6.32,99154
2005-07-05,6.5,142203
2005-07-06,6.44,132441
2005-07-07,6.59,164107
2005-07-08,6.76,105830
2005-07-11,6.99,184840
2005-07-12,6.96,121698
2005-07-13,6.98,82671
2005-07-14,7.0,76984
2005-07-15,7.26,208356
2005-07-18,7.07,73638
2005-07-19,7.21,52694
2005-07-20,7.77,183355
2005-07-21,7.61,118527
2005-07-22,7.28,206451
2005-07-25,6.94,116429
2005-07-26,6.96,92207
2005-07-27,6.86,139459
2005-07-28,6.99,104982
2005-07-29,6.76,91215
2005-08-01,6.98,87326
2005-08-02,7.0,72445
2005-08-03,6.97,20740
2005-08-04,6.51,119558
2005-08-05,6.48,89987
2005-08-08,6.32,80062
2005-08-09,6.35,61006
2005-08-10,6.31,78939
2005-08-11,6.46,93351
2005-08-12,6.32,112814
2005-08-15,6.42,61414
2005-08-16,6.19,88730
2005-08-17,6.07,94447
2005-08-18,6.23,119691
2005-08-19,6.18,30258
2005-08-22,6.25,24908
2005-08-23,6.04,124639
2005-08-24,5.99,43815
2005-08-25,6.18,65257
2005-08-26,6.02,84791
2005-08-29,6.07,261246
2005-08-30,6.16,87416
2005-08-31,6.6,117713
2005-09-01,7.0,140118
2005-09-02,6.81,89002
2005-09-06,6.94,150801
2005-09-07,7.11,130478
2005-09-08,7.2,122834
2005-09-09,7.27,112317
2005-09-12,7.16,157221
2005-09-13,7.23,156199
2005-09-14,7.07,44042
2005-09-15,7.08,43314
2005-09-16,7.13,189480
2005-09-19,7.03,125125
2005-09-20,7.13,141532
2005-09-21,6.78,93929
2005-09-22,6.95,97259
2005-09-23,6.99,69168
2005-09-26,7.0,119569
2005-09-27,6.9,69514
2005-09-28,6.86,86349
2005-09-29,6.9,77315
2005-09-30,7.18,130626
2005-10-03,7.04,115306
2005-10-04,7.19,317049
2005-10-05,6.99,254876
2005-10-06,6.71,106917
2005-10-07,6.58,226022
2005-10-10,6.64,39352
2005-10-11,6.44,104003
2005-10-12,6.27,301260
2005-10-13,6.8,606140
2005-10-14,7.07,147053
2005-10-17,7.19,173721
2005-10-18,7.09,71698
2005-10-19,7.31,168837
2005-10-20,7.15,37908
2005-10-21,6.92,213272
2005-10-24,7.0,108285
2005-10-25,7.0,83533
2005-10-26,6.87,81002
2005-10-27,6.47,110456
2005-10-28,6.82,137358
2005-10-31,7.1,138746
2005-11-01,6.82,63944
2005-11-02,7.0,79191
2005-11-03,7.0,92248
2005-11-04,7.0,63235
2005-11-07,7.05,97381
2005-11-08,7.1,66357
2005-11-09,7.15,157044
2005-11-10,7.47,218500
2005-11-11,7.34,117850
2005-11-14,6.87,156354
2005-11-15,6.96,136280
2005-11-16,6.8,109362
2005-11-17,7.03,109661
2005-11-18,7.01,375856
2005-11-21,7.13,151393
2005-11-22,7.15,162925
2005-11-23,7.1,55414
2005-11-25,7.01,21629
2005-11-28,6.63,129813
2005-11-29,6.6,202971
2005-11-30,6.72,210250
2005-12-01,6.71,160034
2005-12-02,6.79,56994
2005-12-05,6.67,68804
2005-12-06,6.71,67071
2005-12-07,6.55,99456
2005-12-08,6.64,97190
2005-12-09,6.88,70708
2005-12-12,6.88,70829
2005-12-13,6.88,67284
2005-12-14,6.9,51052
2005-12-15,6.98,105619
2005-12-16,7.01,262295
2005-12-19,6.89,140435
2005-12-20,6.89,91067
2005-12-21,6.85,104936
2005-12-22,7.03,174048
2005-12-23,6.99,63296
2005-12-27,6.83,111476
2005-12-28,6.8,67197
2005-12-29,6.83,67748
2005-12-30,7.01,144893
2006-01-03,7.08,318709
2006-01-04,7.01,169853
2006-01-05,6.99,43529
2006-01-06,7.3,188706
2006-01-09,7.22,332508
2006-01-10,7.14,319788
2006-01-11,7.03,167894
2006-01-12,7.04,210980
2006-01-13,7.29,139658
2006-01-17,7.09,82380
2006-01-18,7.03,124796
2006-01-19,7.45,287908
2006-01-20,7.27,89818
2006-01-23,7.5,208186
2006-01-24,7.46,182616
2006-01-25,7.84,292869
2006-01-26,7.98,311058
2006-01-27,7.9,195212
2006-01-30,7.71,142119
2006-01-31,7.77,304265
2006-02-01,7.78,286319
2006-02-02,7.83,189533
2006-02-03,8.05,155371
2006-02-06,8.1,71088
2006-02-07,8.08,147260
2006-02-08,8.21,115599
2006-02-09,8.12,97775
2006-02-10,8.2,170489
2006-02-13,8.14,132487
2006-02-14,8.31,124249
2006-02-15,8.74,211151
2006-02-16,8.81,216884
2006-02-17,9.42,561144
2006-02-21,8.9,321559
2006-02-22,9.23,184449
2006-02-23,9.14,331627
2006-02-24,9.25,210674
2006-02-27,9.26,173254
2006-02-28,9.05,141448
2006-03-01,9.35,270562
2006-03-02,9.19,140634
2006-03-03,9.09,381972
2006-03-06,9.32,155762
2006-03-07,9.5,245154
2006-03-08,9.61,124203
2006-03-09,9.59,136053
2006-03-10,9.67,171736
2006-03-13,9.5,203319
2006-03-14,9.2,192246
2006-03-15,9.23,61371
2006-03-16,9.07,91336
2006-03-17,9.54,426185
2006-03-20,9.63,103817
2006-03-21,9.36,273335
2006-03-22,9.43,192419
2006-03-23,9.44,199600
2006-03-24,9.48,50938
2006-03-27,9.43,58784
2006-03-28,9.35,96472
