,Date,Close
0,2005-02-25,13.97
1,2005-02-28,14.14
2,2005-03-01,14.52
3,2005-03-02,14.55
4,2005-03-03,14.32
5,2005-03-04,14.42
6,2005-03-07,14.43
7,2005-03-08,13.65
8,2005-03-09,13.43
9,2005-03-10,13.61
10,2005-03-11,13.95
11,2005-03-14,14.03
12,2005-03-15,14.47
13,2005-03-16,14.33
14,2005-03-17,14.31
15,2005-03-18,14.43
16,2005-03-21,14.79
17,2005-03-22,14.9
18,2005-03-23,14.95
19,2005-03-24,14.18
20,2005-03-28,14.57
21,2005-03-29,14.58
22,2005-03-30,14.85
23,2005-03-31,14.59
24,2005-04-01,14.55
25,2005-04-04,14.69
26,2005-04-05,14.47
27,2005-04-06,14.49
28,2005-04-07,14.54
29,2005-04-08,14.47
30,2005-04-11,14.59
31,2005-04-12,14.67
32,2005-04-13,14.34
33,2005-04-14,14.47
34,2005-04-15,14.43
35,2005-04-18,14.63
36,2005-04-19,14.77
37,2005-04-20,14.83
38,2005-04-21,15.07
39,2005-04-22,14.49
40,2005-04-25,14.99
41,2005-04-26,14.9
42,2005-04-27,14.82
43,2005-04-28,14.67
44,2005-04-29,14.8
45,2005-05-02,14.89
46,2005-05-03,14.83
47,2005-05-04,14.88
48,2005-05-05,14.7
49,2005-05-06,14.63
50,2005-05-09,14.89
51,2005-05-10,14.86
52,2005-05-11,16.14
53,2005-05-12,16.09
54,2005-05-13,15.79
55,2005-05-16,15.39
56,2005-05-17,15.21
57,2005-05-18,15.35
58,2005-05-19,15.29
59,2005-05-20,15.14
60,2005-05-23,15.73
61,2005-05-24,15.95
62,2005-05-25,15.89
63,2005-05-26,16.44
64,2005-05-27,16.72
65,2005-05-31,15.94
66,2005-06-01,16.25
67,2005-06-02,16.17
68,2005-06-03,16.27
69,2005-06-06,16.29
70,2005-06-07,16.26
71,2005-06-08,16.13
72,2005-06-09,16.05
73,2005-06-10,16.1
74,2005-06-13,16.01
75,2005-06-14,15.88
76,2005-06-15,16.69
77,2005-06-16,16.65
78,2005-06-17,16.79
79,2005-06-20,16.97
80,2005-06-21,17.01
81,2005-06-22,18.36
82,2005-06-23,17.47
83,2005-06-24,18.07
84,2005-06-27,17.99
85,2005-06-28,18.81
86,2005-06-29,19.33
87,2005-06-30,17.53
88,2005-07-01,17.28
89,2005-07-05,17.4
90,2005-07-06,16.87
91,2005-07-07,17.23
92,2005-07-08,17.33
93,2005-07-11,17.81
94,2005-07-12,17.53
95,2005-07-13,17.8
96,2005-07-14,17.95
97,2005-07-15,17.9
98,2005-07-18,17.55
99,2005-07-19,17.7
100,2005-07-20,18.57
101,2005-07-21,17.6
102,2005-07-22,18.62
103,2005-07-25,18.01
104,2005-07-26,18.53
105,2005-07-27,18.23
106,2005-07-28,18.04
107,2005-07-29,17.31
108,2005-08-01,18.05
109,2005-08-02,18.61
110,2005-08-03,18.11
