Date,Close,Volume
1998-01-29,2.41,2852800
1998-01-30,2.5,366400
1998-02-02,2.45,73600
1998-02-03,2.38,84000
1998-02-04,2.38,109600
1998-02-05,2.34,100800
1998-02-06,2.28,97600
1998-02-09,2.31,185600
1998-02-10,2.32,6400
1998-02-11,2.48,92800
1998-02-12,2.44,83200
1998-02-13,2.45,76800
1998-02-17,2.53,84000
1998-02-18,2.55,30400
1998-02-19,2.61,19200
1998-02-20,2.61,38400
1998-02-23,2.62,5600
1998-02-24,2.66,4800
1998-02-25,2.67,68800
1998-02-26,2.67,12800
1998-02-27,2.7,12000
1998-03-02,2.67,164000
1998-03-03,2.62,33600
1998-03-04,2.59,10400
1998-03-05,2.47,110400
1998-03-06,2.52,112800
1998-03-09,2.53,94400
1998-03-10,2.56,12800
1998-03-11,2.59,20000
1998-03-12,2.62,97600
1998-03-13,2.64,11200
1998-03-16,2.62,16800
1998-03-17,2.62,1600
1998-03-18,2.66,12800
1998-03-19,2.67,22400
1998-03-20,2.66,20800
1998-03-23,2.67,2400
1998-03-24,2.59,11200
1998-03-25,2.69,200000
1998-03-26,2.59,118400
1998-03-27,2.58,1600
1998-03-30,2.75,49600
1998-03-31,2.75,20800
1998-04-01,2.72,3200
1998-04-02,2.78,43200
1998-04-03,2.73,49600
1998-04-06,2.74,15200
1998-04-07,2.75,225600
1998-04-08,2.94,56800
1998-04-09,2.83,105600
1998-04-13,2.81,1600
1998-04-14,2.83,160000
1998-04-15,2.88,8000
1998-04-16,2.88,9600
1998-04-17,2.89,3200
1998-04-20,2.91,20800
1998-04-21,2.86,4800
1998-04-23,2.86,24000
1998-04-24,2.83,0
1998-04-27,2.83,15200
1998-04-29,2.81,0
1998-04-30,2.84,800
1998-05-01,2.83,30400
1998-05-04,3.0,56000
1998-05-05,2.98,3200
1998-05-06,3.03,35200
1998-05-07,3.06,9600
1998-05-08,3.16,7200
1998-05-11,3.25,60800
1998-05-12,3.38,124800
1998-05-13,3.33,4800
1998-05-14,3.31,8800
1998-05-15,3.2,16800
1998-05-18,3.2,3200
1998-05-19,3.21,59200
1998-05-21,3.2,1600
1998-05-22,3.2,0
1998-05-27,3.14,4000
1998-05-28,3.12,3200
1998-06-01,3.09,4800
1998-06-02,3.06,800
1998-06-03,3.06,0
1998-06-04,3.06,0
1998-06-05,3.0,183200
1998-06-08,2.91,10400
1998-06-09,2.94,4800
1998-06-10,2.84,16000
1998-06-11,2.84,2400
1998-06-12,2.84,22400
1998-06-15,2.88,98400
1998-06-16,2.88,32800
1998-06-17,3.02,30400
1998-06-19,3.0,40800
1998-06-22,3.0,0
1998-06-23,3.0,21600
1998-06-24,3.14,0
1998-06-25,3.06,18400
1998-06-26,3.16,16000
1998-06-29,3.06,4800
1998-06-30,3.06,0
1998-07-01,3.09,1600
1998-07-02,3.09,2400
1998-07-06,3.06,1600
1998-07-10,3.12,5600
1998-07-13,3.16,0
1998-07-15,3.14,16800
1998-07-16,3.27,16800
1998-07-17,3.31,20000
1998-07-20,3.31,12800
1998-07-21,3.25,28000
1998-07-22,3.23,800
1998-07-23,3.08,19200
1998-07-24,3.13,9600
1998-07-28,3.11,800
1998-07-29,3.28,5600
1998-07-30,3.12,5600
1998-07-31,3.11,0
1998-08-03,3.17,4800
1998-08-04,2.94,19200
1998-08-05,2.94,800
1998-08-06,2.95,43200
1998-08-07,3.03,4000
1998-08-10,3.03,1600
1998-08-11,2.94,8000
1998-08-12,2.94,2400
1998-08-13,2.94,28800
1998-08-14,2.94,40800
1998-08-17,2.94,1600
1998-08-18,3.0,3200
1998-08-19,2.94,7200
1998-08-20,2.96,1600
1998-08-21,2.94,4800
1998-08-24,2.88,5600
1998-08-26,2.88,3200
1998-08-27,2.79,22400
1998-08-28,2.79,20800
1998-08-31,2.75,27200
1998-09-01,2.56,49600
1998-09-02,2.75,40000
1998-09-03,2.69,1600
1998-09-04,2.73,3200
1998-09-08,2.73,7200
1998-09-09,2.8,12800
1998-09-10,2.84,9600
1998-09-11,2.79,28800
1998-09-14,2.83,25600
1998-09-15,2.84,13600
1998-09-16,2.88,1600
1998-09-17,2.86,2400
1998-09-21,2.84,1600
1998-09-23,2.86,155200
1998-09-24,2.86,2400
1998-09-25,2.75,8000
1998-09-28,2.72,3200
1998-09-29,2.73,44000
1998-09-30,2.73,30400
1998-10-01,2.62,35200
1998-10-02,2.53,0
1998-10-05,2.52,22400
1998-10-06,2.44,9600
1998-10-07,2.16,55200
1998-10-08,1.77,302400
1998-10-09,1.84,61600
1998-10-12,2.09,52000
1998-10-13,2.02,4800
1998-10-14,2.02,0
1998-10-15,2.66,31200
1998-10-16,2.72,8000
1998-10-19,2.89,22400
1998-10-20,2.81,10400
1998-10-21,2.78,0
1998-10-22,2.56,20800
1998-10-23,2.51,52800
1998-10-26,2.69,43200
1998-10-27,2.88,13600
1998-10-28,2.91,24800
1998-10-29,2.89,4000
1998-10-30,3.06,16000
1998-11-02,3.09,20000
1998-11-03,3.18,30400
1998-11-04,3.25,17600
1998-11-05,3.23,800
1998-11-06,3.27,1600
1998-11-09,3.27,9600
1998-11-10,3.38,33600
1998-11-11,3.44,2400
1998-11-12,3.31,0
1998-11-13,3.27,10400
1998-11-16,3.41,6400
1998-11-18,3.38,12800
1998-11-19,3.38,1600
1998-11-20,3.43,800
1998-11-23,3.42,3200
