Date,Close,Volume
2005-02-25,25.887,1566141
2005-02-28,25.833,3538691
2005-03-01,26.202,2333592
2005-03-02,26.045,3804199
2005-03-03,25.042,6515018
2005-03-04,25.21,2793926
2005-03-07,24.605,2400284
2005-03-08,24.351,1564886
2005-03-09,24.018,3134675
2005-03-10,23.893,2370869
2005-03-11,23.825,1935843
2005-03-14,23.773,1767350
2005-03-15,24.036,1901986
2005-03-16,23.928,1529088
2005-03-17,23.893,1742726
2005-03-18,24.078,2264508
2005-03-21,23.684,1948726
2005-03-22,23.807,2455686
2005-03-23,23.667,1989656
2005-03-24,23.711,1510739
2005-03-28,24.464,2312843
2005-03-29,24.22,1843847
2005-03-30,24.93,1628498
2005-03-31,24.788,1165654
2005-04-01,24.677,1380432
2005-04-04,24.561,1605812
2005-04-05,24.736,1893891
2005-04-06,24.983,1412123
2005-04-07,25.236,2267813
2005-04-08,25.052,1296073
2005-04-11,25.061,2005839
2005-04-12,25.175,1179106
2005-04-13,24.308,2198613
2005-04-14,23.255,3769997
2005-04-15,21.763,4479536
2005-04-18,23.054,3833382
2005-04-19,23.377,1903467
2005-04-20,22.604,1708185
2005-04-21,23.245,1792541
2005-04-22,22.641,1313285
2005-04-25,23.045,1460119
2005-04-26,23.359,1964227
2005-04-27,23.474,2129191
2005-04-28,22.761,1836208
2005-04-29,22.483,2971882
2005-05-02,23.026,1441421
2005-05-03,22.954,1396050
2005-05-04,23.263,1050857
2005-05-05,25.737,5709718
2005-05-06,25.291,2024989
2005-05-09,25.675,1362990
2005-05-10,25.641,1678999
2005-05-11,25.447,2079935
2005-05-12,25.394,2013363
2005-05-13,25.385,1421588
2005-05-16,25.973,1392402
2005-05-17,26.535,1353073
2005-05-18,27.193,2181402
2005-05-19,27.797,2382270
2005-05-20,27.578,1825148
2005-05-23,28.008,2901999
2005-05-24,27.851,2020431
2005-05-25,27.148,2022144
2005-05-26,27.386,2643904
2005-05-27,29.694,5736622
2005-05-31,30.009,1835864
2005-06-01,29.956,2280695
2005-06-02,30.116,2182083
2005-06-03,29.965,1425923
2005-06-06,30.157,966379
2005-06-07,30.736,2151760
2005-06-08,30.245,1833583
2005-06-09,29.956,1629866
2005-06-10,29.738,1436979
2005-06-13,30.051,1841223
2005-06-14,30.78,1331756
2005-06-15,30.825,1111276
2005-06-16,30.904,1012894
2005-06-17,30.834,2126339
2005-06-20,30.728,1414061
2005-06-21,30.843,1226760
2005-06-22,29.824,4584189
2005-06-23,29.158,2403815
2005-06-24,28.492,2537652
2005-06-27,28.727,1300975
2005-06-28,29.78,2273854
2005-06-29,30.561,1697353
2005-06-30,30.069,1742957
2005-07-01,30.481,1119600
2005-07-05,31.886,1464793
2005-07-06,31.534,2143096
2005-07-07,33.332,4246633
2005-07-08,33.325,1666576
2005-07-11,33.877,1545052
2005-07-12,34.202,1361166
2005-07-13,33.921,1195184
2005-07-14,33.395,1404370
2005-07-15,34.0,991692
2005-07-18,34.438,1873828
2005-07-19,34.851,1076278
2005-07-20,35.043,925686
2005-07-21,34.632,1747628
2005-07-22,35.001,988609
2005-07-25,34.78,1206123
2005-07-26,33.806,2162819
2005-07-27,34.519,1884656
2005-07-28,35.133,1820017
2005-07-29,35.182,1356494
2005-08-01,36.131,1541742
2005-08-02,35.869,1848063
2005-08-03,36.235,1498308
2005-08-04,34.105,7601097
2005-08-05,33.244,3190534
2005-08-08,33.376,1404261
2005-08-09,34.026,1406312
2005-08-10,34.403,1889328
2005-08-11,34.921,1301087
2005-08-12,35.008,992034
2005-08-15,34.913,869369
2005-08-16,33.357,2462637
