Date,Close,Volume
2013-10-17,55.0,6400
2013-10-18,54.0,2595
2013-10-21,52.99,1800
2013-10-22,53.5,4939
2013-10-23,53.5,200
2013-10-24,53.95,2700
2013-10-25,54.0,4985
2013-10-28,54.0,13533
2013-10-29,54.5,1650
2013-10-31,55.01,4300
2013-11-01,54.0,3600
2013-11-04,54.75,27887
2013-11-06,54.5,300
2013-11-07,53.0,525
2013-11-08,52.72,312
2013-11-12,52.39,1291
2013-11-13,52.27,100
2013-11-14,51.0,1100
2013-11-15,50.0,1315
2013-11-18,49.05,3066
2013-11-19,48.55,1000
2013-11-21,50.2,15086
2013-11-22,50.5,1500
2013-11-25,48.5,8272
2013-11-26,50.0,350
2013-11-27,48.75,100
2013-11-29,48.75,800
2013-12-02,50.0,28953
2013-12-03,50.0,11497
2013-12-04,50.0,1500
2013-12-05,50.0,900
2013-12-06,50.0,3000
2013-12-09,49.5,2345
2013-12-10,48.0,7927
2013-12-11,47.0,5750
2013-12-12,47.0,14383
2013-12-13,46.52,439299
2013-12-16,49.1,33470
2013-12-17,49.24,38022
2013-12-18,49.33,14452
2013-12-19,48.87,26434
2013-12-20,48.77,77271
2013-12-23,48.19,1962
2013-12-24,48.0,5458
2013-12-26,49.02,3664
2013-12-27,48.95,2097
2013-12-30,48.75,10025
2013-12-31,49.11,16474
2014-01-02,48.1,77513
2014-01-03,48.9,58153
2014-01-06,48.3,12274
2014-01-07,48.91,4642
2014-01-08,50.01,15431
2014-01-09,49.45,4432
2014-01-10,51.5,7990
2014-01-13,52.95,54360
2014-01-14,53.66,64820
2014-01-15,54.78,39980
2014-01-16,55.46,102885
2014-01-17,56.91,65343
2014-01-21,58.1,33755
2014-01-22,58.7,14456
2014-01-23,58.7,11203
2014-01-24,58.32,14639
2014-01-27,57.75,13398
2014-01-28,57.25,18955
2014-01-29,56.73,17901
2014-01-30,57.76,4678
2014-01-31,58.0,2091
2014-02-03,56.9,16713
2014-02-04,58.3,2777
2014-02-05,57.5,6942
2014-02-06,57.98,1784
2014-02-07,57.73,30048
2014-02-10,57.38,1570
2014-02-11,56.4,3930
2014-02-12,57.25,5910
2014-02-13,57.25,960
2014-02-14,57.09,1441
2014-02-18,57.24,6426
2014-02-19,57.44,13808
2014-02-20,57.69,68606
2014-02-21,57.49,3926
2014-02-24,57.5,25007
2014-02-25,56.99,578
2014-02-26,62.01,85172
2014-02-27,62.27,28716
2014-02-28,62.05,7776
2014-03-03,61.9,12309
2014-03-04,61.66,14924
2014-03-05,62.0,12768
2014-03-06,61.99,53528
2014-03-07,61.95,61601
2014-03-10,63.3,95443
2014-03-11,65.8,62638
2014-03-12,65.5,50134
2014-03-13,66.0,65817
2014-03-14,65.77,44101
2014-03-17,66.13,74325
2014-03-18,65.47,66586
2014-03-19,66.08,52824
2014-03-20,66.23,103741
2014-03-21,66.33,619133
2014-03-24,66.54,30638
2014-03-25,66.98,49720
2014-03-26,67.0,18300
2014-03-27,67.08,63379
2014-03-28,69.68,159684
2014-03-31,70.65,63444
2014-04-01,70.2,42811
2014-04-02,69.96,41439
2014-04-03,69.88,26374
2014-04-04,69.43,18921
2014-04-07,68.99,29046
2014-04-08,68.27,21935
2014-04-09,68.14,32073
2014-04-10,68.1,54736
2014-04-11,66.96,10357
2014-04-14,67.24,19088
2014-04-15,66.51,21791
2014-04-16,67.88,20649
2014-04-17,67.96,30013
2014-04-21,67.85,14788
2014-04-22,67.97,19832
2014-04-23,68.09,31799
2014-04-24,68.05,15716
2014-04-25,67.75,15554
2014-04-28,67.75,31317
2014-04-29,67.75,9269
2014-04-30,67.75,20294
2014-05-01,67.75,13024
2014-05-02,67.7,4947
2014-05-05,67.48,18560
2014-05-06,67.33,17228
2014-05-07,67.13,29048
2014-05-08,64.11,25811
2014-05-09,66.0,22267
2014-05-12,63.41,33904
2014-05-13,63.48,16335
2014-05-14,62.44,12313
2014-05-15,61.47,12613
2014-05-16,61.24,22177
2014-05-19,61.31,25858
2014-05-20,63.37,39764
2014-05-21,63.99,40618
2014-05-22,63.21,31286
2014-05-23,63.04,24674
2014-05-27,63.2,30414
2014-05-28,63.83,29390
2014-05-29,63.85,52718
2014-05-30,64.0,34697
2014-06-02,63.95,23120
2014-06-03,64.48,48544
2014-06-04,64.0,49582
2014-06-05,64.48,49003
2014-06-06,64.68,38029
2014-06-09,64.74,32836
2014-06-10,65.08,41100
2014-06-11,66.3,41359
2014-06-12,66.42,57113
2014-06-13,68.27,58684
2014-06-16,68.45,72857
2014-06-17,68.9,79567
2014-06-18,66.74,102422
2014-06-19,66.99,82136
2014-06-20,67.34,231963
2014-06-23,67.8,79034
2014-06-24,66.63,72742
2014-06-25,68.42,105129
2014-06-26,67.26,87250
2014-06-27,66.2,1243493
2014-06-30,66.16,94839
2014-07-01,65.3,82876
2014-07-02,64.68,64800
2014-07-03,64.85,23196
2014-07-07,64.59,33251
2014-07-08,64.75,44864
2014-07-09,64.46,15253
2014-07-10,63.26,22915
2014-07-11,63.49,22920
2014-07-14,64.28,23874
2014-07-15,64.5,60216
2014-07-16,63.1,37178
2014-07-17,60.92,56163
2014-07-18,62.2,70135
2014-07-21,62.24,28835
2014-07-22,62.2,13922
2014-07-23,62.25,26208
2014-07-24,62.21,29976
2014-07-25,62.06,41506
2014-07-28,62.21,77373
2014-07-29,61.93,25349
2014-07-30,62.22,53084
2014-07-31,62.0,78895
