,Date,Close
0,2005-02-25,4.84
1,2005-02-28,4.68
2,2005-03-01,4.74
3,2005-03-02,4.58
4,2005-03-03,4.43
5,2005-03-04,4.64
6,2005-03-07,4.68
7,2005-03-08,4.63
8,2005-03-09,4.64
9,2005-03-10,4.66
10,2005-03-11,4.64
11,2005-03-14,4.62
12,2005-03-15,4.6
13,2005-03-16,4.74
14,2005-03-17,4.72
15,2005-03-18,4.65
16,2005-03-21,4.54
17,2005-03-22,4.4
18,2005-03-23,4.37
19,2005-03-24,4.44
20,2005-03-28,4.45
21,2005-03-29,4.33
22,2005-03-30,4.54
23,2005-03-31,4.52
24,2005-04-01,4.3
25,2005-04-04,4.17
26,2005-04-05,4.12
27,2005-04-06,4.14
28,2005-04-07,4.16
29,2005-04-08,4.1
30,2005-04-11,3.92
31,2005-04-12,3.96
32,2005-04-13,3.92
33,2005-04-14,3.92
34,2005-04-15,3.93
35,2005-04-18,3.87
36,2005-04-19,3.9
37,2005-04-20,3.83
38,2005-04-21,3.94
39,2005-04-22,3.88
40,2005-04-25,4.44
41,2005-04-26,4.16
42,2005-04-27,4.25
43,2005-04-28,4.17
44,2005-04-29,4.21
45,2005-05-02,4.34
46,2005-05-03,4.75
47,2005-05-04,4.75
48,2005-05-05,4.53
49,2005-05-06,4.7
50,2005-05-09,4.75
51,2005-05-10,4.5
52,2005-05-11,4.52
53,2005-05-12,4.5
54,2005-05-13,4.78
55,2005-05-16,4.9
56,2005-05-17,4.93
57,2005-05-18,4.93
58,2005-05-19,5.17
59,2005-05-20,5.33
60,2005-05-23,5.41
61,2005-05-24,5.3
62,2005-05-25,5.17
63,2005-05-26,5.19
64,2005-05-27,5.21
65,2005-05-31,5.18
66,2005-06-01,5.27
67,2005-06-02,5.43
68,2005-06-03,5.4
69,2005-06-06,5.39
70,2005-06-07,5.57
71,2005-06-08,5.47
72,2005-06-09,5.61
73,2005-06-10,5.52
74,2005-06-13,5.62
75,2005-06-14,5.63
76,2005-06-15,5.52
77,2005-06-16,5.59
78,2005-06-17,5.45
79,2005-06-20,5.43
80,2005-06-21,5.43
81,2005-06-22,5.45
82,2005-06-23,5.35
83,2005-06-24,5.21
84,2005-06-27,5.09
85,2005-06-28,5.37
86,2005-06-29,5.31
87,2005-06-30,5.31
88,2005-07-01,5.27
89,2005-07-05,5.37
90,2005-07-06,5.39
91,2005-07-07,5.37
92,2005-07-08,5.63
93,2005-07-11,5.98
94,2005-07-12,5.94
95,2005-07-13,6.2
96,2005-07-14,6.2
97,2005-07-15,6.06
98,2005-07-18,6.13
99,2005-07-19,6.3
100,2005-07-20,6.42
101,2005-07-21,7.25
102,2005-07-22,7.43
103,2005-07-25,7.49
104,2005-07-26,7.51
105,2005-07-27,7.42
106,2005-07-28,7.57
107,2005-07-29,7.47
108,2005-08-01,7.75
109,2005-08-02,7.9
110,2005-08-03,7.79
111,2005-08-04,7.66
112,2005-08-05,7.58
113,2005-08-08,7.39
114,2005-08-09,7.46
115,2005-08-10,7.46
116,2005-08-11,7.54
117,2005-08-12,7.27
118,2005-08-15,7.47
119,2005-08-16,7.38
120,2005-08-17,7.64
121,2005-08-18,7.51
122,2005-08-19,7.4
123,2005-08-22,7.62
124,2005-08-23,7.74
125,2005-08-24,7.73
126,2005-08-25,7.93
127,2005-08-26,7.77
128,2005-08-29,7.77
129,2005-08-30,7.72
130,2005-08-31,7.9
131,2005-09-01,7.51
132,2005-09-02,7.53
133,2005-09-06,7.62
134,2005-09-07,7.71
135,2005-09-08,7.69
136,2005-09-09,7.73
137,2005-09-12,7.73
138,2005-09-13,7.71
139,2005-09-14,7.67
140,2005-09-15,7.66
141,2005-09-16,7.7
142,2005-09-19,7.78
143,2005-09-20,7.57
144,2005-09-21,7.1
145,2005-09-22,6.9
146,2005-09-23,7.12
147,2005-09-26,7.19
148,2005-09-27,7.2
149,2005-09-28,7.2
150,2005-09-29,7.31
151,2005-09-30,7.59
152,2005-10-03,7.61
153,2005-10-04,7.56
154,2005-10-05,7.26
155,2005-10-06,7.09
156,2005-10-07,7.03
157,2005-10-10,6.98
158,2005-10-11,6.66
159,2005-10-12,6.75
160,2005-10-13,6.69
161,2005-10-14,6.75
162,2005-10-17,6.71
163,2005-10-18,6.53
164,2005-10-19,6.88
165,2005-10-20,6.41
166,2005-10-21,6.44
167,2005-10-24,6.66
168,2005-10-25,6.55
169,2005-10-26,6.55
170,2005-10-27,6.35
171,2005-10-28,6.49
172,2005-10-31,6.56
173,2005-11-01,6.5
174,2005-11-02,6.71
175,2005-11-03,7.09
176,2005-11-04,7.37
177,2005-11-07,7.49
178,2005-11-08,7.03
179,2005-11-09,7.29
180,2005-11-10,7.27
181,2005-11-11,7.32
182,2005-11-14,7.36
183,2005-11-15,7.17
184,2005-11-16,7.3
185,2005-11-17,7.39
186,2005-11-18,7.52
187,2005-11-21,7.71
188,2005-11-22,7.66
189,2005-11-23,7.65
190,2005-11-25,7.65
191,2005-11-28,7.49
192,2005-11-29,7.41
193,2005-11-30,7.56
194,2005-12-01,7.6
195,2005-12-02,7.52
196,2005-12-05,7.58
197,2005-12-06,7.54
198,2005-12-07,7.24
199,2005-12-08,7.03
200,2005-12-09,7.07
201,2005-12-12,6.99
202,2005-12-13,6.91
203,2005-12-14,6.63
204,2005-12-15,6.51
205,2005-12-16,6.61
206,2005-12-19,6.56
207,2005-12-20,6.71
208,2005-12-21,6.81
209,2005-12-22,6.89
210,2005-12-23,6.88
211,2005-12-27,6.86
212,2005-12-28,6.88
213,2005-12-29,6.86
214,2005-12-30,6.68
215,2006-01-03,6.92
216,2006-01-04,7.07
217,2006-01-05,7.23
218,2006-01-06,7.25
219,2006-01-09,7.55
220,2006-01-10,7.59
221,2006-01-11,7.84
222,2006-01-12,8.21
223,2006-01-13,7.98
224,2006-01-17,7.98
225,2006-01-18,8.32
226,2006-01-19,8.34
227,2006-01-20,8.11
228,2006-01-23,7.99
229,2006-01-24,8.13
230,2006-01-25,8.05
231,2006-01-26,8.28
232,2006-01-27,8.26
233,2006-01-30,8.15
234,2006-01-31,8.47
235,2006-02-01,8.49
236,2006-02-02,8.33
237,2006-02-03,8.31
238,2006-02-06,8.28
239,2006-02-07,8.08
240,2006-02-08,8.29
241,2006-02-09,8.43
242,2006-02-10,8.22
243,2006-02-13,8.03
244,2006-02-14,8.14
245,2006-02-15,8.25
246,2006-02-16,8.37
247,2006-02-17,8.39
248,2006-02-21,7.99
249,2006-02-22,8.04
250,2006-02-23,7.8
251,2006-02-24,7.73
252,2006-02-27,7.79
253,2006-02-28,7.59
254,2006-03-01,8.06
255,2006-03-02,8.26
256,2006-03-03,8.26
257,2006-03-06,7.88
258,2006-03-07,7.62
259,2006-03-08,7.74
260,2006-03-09,7.71
261,2006-03-10,7.66
262,2006-03-13,7.7
263,2006-03-14,7.93
264,2006-03-15,7.85
265,2006-03-16,7.9
266,2006-03-17,7.83
267,2006-03-20,7.72
268,2006-03-21,7.82
269,2006-03-22,8.07
270,2006-03-23,8.44
271,2006-03-24,8.61
272,2006-03-27,8.4
273,2006-03-28,8.1
274,2006-03-29,8.44
275,2006-03-30,8.38
276,2006-03-31,8.48
277,2006-04-03,8.31
278,2006-04-04,8.31
279,2006-04-05,8.41
280,2006-04-06,8.41
281,2006-04-07,8.3
282,2006-04-10,8.44
283,2006-04-11,8.35
284,2006-04-12,8.33
285,2006-04-13,8.35
286,2006-04-17,8.22
287,2006-04-18,8.58
288,2006-04-19,8.61
289,2006-04-20,9.05
290,2006-04-21,8.97
291,2006-04-24,8.79
292,2006-04-25,9.1
293,2006-04-26,8.65
294,2006-04-27,9.5
295,2006-04-28,9.45
296,2006-05-01,9.42
297,2006-05-02,10.0
298,2006-05-03,10.11
299,2006-05-04,10.22
300,2006-05-05,10.0
301,2006-05-08,9.61
302,2006-05-09,9.77
303,2006-05-10,9.69
304,2006-05-11,9.28
305,2006-05-12,9.05
306,2006-05-15,8.81
307,2006-05-16,8.81
308,2006-05-17,8.58
309,2006-05-18,8.28
310,2006-05-19,8.51
311,2006-05-22,8.18
312,2006-05-23,8.48
313,2006-05-24,8.38
314,2006-05-25,8.47
315,2006-05-26,8.38
316,2006-05-30,7.93
317,2006-05-31,8.18
318,2006-06-01,8.47
319,2006-06-02,8.32
320,2006-06-05,8.06
321,2006-06-06,7.91
322,2006-06-07,7.73
323,2006-06-08,7.83
324,2006-06-09,7.78
325,2006-06-12,7.5
326,2006-06-13,7.3
327,2006-06-14,7.43
328,2006-06-15,7.86
329,2006-06-16,7.45
330,2006-06-19,7.51
331,2006-06-20,7.6
332,2006-06-21,7.7
333,2006-06-22,7.63
334,2006-06-23,7.6
335,2006-06-26,7.8
336,2006-06-27,7.32
337,2006-06-28,7.32
338,2006-06-29,8.09
339,2006-06-30,8.14
340,2006-07-03,8.14
341,2006-07-05,7.72
342,2006-07-06,7.62
343,2006-07-07,7.47
344,2006-07-10,7.39
345,2006-07-11,7.74
346,2006-07-12,7.32
347,2006-07-13,7.25
348,2006-07-14,7.17
349,2006-07-17,7.14
350,2006-07-18,6.96
351,2006-07-19,7.37
352,2006-07-20,7.07
353,2006-07-21,6.6
354,2006-07-24,6.93
355,2006-07-25,6.89
356,2006-07-26,6.87
357,2006-07-27,6.79
358,2006-07-28,7.17
359,2006-07-31,6.97
360,2006-08-01,6.56
361,2006-08-02,6.57
362,2006-08-03,6.45
363,2006-08-04,6.28
364,2006-08-07,5.94
365,2006-08-08,6.18
366,2006-08-09,6.35
367,2006-08-10,6.5
368,2006-08-11,6.38
369,2006-08-14,6.58
370,2006-08-15,6.82
371,2006-08-16,7.01
372,2006-08-17,7.14
373,2006-08-18,7.09
374,2006-08-21,6.95
375,2006-08-22,6.89
376,2006-08-23,6.85
377,2006-08-24,6.81
378,2006-08-25,6.78
379,2006-08-28,7.01
380,2006-08-29,6.99
381,2006-08-30,7.13
382,2006-08-31,7.32
383,2006-09-01,7.38
384,2006-09-05,7.39
385,2006-09-06,6.96
386,2006-09-07,6.82
387,2006-09-08,6.72
388,2006-09-11,6.81
389,2006-09-12,7.46
390,2006-09-13,7.59
391,2006-09-14,7.52
392,2006-09-15,7.53
393,2006-09-18,7.51
394,2006-09-19,7.37
395,2006-09-20,7.24
396,2006-09-21,7.12
397,2006-09-22,7.0
398,2006-09-25,7.13
399,2006-09-26,7.06
400,2006-09-27,7.14
401,2006-09-28,7.23
402,2006-09-29,7.29
403,2006-10-02,7.19
404,2006-10-03,7.11
405,2006-10-04,7.34
406,2006-10-05,7.25
407,2006-10-06,7.2
408,2006-10-09,7.24
409,2006-10-10,7.18
410,2006-10-11,7.18
411,2006-10-12,7.32
412,2006-10-13,7.52
413,2006-10-16,7.58
414,2006-10-17,7.5
415,2006-10-18,7.25
416,2006-10-19,7.14
417,2006-10-20,6.98
418,2006-10-23,6.99
419,2006-10-24,6.68
420,2006-10-25,6.92
421,2006-10-26,7.03
422,2006-10-27,6.9
423,2006-10-30,7.21
424,2006-10-31,7.06
425,2006-11-01,6.77
426,2006-11-02,6.92
427,2006-11-03,6.96
428,2006-11-06,7.06
429,2006-11-07,7.3
430,2006-11-08,7.39
431,2006-11-09,7.08
432,2006-11-10,7.24
433,2006-11-13,7.09
434,2006-11-14,7.22
435,2006-11-15,7.25
436,2006-11-16,7.19
437,2006-11-17,7.1
438,2006-11-20,7.18
439,2006-11-21,7.07
440,2006-11-22,7.15
441,2006-11-24,7.09
442,2006-11-27,6.91
443,2006-11-28,6.92
444,2006-11-29,6.94
445,2006-11-30,6.97
446,2006-12-01,6.97
447,2006-12-04,7.08
448,2006-12-05,7.2
449,2006-12-06,7.15
450,2006-12-07,7.02
451,2006-12-08,6.98
452,2006-12-11,6.95
453,2006-12-12,6.87
454,2006-12-13,6.9
455,2006-12-14,6.99
456,2006-12-15,6.91
457,2006-12-18,6.88
458,2006-12-19,6.84
459,2006-12-20,6.94
460,2006-12-21,6.99
461,2006-12-22,6.95
462,2006-12-26,6.91
463,2006-12-27,6.99
464,2006-12-28,6.92
465,2006-12-29,6.88
466,2007-01-03,6.99
467,2007-01-04,7.19
468,2007-01-05,7.3
469,2007-01-08,7.3
470,2007-01-09,7.3
471,2007-01-10,7.52
472,2007-01-11,7.82
473,2007-01-12,7.86
474,2007-01-16,8.06
475,2007-01-17,8.1
476,2007-01-18,7.84
477,2007-01-19,7.78
478,2007-01-22,7.54
479,2007-01-23,7.5
480,2007-01-24,7.56
481,2007-01-25,7.4
482,2007-01-26,7.47
483,2007-01-29,7.36
484,2007-01-30,7.43
485,2007-01-31,7.42
486,2007-02-01,7.88
487,2007-02-02,7.91
488,2007-02-05,7.8
489,2007-02-06,7.84
490,2007-02-07,7.82
491,2007-02-08,7.98
492,2007-02-09,8.01
493,2007-02-12,7.9
494,2007-02-13,8.03
495,2007-02-14,8.24
496,2007-02-15,8.17
497,2007-02-16,8.06
498,2007-02-20,8.26
499,2007-02-21,8.27
500,2007-02-22,8.5
501,2007-02-23,8.91
502,2007-02-26,8.93
503,2007-02-27,8.68
504,2007-02-28,8.67
505,2007-03-01,8.46
506,2007-03-02,8.42
507,2007-03-05,8.4
508,2007-03-06,8.54
509,2007-03-07,8.41
510,2007-03-08,8.16
511,2007-03-09,8.12
512,2007-03-12,8.17
513,2007-03-13,8.03
514,2007-03-14,7.96
515,2007-03-15,7.99
516,2007-03-16,7.85
517,2007-03-19,7.81
518,2007-03-20,7.87
519,2007-03-21,7.99
520,2007-03-22,7.95
521,2007-03-23,7.99
522,2007-03-26,7.89
523,2007-03-27,7.84
524,2007-03-28,7.73
525,2007-03-29,7.54
526,2007-03-30,7.66
527,2007-04-02,7.55
528,2007-04-03,7.68
529,2007-04-04,7.59
530,2007-04-05,7.73
531,2007-04-09,7.56
532,2007-04-10,7.63
533,2007-04-11,7.58
534,2007-04-12,7.65
535,2007-04-13,7.65
536,2007-04-16,7.84
537,2007-04-17,7.8
538,2007-04-18,8.04
539,2007-04-19,8.28
540,2007-04-20,8.41
541,2007-04-23,8.45
542,2007-04-24,8.68
543,2007-04-25,8.76
544,2007-04-26,8.81
545,2007-04-27,8.6
546,2007-04-30,8.28
547,2007-05-01,8.34
548,2007-05-02,8.56
549,2007-05-03,8.54
550,2007-05-04,8.75
551,2007-05-07,8.54
552,2007-05-08,8.63
553,2007-05-09,8.63
554,2007-05-10,7.38
555,2007-05-11,7.26
556,2007-05-14,7.24
557,2007-05-15,7.14
558,2007-05-16,7.33
559,2007-05-17,7.38
560,2007-05-18,7.6
561,2007-05-21,7.84
562,2007-05-22,7.89
563,2007-05-23,7.76
564,2007-05-24,7.57
565,2007-05-25,7.53
566,2007-05-29,7.51
567,2007-05-30,7.44
568,2007-05-31,7.74
569,2007-06-01,8.0
570,2007-06-04,7.83
571,2007-06-05,7.85
572,2007-06-06,7.87
573,2007-06-07,7.83
574,2007-06-08,8.0
575,2007-06-11,7.9
576,2007-06-12,7.95
577,2007-06-13,8.03
578,2007-06-14,8.11
579,2007-06-15,8.11
580,2007-06-18,8.07
581,2007-06-19,8.05
582,2007-06-20,8.01
583,2007-06-21,8.27
584,2007-06-22,8.24
585,2007-06-25,8.2
586,2007-06-26,8.17
587,2007-06-27,8.34
588,2007-06-28,8.32
589,2007-06-29,8.3
590,2007-07-02,8.38
591,2007-07-03,8.35
592,2007-07-05,8.48
593,2007-07-06,8.6
594,2007-07-09,8.62
595,2007-07-10,8.51
596,2007-07-11,8.53
597,2007-07-12,8.81
598,2007-07-13,8.81
599,2007-07-16,8.57
600,2007-07-17,8.75
601,2007-07-18,8.69
602,2007-07-19,8.77
603,2007-07-20,8.43
604,2007-07-23,8.47
605,2007-07-24,8.29
606,2007-07-25,8.22
607,2007-07-26,7.81
608,2007-07-27,7.52
609,2007-07-30,7.45
610,2007-07-31,7.28
611,2007-08-01,7.35
612,2007-08-02,7.43
613,2007-08-03,6.9
614,2007-08-06,6.91
615,2007-08-07,6.65
616,2007-08-08,7.14
617,2007-08-09,6.82
618,2007-08-10,6.98
619,2007-08-13,6.73
620,2007-08-14,6.68
621,2007-08-15,6.73
622,2007-08-16,6.75
623,2007-08-17,6.97
624,2007-08-20,7.12
625,2007-08-21,7.09
626,2007-08-22,7.07
627,2007-08-23,6.84
628,2007-08-24,6.89
629,2007-08-27,6.72
630,2007-08-28,6.38
631,2007-08-29,6.67
632,2007-08-30,6.6
633,2007-08-31,6.81
634,2007-09-04,6.9
635,2007-09-05,6.71
636,2007-09-06,6.87
637,2007-09-07,6.59
638,2007-09-10,6.68
639,2007-09-11,6.81
640,2007-09-12,6.74
641,2007-09-13,6.66
642,2007-09-14,6.48
643,2007-09-17,6.24
644,2007-09-18,6.35
645,2007-09-19,6.58
646,2007-09-20,6.46
647,2007-09-21,6.52
648,2007-09-24,6.3
649,2007-09-25,6.39
650,2007-09-26,6.46
651,2007-09-27,6.49
652,2007-09-28,6.4
653,2007-10-01,6.58
654,2007-10-02,6.62
655,2007-10-03,6.51
656,2007-10-04,6.49
657,2007-10-05,6.55
658,2007-10-08,6.58
659,2007-10-09,6.62
660,2007-10-10,6.75
661,2007-10-11,6.68
662,2007-10-12,6.85
663,2007-10-15,6.59
664,2007-10-16,6.54
665,2007-10-17,6.76
666,2007-10-18,6.75
667,2007-10-19,6.44
668,2007-10-22,7.28
669,2007-10-23,7.41
670,2007-10-24,6.98
671,2007-10-25,6.36
672,2007-10-26,6.3
673,2007-10-29,6.16
674,2007-10-30,5.99
675,2007-10-31,6.15
676,2007-11-01,5.94
677,2007-11-02,5.92
678,2007-11-05,5.93
679,2007-11-06,5.94
680,2007-11-07,5.67
681,2007-11-08,5.73
682,2007-11-09,5.74
683,2007-11-12,5.67
684,2007-11-13,5.64
685,2007-11-14,5.84
686,2007-11-15,5.78
687,2007-11-16,5.59
688,2007-11-19,5.67
689,2007-11-20,5.8
690,2007-11-21,5.8
691,2007-11-23,5.81
692,2007-11-26,5.9
693,2007-11-27,5.91
694,2007-11-28,5.89
695,2007-11-29,5.83
696,2007-11-30,5.7
697,2007-12-03,5.47
698,2007-12-04,5.36
699,2007-12-05,5.5
700,2007-12-06,5.43
701,2007-12-07,5.36
702,2007-12-10,5.29
703,2007-12-11,5.2
704,2007-12-12,5.11
705,2007-12-13,4.98
706,2007-12-14,4.76
707,2007-12-17,4.56
708,2007-12-18,4.7
709,2007-12-19,4.89
710,2007-12-20,5.0
711,2007-12-21,5.1
712,2007-12-24,5.11
713,2007-12-26,5.04
714,2007-12-27,5.26
715,2007-12-28,5.17
716,2007-12-31,5.28
717,2008-01-02,5.02
718,2008-01-03,4.81
719,2008-01-04,4.61
720,2008-01-07,4.65
721,2008-01-08,4.46
722,2008-01-09,4.59
723,2008-01-10,4.74
724,2008-01-11,4.6
725,2008-01-14,4.73
726,2008-01-15,4.7
727,2008-01-16,4.68
728,2008-01-17,4.6
729,2008-01-18,4.68
730,2008-01-22,4.7
731,2008-01-23,4.51
732,2008-01-24,4.61
733,2008-01-25,4.71
734,2008-01-28,4.58
735,2008-01-29,4.68
736,2008-01-30,4.53
737,2008-01-31,4.25
738,2008-02-01,4.22
739,2008-02-04,4.68
740,2008-02-05,4.51
741,2008-02-06,4.58
742,2008-02-07,4.52
743,2008-02-08,4.99
744,2008-02-11,4.78
745,2008-02-12,4.91
746,2008-02-13,5.19
747,2008-02-14,5.11
748,2008-02-15,5.17
749,2008-02-19,5.01
750,2008-02-20,5.18
751,2008-02-21,5.23
752,2008-02-22,5.14
753,2008-02-25,5.24
754,2008-02-26,5.32
755,2008-02-27,5.45
756,2008-02-28,5.17
757,2008-02-29,5.14
758,2008-03-03,5.15
759,2008-03-04,5.27
760,2008-03-05,5.27
761,2008-03-06,5.11
762,2008-03-07,5.24
763,2008-03-10,4.92
764,2008-03-11,5.09
765,2008-03-12,5.1
766,2008-03-13,5.25
767,2008-03-14,5.44
768,2008-03-17,5.58
769,2008-03-18,5.99
770,2008-03-19,5.74
771,2008-03-20,6.0
772,2008-03-24,6.09
773,2008-03-25,6.11
774,2008-03-26,6.1
775,2008-03-27,6.35
776,2008-03-28,6.63
777,2008-03-31,6.72
778,2008-04-01,6.82
779,2008-04-02,6.92
780,2008-04-03,7.15
781,2008-04-04,7.25
782,2008-04-07,6.92
783,2008-04-08,6.73
784,2008-04-09,6.75
785,2008-04-10,6.67
786,2008-04-11,6.43
787,2008-04-14,6.66
788,2008-04-15,7.16
789,2008-04-16,7.14
790,2008-04-17,7.13
791,2008-04-18,7.4
792,2008-04-21,7.16
793,2008-04-22,7.01
794,2008-04-23,7.28
795,2008-04-24,7.53
796,2008-04-25,7.4
797,2008-04-28,7.13
798,2008-04-29,7.11
799,2008-04-30,7.15
800,2008-05-01,7.43
801,2008-05-02,5.85
802,2008-05-05,5.66
803,2008-05-06,5.67
804,2008-05-07,5.75
805,2008-05-08,5.97
806,2008-05-09,5.9
807,2008-05-12,6.07
808,2008-05-13,6.13
809,2008-05-14,6.22
810,2008-05-15,6.28
811,2008-05-16,6.18
812,2008-05-19,6.33
813,2008-05-20,6.07
814,2008-05-21,6.1
815,2008-05-22,6.22
816,2008-05-23,6.22
817,2008-05-27,6.4
818,2008-05-28,6.29
819,2008-05-29,6.31
820,2008-05-30,6.56
821,2008-06-02,6.45
822,2008-06-03,6.42
823,2008-06-04,6.63
824,2008-06-05,7.0
825,2008-06-06,6.59
826,2008-06-09,6.42
827,2008-06-10,6.37
828,2008-06-11,6.08
829,2008-06-12,6.17
830,2008-06-13,6.33
831,2008-06-16,6.48
832,2008-06-17,6.28
833,2008-06-18,6.09
834,2008-06-19,6.22
835,2008-06-20,6.06
836,2008-06-23,5.98
837,2008-06-24,5.95
838,2008-06-25,6.18
839,2008-06-26,5.96
840,2008-06-27,5.93
841,2008-06-30,5.56
842,2008-07-01,5.46
843,2008-07-02,5.2
844,2008-07-03,5.04
845,2008-07-07,5.2
846,2008-07-08,5.15
847,2008-07-09,4.8
848,2008-07-10,4.91
849,2008-07-11,4.8
850,2008-07-14,4.62
851,2008-07-15,4.89
852,2008-07-16,5.0
853,2008-07-17,4.74
854,2008-07-18,4.75
855,2008-07-21,4.65
856,2008-07-22,4.52
857,2008-07-23,4.83
858,2008-07-24,6.06
859,2008-07-25,5.85
860,2008-07-28,5.59
861,2008-07-29,5.73
862,2008-07-30,6.0
863,2008-07-31,5.68
864,2008-08-01,5.56
865,2008-08-04,5.74
866,2008-08-05,5.73
867,2008-08-06,5.66
868,2008-08-07,5.93
869,2008-08-08,5.9
870,2008-08-11,5.98
871,2008-08-12,5.83
872,2008-08-13,5.53
873,2008-08-14,5.4
874,2008-08-15,5.57
875,2008-08-18,5.75
876,2008-08-19,5.8
877,2008-08-20,5.83
878,2008-08-21,5.89
879,2008-08-22,5.97
880,2008-08-25,5.95
881,2008-08-26,5.91
882,2008-08-27,6.21
883,2008-08-28,6.32
884,2008-08-29,6.21
885,2008-09-02,6.39
886,2008-09-03,6.17
887,2008-09-04,5.73
888,2008-09-05,5.66
889,2008-09-08,5.67
890,2008-09-09,5.44
891,2008-09-10,5.58
892,2008-09-11,5.54
893,2008-09-12,5.46
894,2008-09-15,5.18
895,2008-09-16,5.26
896,2008-09-17,5.24
897,2008-09-18,5.54
898,2008-09-19,6.0
899,2008-09-22,5.91
900,2008-09-23,5.72
901,2008-09-24,5.55
902,2008-09-25,5.64
903,2008-09-26,5.45
904,2008-09-29,5.15
905,2008-09-30,5.45
906,2008-10-01,5.25
907,2008-10-02,5.13
908,2008-10-03,5.08
909,2008-10-06,4.94
910,2008-10-07,4.51
911,2008-10-08,4.53
912,2008-10-09,4.19
913,2008-10-10,4.37
914,2008-10-13,4.62
915,2008-10-14,4.71
916,2008-10-15,4.25
917,2008-10-16,4.95
918,2008-10-17,4.8
919,2008-10-20,5.03
920,2008-10-21,4.58
921,2008-10-22,4.59
922,2008-10-23,4.95
923,2008-10-24,4.94
924,2008-10-27,4.65
925,2008-10-28,5.2
926,2008-10-29,5.21
927,2008-10-30,5.43
928,2008-10-31,5.74
929,2008-11-03,5.73
930,2008-11-04,5.85
931,2008-11-05,5.66
932,2008-11-06,5.25
933,2008-11-07,5.36
934,2008-11-10,5.31
935,2008-11-11,5.08
936,2008-11-12,4.61
937,2008-11-13,4.77
938,2008-11-14,4.08
939,2008-11-17,4.13
940,2008-11-18,3.99
941,2008-11-19,3.74
942,2008-11-20,3.69
943,2008-11-21,3.59
944,2008-11-24,3.83
945,2008-11-25,3.78
946,2008-11-26,4.21
947,2008-11-28,4.22
948,2008-12-01,3.9
949,2008-12-02,4.28
950,2008-12-03,4.23
951,2008-12-04,2.9
952,2008-12-05,2.9
953,2008-12-08,2.9
954,2008-12-09,2.94
955,2008-12-10,2.9
956,2008-12-11,2.35
957,2008-12-12,2.39
958,2008-12-15,2.35
959,2008-12-16,2.71
960,2008-12-17,2.67
961,2008-12-18,2.66
962,2008-12-19,2.67
963,2008-12-22,2.71
964,2008-12-23,2.47
965,2008-12-24,2.35
966,2008-12-26,2.45
967,2008-12-29,2.38
968,2008-12-30,2.49
969,2008-12-31,2.68
970,2009-01-02,2.83
971,2009-01-05,2.85
972,2009-01-06,2.97
973,2009-01-07,2.82
974,2009-01-08,2.84
975,2009-01-09,2.76
976,2009-01-12,2.47
977,2009-01-13,2.46
978,2009-01-14,2.4
979,2009-01-15,2.43
980,2009-01-16,2.44
981,2009-01-20,2.22
982,2009-01-21,2.34
983,2009-01-22,2.31
984,2009-01-23,2.41
985,2009-01-26,2.45
986,2009-01-27,2.76
987,2009-01-28,2.7
988,2009-01-29,2.87
989,2009-01-30,2.82
990,2009-02-02,2.75
991,2009-02-03,2.82
992,2009-02-04,2.9
993,2009-02-05,3.14
994,2009-02-06,3.23
995,2009-02-09,3.3
996,2009-02-10,3.15
997,2009-02-11,3.27
998,2009-02-12,3.48
999,2009-02-13,3.7
1000,2009-02-17,3.53
1001,2009-02-18,3.7
1002,2009-02-19,3.71
1003,2009-02-20,3.64
1004,2009-02-23,3.54
1005,2009-02-24,3.67
