Date,Close,Volume
2014-06-04,22.455,2299440
2014-06-05,22.287,1798545
2014-06-06,22.366,2490198
2014-06-09,22.573,2108789
2014-06-10,23.25,2972776
2014-06-11,24.43,2042158
2014-06-12,25.335,2110398
2014-06-13,26.584,1393028
2014-06-16,27.528,2158579
2014-06-17,26.338,2555811
2014-06-18,25.964,1944242
2014-06-19,25.374,2045597
2014-06-20,24.824,2990770
2014-06-23,25.001,1408182
2014-06-24,24.774,1270680
2014-06-25,24.814,1898173
2014-06-26,25.02,992560
2014-06-27,25.571,7772648
2014-06-30,24.607,1450211
2014-07-01,25.521,1949217
2014-07-02,26.102,912400
2014-07-03,26.711,332154
2014-07-07,26.594,1232835
2014-07-08,26.594,2662039
2014-07-09,26.987,734930
2014-07-10,26.21,969748
2014-07-11,26.377,742183
2014-07-14,26.181,1106507
2014-07-15,26.24,490019
2014-07-16,25.847,673403
2014-07-17,24.931,827739
2014-07-18,25.296,758093
2014-07-21,25.03,617230
2014-07-22,25.09,392672
2014-07-23,25.158,481560
2014-07-24,24.951,516216
2014-07-25,24.883,592919
2014-07-28,25.758,1422844
2014-07-29,25.531,927961
2014-07-30,25.61,1069356
2014-07-31,24.971,1479946
2014-08-01,25.168,2430525
2014-08-04,25.257,2824750
2014-08-05,24.931,1167639
2014-08-06,24.136,2910916
2014-08-07,24.529,1037910
2014-08-08,24.923,1678129
2014-08-11,25.06,814132
2014-08-12,24.647,485347
2014-08-13,25.457,1620719
2014-08-14,24.212,1004952
2014-08-15,24.232,1451979
2014-08-18,24.686,1722422
2014-08-19,24.558,689039
2014-08-20,24.508,1052627
2014-08-21,25.161,966053
2014-08-22,24.805,349723
2014-08-25,24.696,373001
2014-08-26,24.726,346928
2014-08-27,24.716,247987
2014-08-28,24.924,392263
2014-08-29,25.111,326990
2014-09-02,25.19,1169804
2014-09-03,24.835,1295804
2014-09-04,24.627,877890
2014-09-05,24.716,676249
2014-09-08,25.092,723891
2014-09-09,24.548,651028
2014-09-10,24.815,451207
2014-09-11,24.894,719785
2014-09-12,24.706,677752
2014-09-15,24.578,437162
2014-09-16,24.499,596956
2014-09-17,24.548,835268
2014-09-18,25.22,696571
2014-09-19,25.062,1377257
2014-09-22,24.499,911171
2014-09-23,24.163,851050
2014-09-24,24.627,1585757
2014-09-25,24.677,973343
2014-09-26,25.171,1835397
2014-09-29,12.689,22450130
2014-09-30,11.474,11255692
2014-10-01,12.373,7926047
2014-10-02,12.412,1982217
2014-10-03,12.857,2574358
2014-10-06,13.094,2627636
2014-10-07,12.511,3289899
2014-10-08,12.61,2617084
2014-10-09,12.116,1487500
2014-10-10,12.314,4073451
2014-10-13,12.314,1428848
2014-10-14,12.027,1954030
2014-10-15,12.561,1991097
2014-10-16,12.254,2227165
2014-10-17,11.997,1213790
2014-10-20,11.918,1129270
2014-10-21,12.205,1671016
2014-10-22,12.353,931475
2014-10-23,12.61,2313342
2014-10-24,12.205,1120498
2014-10-27,12.017,1446106
2014-10-28,12.343,1249930
2014-10-29,11.918,1462480
2014-10-30,12.057,1299530
2014-10-31,12.047,1304567
2014-11-03,11.562,1448636
2014-11-04,10.9,1448289
2014-11-05,11.464,1848635
2014-11-06,10.851,2665528
2014-11-07,10.861,2857955
2014-11-10,10.683,1891339
2014-11-11,10.831,1098916
2014-11-12,10.93,1208992
2014-11-13,10.5,1525297
2014-11-14,10.64,1053413
2014-11-17,10.47,969788
2014-11-18,10.24,1643270
2014-11-19,10.0,1462314
2014-11-20,10.39,916277
