Date,Close,Volume
2009-06-11,5.1415,0
2009-06-12,5.3984,7717456
2009-06-15,5.4263,1836637
2009-06-16,5.4731,894711
2009-06-17,5.4919,339463
2009-06-18,5.5385,708937
2009-06-19,5.5198,523586
2009-06-22,5.5292,290171
2009-06-23,5.534,217270
2009-06-24,5.534,259739
2009-06-25,5.5525,124735
2009-06-26,5.5573,229920
2009-06-29,5.5385,182399
2009-06-30,5.5618,356502
2009-07-01,5.5761,570885
2009-07-02,5.5948,208135
2009-07-06,5.5853,237280
2009-07-07,5.5853,474798
2009-07-08,5.548,261700
2009-07-09,5.534,411564
2009-07-10,5.5618,95637
2009-07-13,5.5618,273625
2009-07-14,5.6319,390929
2009-07-15,5.6601,352594
2009-07-16,5.7582,234861
2009-07-17,5.7582,158433
2009-07-20,5.7535,187212
2009-07-21,5.6788,274254
2009-07-22,5.7443,576866
2009-07-23,5.8659,427797
2009-07-24,5.8471,240334
2009-07-27,5.9593,130226
2009-07-28,6.0199,387695
2009-07-29,5.9826,480645
2009-07-30,6.0059,414601
2009-07-31,6.1926,626900
2009-08-03,6.2162,663006
2009-08-04,6.2822,281231
2009-08-05,6.2627,309892
2009-08-06,6.24,124851
2009-08-07,6.1651,173872
2009-08-10,6.3007,202103
2009-08-11,6.2442,330014
2009-08-12,6.3985,159010
2009-08-13,6.4736,210957
2009-08-14,6.4736,79592
2009-08-17,6.4406,455681
2009-08-18,6.4499,58300
2009-08-19,6.4499,224660
2009-08-20,6.5295,187655
2009-08-21,6.5904,46429
2009-08-24,6.5438,105844
2009-08-25,6.4313,189393
2009-08-26,6.5343,295886
2009-08-27,6.5438,160801
2009-08-28,6.4966,166956
2009-08-31,6.5438,472205
2009-09-01,6.4966,162645
2009-09-02,6.4499,254314
2009-09-03,6.5201,142480
2009-09-04,6.4643,226422
2009-09-08,6.4406,177363
2009-09-09,6.4313,276334
2009-09-10,6.436,254012
2009-09-11,6.5295,321691
2009-09-14,6.5295,159558
2009-09-15,6.7168,314213
2009-09-16,6.6846,672881
2009-09-17,6.5201,224863
2009-09-18,6.6846,231122
2009-09-21,6.6846,235265
2009-09-22,6.8193,612459
2009-09-23,6.7585,245398
2009-09-24,6.5807,590217
2009-09-25,6.6504,454077
2009-09-28,6.6696,680753
2009-09-29,6.8193,778173
2009-09-30,6.6368,3188412
2009-10-01,6.4029,616023
2009-10-02,6.4123,311282
2009-10-05,6.4313,383286
2009-10-06,6.5248,388130
2009-10-07,6.5015,171279
2009-10-08,6.5103,134730
2009-10-09,6.4783,260290
2009-10-12,6.3238,1132834
2009-10-13,6.2538,174221
2009-10-14,6.3339,300381
2009-10-15,6.3099,414840
2009-10-16,6.2722,101799
2009-10-19,6.4684,109515
2009-10-20,6.3339,64201
2009-10-21,6.2538,204069
2009-10-22,6.2303,411699
2009-10-23,6.3007,307895
2009-10-26,6.3661,557554
2009-10-27,6.1323,382908
2009-10-28,6.0946,267673
2009-10-29,6.226,141159
2009-10-30,6.24,275303
2009-11-02,6.1698,270158
2009-11-03,6.1839,171298
2009-11-04,6.1226,105644
2009-11-05,6.2962,98688
2009-11-06,6.3283,109496
2009-11-09,6.3753,122103
2009-11-10,6.3052,103551
2009-11-11,6.3376,97239
2009-11-12,6.2722,149854
2009-11-13,6.3007,143369
2009-11-16,6.3939,170854
2009-11-17,6.4597,153855
2009-11-18,6.4222,646190
2009-11-19,6.3753,665217
2009-11-20,6.3423,589335
2009-11-23,6.3661,271236
2009-11-24,6.3238,345176
2009-11-25,6.24,166958
2009-11-27,6.1698,138897
2009-11-30,6.1226,946369
2009-12-01,6.1602,236514
2009-12-02,6.2022,190823
2009-12-03,6.3052,205800
2009-12-04,6.3099,241921
2009-12-07,6.2822,402035
2009-12-08,6.2582,176633
2009-12-09,6.3099,126126
2009-12-10,6.2442,92388
2009-12-11,6.3799,97271
2009-12-14,6.3846,227871
2009-12-15,6.226,137236
2009-12-16,6.3661,133558
2009-12-17,6.4167,171848
2009-12-18,6.5574,770901
2009-12-21,6.5201,317873
2009-12-22,6.5438,130484
2009-12-23,6.5527,129225
2009-12-24,6.5944,127779
2009-12-28,6.5944,321995
2009-12-29,6.3339,145608
2009-12-30,6.3238,107847
2009-12-31,6.3146,54199
2010-01-04,6.3423,146063
2010-01-05,6.226,148030
2010-01-06,6.1839,147919
2010-01-07,6.3052,451977
2010-01-08,6.2627,150066
2010-01-11,6.2677,115537
2010-01-12,6.2627,125705
2010-01-13,6.2582,68959
2010-01-14,6.2582,64259
2010-01-15,6.2627,209793
2010-01-19,6.3467,239516
2010-01-20,6.3376,114083
2010-01-21,6.2162,138046
2010-01-22,6.1926,128059
2010-01-25,6.2347,112793
2010-01-26,6.2162,168697
2010-01-27,6.3052,77188
2010-01-28,6.2582,101060
2010-01-29,6.3007,70341
2010-02-01,6.2538,55759
2010-02-02,6.2022,243202
2010-02-03,6.2861,97966
2010-02-04,6.2207,95545
