Date,Close,Volume
2005-02-25,15.8,249000
2005-02-28,15.5,205400
2005-03-01,15.35,262200
2005-03-02,17.5,784400
2005-03-03,18.26,596200
2005-03-04,18.64,363800
2005-03-07,18.49,390800
2005-03-08,17.95,220200
2005-03-09,17.38,191000
2005-03-10,16.75,258000
2005-03-11,16.75,187800
2005-03-14,16.4,231000
2005-03-15,16.45,150000
2005-03-16,16.45,187400
2005-03-17,16.48,111000
2005-03-18,16.2,437000
2005-03-21,16.2,84800
2005-03-22,16.27,259600
2005-03-23,15.53,101600
2005-03-24,15.56,115800
2005-03-28,15.46,124400
2005-03-29,15.53,242600
2005-03-30,14.71,303400
2005-03-31,15.37,255400
2005-04-01,16.24,213800
2005-04-04,15.93,165000
2005-04-05,16.12,229200
2005-04-06,16.26,165400
2005-04-07,16.4,198600
2005-04-08,16.35,255200
2005-04-11,16.65,346600
2005-04-12,16.45,315400
2005-04-13,16.3,206000
2005-04-14,16.12,282400
2005-04-15,16.02,209400
2005-04-18,15.68,238600
2005-04-19,16.05,113400
2005-04-20,15.55,207000
2005-04-21,15.95,164400
2005-04-22,15.67,224200
2005-04-25,16.14,172600
2005-04-26,15.55,288400
2005-04-27,15.01,206400
2005-04-28,14.16,354400
2005-04-29,14.57,196600
2005-05-02,14.6,181800
2005-05-03,13.99,151200
2005-05-04,13.88,286800
2005-05-05,14.06,347400
2005-05-06,13.97,126600
2005-05-09,14.47,140600
2005-05-10,14.07,181400
2005-05-11,13.62,184200
2005-05-12,13.14,261400
2005-05-13,13.02,198000
2005-05-16,12.68,316600
2005-05-17,12.73,169000
2005-05-18,12.81,219400
2005-05-19,12.98,154600
2005-05-20,13.43,288400
2005-05-23,13.64,286200
2005-05-24,13.82,172200
2005-05-25,13.9,161800
2005-05-26,14.02,190000
2005-05-27,14.09,152200
2005-05-31,13.68,223000
2005-06-01,13.95,164800
2005-06-02,13.97,94000
2005-06-03,14.38,140400
2005-06-06,14.57,164000
2005-06-07,14.04,111800
2005-06-08,14.0,112800
2005-06-09,14.8,259200
2005-06-10,15.12,144000
2005-06-13,14.97,81800
2005-06-14,15.29,121400
2005-06-15,15.48,124400
2005-06-16,15.23,106000
2005-06-17,15.3,151200
2005-06-20,15.55,96600
2005-06-21,14.97,128200
2005-06-22,15.12,129400
2005-06-23,15.16,114400
2005-06-24,14.55,172800
2005-06-27,14.46,110400
2005-06-28,14.65,194200
2005-06-29,14.36,131600
2005-06-30,14.51,74800
2005-07-01,14.77,101800
2005-07-05,15.0,139400
2005-07-06,14.6,114400
2005-07-07,14.82,94600
2005-07-08,14.79,102800
2005-07-11,15.32,163200
2005-07-12,15.81,181400
2005-07-13,15.28,99000
2005-07-14,14.58,133000
2005-07-15,14.52,111400
2005-07-18,14.28,76000
2005-07-19,14.87,152000
2005-07-20,15.45,227800
2005-07-21,15.35,137400
2005-07-22,16.35,172400
2005-07-25,16.62,349200
2005-07-26,16.62,240000
2005-07-27,16.5,229400
2005-07-28,16.62,178400
2005-07-29,16.61,164600
2005-08-01,17.7,293200
2005-08-02,18.38,799000
2005-08-03,18.88,375800
2005-08-04,19.64,667000
2005-08-05,19.45,432000
2005-08-08,19.55,342600
2005-08-09,19.52,481000
2005-08-10,20.24,475200
2005-08-11,20.9,323800
2005-08-12,20.09,433400
2005-08-15,20.06,298800
2005-08-16,20.24,344200
2005-08-17,18.64,945800
2005-08-18,19.18,581000
2005-08-19,19.32,216200
2005-08-22,19.38,203600
2005-08-23,19.75,242200
2005-08-24,20.23,312600
2005-08-25,20.25,166200
2005-08-26,19.55,189600
2005-08-29,19.67,393600
2005-08-30,20.35,436400
2005-08-31,21.01,476000
2005-09-01,21.38,290600
2005-09-02,20.16,378800
2005-09-06,20.7,285200
2005-09-07,20.65,242400
2005-09-08,20.56,310000
2005-09-09,20.6,232800
2005-09-12,20.5,253800
2005-09-13,20.64,248800
2005-09-14,21.18,303000
2005-09-15,21.4,391200
2005-09-16,22.0,1063800
2005-09-19,23.48,614800
2005-09-20,23.69,715200
2005-09-21,23.96,408600
2005-09-22,23.17,432000
2005-09-23,22.95,177000
2005-09-26,23.59,271400
2005-09-27,23.69,241600
2005-09-28,23.74,309000
2005-09-29,23.91,233200
2005-09-30,24.0,203200
2005-10-03,24.27,216600
2005-10-04,23.48,270800
2005-10-05,21.87,643800
2005-10-06,20.57,628000
2005-10-07,20.6,351000
2005-10-10,20.24,248800
2005-10-11,20.03,440600
2005-10-12,19.55,372000
2005-10-13,19.13,366800
2005-10-14,19.58,304000
2005-10-17,19.87,225800
2005-10-18,18.75,188200
2005-10-19,19.32,338000
