Date,Close,Volume
2011-02-08,7.37,347473
2011-02-09,7.23,91708
2011-02-10,7.12,147979
2011-02-11,7.13,36089
2011-02-14,7.23,65971
2011-02-15,7.45,22667
2011-02-16,7.5,44730
2011-02-18,7.06,154893
2011-02-22,7.15,49147
2011-02-23,7.45,40392
2011-02-24,7.23,25227
2011-02-25,7.43,26499
2011-02-28,7.33,21206
2011-03-01,7.3,24827
2011-03-02,7.22,10354
2011-03-03,7.3,10774
2011-03-04,7.29,36946
2011-03-07,7.4,6713
2011-03-08,7.43,38562
2011-03-09,7.48,14484
2011-03-10,7.45,8584
2011-03-11,7.49,29248
2011-03-14,7.5,48057
2011-03-15,7.48,93396
2011-03-16,7.94,279980
2011-03-17,7.79,424871
2011-03-18,7.59,260502
2011-03-21,7.78,30913
2011-03-22,8.1,313253
2011-03-23,8.36,87806
2011-03-24,8.27,151702
2011-03-25,8.18,37459
2011-03-28,8.06,104974
2011-03-29,8.05,159096
2011-03-30,8.34,127715
2011-03-31,8.57,1222732
2011-04-01,8.53,117905
2011-04-04,8.5,107673
2011-04-05,8.82,131989
2011-04-06,9.48,201953
2011-04-07,9.41,66543
2011-04-08,9.5,83583
2011-04-11,9.44,244326
2011-04-12,8.92,99424
2011-04-13,9.42,46124
2011-04-14,9.05,250431
2011-04-15,9.34,48266
2011-04-18,9.32,34110
2011-04-19,9.3,41535
2011-04-20,9.41,42191
2011-04-21,9.3,19680
2011-04-25,9.5,21747
2011-04-26,11.88,498649
2011-04-27,11.7,116148
2011-04-28,12.0,66780
2011-04-29,12.15,120072
2011-05-02,11.98,102179
2011-05-03,11.91,104709
2011-05-04,11.29,37560
2011-05-05,11.9,60583
2011-05-06,11.71,44424
2011-05-09,11.63,22732
2011-05-10,12.09,51402
2011-05-11,11.94,33437
2011-05-12,12.16,47028
2011-05-13,12.12,34925
2011-05-16,11.81,41696
2011-05-17,12.2,57830
2011-05-18,12.0,47237
2011-05-19,11.94,31348
2011-05-20,11.95,66435
2011-05-23,11.81,35978
2011-05-24,11.74,39915
2011-05-25,11.8,39260
2011-05-26,11.8,54507
2011-05-27,11.85,34896
2011-05-31,11.9,122934
2011-06-01,11.15,53858
2011-06-02,11.64,53634
2011-06-03,11.29,58874
2011-06-06,11.32,40611
2011-06-07,11.59,28116
2011-06-08,11.66,38271
2011-06-09,11.71,26487
2011-06-10,11.61,32791
2011-06-13,11.87,30807
2011-06-14,12.03,75254
2011-06-15,11.64,69737
2011-06-16,12.0,73689
2011-06-17,11.93,157914
2011-06-20,11.79,119554
2011-06-21,11.95,82913
2011-06-22,11.75,57600
2011-06-23,11.93,89275
2011-06-24,12.88,1316406
2011-06-27,13.18,137390
2011-06-28,14.15,226970
2011-06-29,13.97,92165
2011-06-30,14.32,74166
2011-07-01,14.24,45731
2011-07-05,14.38,80242
2011-07-06,14.45,67945
2011-07-07,14.65,85286
2011-07-08,14.59,22135
2011-07-11,14.12,37148
2011-07-12,13.79,63791
2011-07-13,14.0,66538
2011-07-14,13.89,34608
2011-07-15,12.01,388706
2011-07-18,11.3,209546
2011-07-19,11.13,326220
2011-07-20,11.16,139955
2011-07-21,11.78,317899
2011-07-22,11.43,97031
2011-07-25,11.0,248485
2011-07-26,11.8,381496
2011-07-27,12.26,971029
2011-07-28,13.08,2576685
2011-07-29,13.33,241459
2011-08-01,13.14,127696
2011-08-02,12.43,129293
2011-08-03,11.99,176400
2011-08-04,11.03,154421
2011-08-05,10.82,354531
2011-08-08,9.36,254988
2011-08-09,10.97,580611
2011-08-10,11.27,178674
2011-08-11,11.69,91706
2011-08-12,11.11,121632
2011-08-15,11.93,150947
2011-08-16,11.51,167174
2011-08-17,11.57,150274
2011-08-18,10.48,156579
2011-08-19,10.82,106538
2011-08-22,11.48,141238
2011-08-23,11.26,144353
2011-08-24,11.12,104662
2011-08-25,10.35,49404
2011-08-26,10.86,106240
2011-08-29,11.05,136849
2011-08-30,11.1,97763
2011-08-31,10.96,331286
2011-09-01,11.0,190233
2011-09-02,10.72,73159
2011-09-06,10.99,70406
2011-09-07,11.47,64574
2011-09-08,10.6,74289
2011-09-09,10.39,66603
2011-09-12,10.81,54407
2011-09-13,11.13,92962
2011-09-14,11.39,277921
2011-09-15,11.94,202793
2011-09-16,12.62,255762
2011-09-19,12.16,94078
2011-09-20,11.65,47184
2011-09-21,11.35,79821
2011-09-22,11.31,107664
2011-09-23,11.5,107448
2011-09-26,11.32,62654
2011-09-27,11.11,206341
2011-09-28,10.54,94407
2011-09-29,10.61,64989
2011-09-30,10.6,157237
2011-10-03,10.0,85530
2011-10-04,10.35,140312
2011-10-05,10.46,56489
