Date,Close,Volume
2014-09-22,4.35,21886
2014-09-23,4.26,81702
2014-09-24,4.34,94422
2014-09-25,4.0,29760
2014-09-26,4.4,161486
2014-09-29,4.23,138666
2014-09-30,4.21,26059
2014-10-01,4.1,105903
2014-10-02,4.27,32502
2014-10-03,4.15,38348
2014-10-06,4.13,14260
2014-10-07,4.0,15162
2014-10-08,4.25,94120
2014-10-09,4.1,115033
2014-10-10,4.0,12245
2014-10-13,3.9849,16086
2014-10-14,4.0,33372
2014-10-15,4.0,88170
2014-10-16,3.96,7600
2014-10-17,4.0,11790
2014-10-20,4.045,8489
2014-10-21,4.01,187361
2014-10-22,4.06,44358
2014-10-23,4.04,41199
2014-10-24,4.1,28573
2014-10-27,4.15,6735
2014-10-28,4.15,18153
2014-10-29,4.04,2510
2014-10-30,4.07,6021
2014-10-31,4.12,2515
2014-11-03,4.24,34832
2014-11-04,4.2,39237
2014-11-05,4.27,27163
2014-11-06,4.24,34136
2014-11-07,4.24,79440
2014-11-10,4.2,2771
2014-11-11,4.2,6462
2014-11-12,4.27,74338
2014-11-13,4.31,18909
2014-11-14,4.32,21089
2014-11-17,4.26,7156
2014-11-18,4.25,21054
2014-11-19,4.2,4904
2014-11-20,4.21,4948
2014-11-21,4.3,11664
2014-11-24,4.31,1900
2014-11-25,4.22,3211
2014-11-26,4.14,9527
2014-12-01,4.18,7560
2014-12-02,4.27,9781
2014-12-03,4.28,6440
2014-12-04,4.265,23291
2014-12-05,4.24,8653
2014-12-08,4.14,48802
2014-12-09,4.11,22362
2014-12-10,4.05,16397
2014-12-11,4.08,5944
2014-12-12,4.05,7513
2014-12-15,4.15,24693
2014-12-16,4.25,19253
2014-12-17,4.24,16860
2014-12-18,4.3,17027
2014-12-19,4.24,145407
2014-12-22,4.34,123547
2014-12-23,4.33,9923
2014-12-24,4.38,21290
2014-12-26,4.21,9078
2014-12-29,4.244,13406
2014-12-30,4.14,12194
2014-12-31,4.05,28207
2015-01-02,4.04,2153
2015-01-05,4.25,15646
2015-01-06,4.07,8974
2015-01-07,4.29,22335
2015-01-08,4.2,4448
2015-01-12,4.2,5749
2015-01-13,4.195,5895
2015-01-14,4.1,5505
2015-01-15,4.13,5250
2015-01-16,4.19,8163
2015-01-20,4.18,3000
2015-01-21,3.98,2490
2015-01-22,4.01,1840
2015-01-23,3.93,14774
2015-01-26,3.98,4817
2015-01-27,4.0,2939
2015-01-28,4.02,500
2015-01-29,3.97,4700
2015-01-30,3.965,2675
2015-02-02,3.91,6149
2015-02-03,3.89,1669
2015-02-04,3.89,2647
2015-02-05,4.15,17737
2015-02-06,4.12,31333
2015-02-09,4.18,3855
2015-02-10,4.158,130055
2015-02-11,4.16,36729
2015-02-12,4.19,49442
2015-02-13,4.2,8321
2015-02-17,4.25,22946
2015-02-18,4.13,75113
2015-02-19,4.5,117591
2015-02-20,4.5499,38237
2015-02-23,4.5,15193
2015-02-24,4.65,10956
2015-02-25,4.5,152305
2015-02-26,4.55,71255
2015-02-27,4.6,70585
2015-03-02,4.51,85100
2015-03-03,4.66,137600
2015-03-04,4.78,138100
2015-03-05,4.99,107200
2015-03-06,5.0,65500
2015-03-09,5.14,116500
2015-03-10,5.55,169800
2015-03-11,5.43,165700
2015-03-12,5.36,147400
2015-03-13,5.11,102400
2015-03-16,5.0,105500
2015-03-17,5.08,571900
2015-03-18,4.73,86800
2015-03-19,4.61,80600
2015-03-20,4.83,112500
2015-03-23,4.92,55700
2015-03-24,5.02,176600
2015-03-25,4.95,67000
2015-03-26,5.04,55800
2015-03-27,5.12,19200
2015-03-30,5.04,46500
2015-03-31,5.03,17700
2015-04-01,5.12,283400
2015-04-02,5.25,576700
2015-04-06,5.34,70800
2015-04-07,5.91,285045
2015-04-08,6.08,76700
2015-04-09,6.14,150635
2015-04-10,6.33,181300
2015-04-13,6.64,266400
2015-04-14,6.62,380200
2015-04-15,6.84,170478
2015-04-16,7.0,106765
2015-04-17,6.91,76600
2015-04-20,7.19,203889
2015-04-21,7.2,82947
2015-04-22,7.5,77745
2015-04-23,7.2,129600
2015-04-24,7.0,95800
2015-04-27,7.0,89000
2015-04-28,6.91,159600
2015-04-29,7.0,65200
2015-04-30,7.05,66500
2015-05-01,7.1,89400
2015-05-04,7.09,64100
2015-05-05,7.05,72400
2015-05-06,7.06,95423
2015-05-07,6.99,96227
2015-05-08,7.09,66200
2015-05-11,7.08,108900
2015-05-12,7.12,178874
2015-05-13,7.53,164700
2015-05-14,7.87,428200
2015-05-15,8.0,1101215
2015-05-18,8.08,164796
2015-05-19,8.26,397400
2015-05-20,8.2,116900
2015-05-21,8.16,111700
2015-05-22,8.16,110200
2015-05-26,8.73,151505
2015-05-27,8.52,182400
2015-05-28,8.31,86020
2015-05-29,8.16,89800
2015-06-01,8.37,168600
2015-06-02,8.2,120411
2015-06-03,8.49,80700
2015-06-04,8.28,94800
2015-06-05,8.25,94000
2015-06-08,8.06,120700
2015-06-09,7.73,134633
2015-06-10,7.61,143572
2015-06-11,7.9,64771
2015-06-12,7.88,51900
2015-06-15,7.92,85600
2015-06-16,7.99,59200
2015-06-17,7.83,101200
2015-06-18,7.76,95700
2015-06-19,7.79,117300
2015-06-22,7.69,178600
2015-06-23,7.52,189506
2015-06-24,7.45,111000
2015-06-25,7.96,193000
2015-06-26,7.76,3562900
2015-06-29,7.91,139800
2015-06-30,7.82,148496
2015-07-01,7.91,105900
2015-07-02,7.83,158500
2015-07-06,8.13,231800
2015-07-07,8.05,193300
2015-07-08,8.01,1220100
2015-07-09,8.33,393100
2015-07-10,8.95,272700
2015-07-13,8.89,212200
2015-07-14,9.18,170030
2015-07-15,9.02,93913
2015-07-16,9.02,72700
2015-07-17,8.79,91300
2015-07-20,8.77,95400
2015-07-21,8.83,151600
2015-07-22,8.98,72600
2015-07-23,8.71,108300
2015-07-24,8.78,85700
2015-07-27,8.37,124100
2015-07-28,8.27,120100
2015-07-29,8.11,56700
2015-07-30,8.29,77200
2015-07-31,8.45,129200
2015-08-03,8.41,115881
2015-08-04,8.78,55900
2015-08-05,8.76,146900
2015-08-06,8.98,387876
2015-08-07,9.15,178700
2015-08-10,9.41,215000
2015-08-11,9.28,133879
2015-08-12,9.26,224500
2015-08-13,9.35,65200
2015-08-14,8.8,268800
2015-08-17,9.79,323000
2015-08-18,9.72,194300
2015-08-19,9.7,126900
2015-08-20,9.36,142300
2015-08-21,9.6,161900
2015-08-24,9.08,110242
2015-08-25,9.09,91400
2015-08-26,9.27,146300
2015-08-27,9.5,135900
2015-08-28,9.7,218900
2015-08-31,9.42,168000
2015-09-01,9.3,231100
2015-09-02,9.37,142500
2015-09-03,9.39,77500
2015-09-04,9.21,45600
2015-09-08,9.35,118300
2015-09-09,9.06,201600
2015-09-10,9.16,60513
2015-09-11,9.25,115400
2015-09-14,9.15,45100
2015-09-15,9.29,59200
2015-09-16,9.38,95400
2015-09-17,9.77,455300
2015-09-18,9.28,243700
2015-09-21,9.5,85400
2015-09-22,9.23,86900
2015-09-23,9.22,78200
2015-09-24,9.3,95464
2015-09-25,9.05,193600
2015-09-28,8.795,134615
2015-09-29,9.02,136400
2015-09-30,9.02,182200
2015-10-01,9.06,95000
2015-10-02,9.25,100500
2015-10-05,9.0,164611
2015-10-06,9.06,91400
2015-10-07,9.26,145700
2015-10-08,9.17,101700
2015-10-09,9.19,154000
2015-10-12,9.29,81231
2015-10-13,9.29,247100
2015-10-14,9.39,169500
2015-10-15,9.41,199800
2015-10-16,9.41,98700
2015-10-19,9.08,111400
2015-10-20,8.88,51011
2015-10-21,8.74,102400
2015-10-22,9.09,77600
2015-10-23,9.4,266800
2015-10-26,9.22,255500
2015-10-27,9.13,346700
2015-10-28,9.49,138400
2015-10-29,9.82,379200
2015-10-30,9.9,212600
2015-11-02,10.03,199261
2015-11-03,10.0,171000
2015-11-04,10.05,200790
2015-11-05,9.83,123900
2015-11-06,9.89,102900
2015-11-09,9.63,108549
2015-11-10,9.73,98100
2015-11-11,9.62,91800
2015-11-12,9.21,88100
2015-11-13,9.14,86200
2015-11-16,8.87,117000
2015-11-17,8.71,82700
2015-11-18,8.94,92300
2015-11-19,8.71,67400
2015-11-20,8.82,179900
2015-11-23,8.83,61200
2015-11-24,9.24,131600
2015-11-25,9.26,53800
2015-11-27,9.79,73600
2015-11-30,9.69,86300
2015-12-01,9.75,86190
2015-12-02,9.48,571697
2015-12-03,9.74,125722
2015-12-04,10.39,491600
2015-12-07,10.23,198400
2015-12-08,10.29,111545
2015-12-09,10.23,101100
2015-12-10,10.15,83100
2015-12-11,10.0,116900
2015-12-14,9.66,99771
2015-12-15,9.62,73200
2015-12-16,9.88,95900
2015-12-17,10.57,202400
2015-12-18,10.31,180400
2015-12-21,10.1,495800
2015-12-22,10.17,60185
2015-12-23,10.36,83800
2015-12-24,11.19,309613
2015-12-28,11.23,200931
2015-12-29,11.4,195224
2015-12-30,11.1,118907
2015-12-31,11.0,307354
2016-01-04,10.59,190645
2016-01-05,11.09,147644
2016-01-06,11.1,90579
2016-01-07,10.65,179207
2016-01-08,10.66,258551
2016-01-11,10.66,250286
2016-01-12,10.54,265690
2016-01-13,10.54,264948
2016-01-14,10.38,176538
2016-01-15,10.35,196383
2016-01-19,10.56,168100
2016-01-20,10.55,206726
2016-01-21,10.65,210202
2016-01-22,10.77,135297
2016-01-25,10.64,101231
2016-01-26,10.59,329724
2016-01-27,10.48,97016
2016-01-28,10.33,190560
2016-01-29,10.32,206342
2016-02-01,10.33,376311
2016-02-02,10.33,232197
2016-02-03,10.05,160017
2016-02-04,9.95,101868
2016-02-05,9.52,192559
2016-02-08,9.5,188361
2016-02-09,9.17,155176
2016-02-10,9.25,115088
2016-02-11,9.18,98970
2016-02-12,9.23,109912
2016-02-16,9.4,76888
2016-02-17,9.65,128221
2016-02-18,9.6,75985
2016-02-19,9.57,51360
2016-02-22,9.75,71904
2016-02-23,9.53,66047
2016-02-24,9.69,52197
2016-02-25,9.87,51677
2016-02-26,9.92,67126
2016-02-29,10.01,165506
2016-03-01,10.21,2108259
2016-03-02,10.5,614481
2016-03-03,10.5,154103
2016-03-04,10.51,398728
2016-03-07,10.6,271437
2016-03-08,10.5,101461
2016-03-09,10.77,86523
2016-03-10,11.03,168776
2016-03-11,10.86,333455
2016-03-14,10.8,421413
2016-03-15,10.8,314044
2016-03-16,11.01,799560
2016-03-17,11.0,385185
2016-03-18,10.98,534967
2016-03-21,10.95,305117
2016-03-22,10.84,186534
2016-03-23,10.87,193731
2016-03-24,10.88,143057
2016-03-28,11.01,144332
2016-03-29,11.54,183691
2016-03-30,11.6,137492
2016-03-31,11.44,110255
2016-04-01,11.16,157196
2016-04-04,11.48,277593
2016-04-05,11.7,155866
2016-04-06,11.85,152216
2016-04-07,11.84,223484
2016-04-08,12.23,206875
2016-04-11,12.5,326241
2016-04-12,12.62,294638
2016-04-13,12.67,291121
2016-04-14,12.5,180602
2016-04-15,12.72,224529
2016-04-18,12.83,316213
2016-04-19,12.95,318702
2016-04-20,12.65,157804
2016-04-21,12.54,289347
2016-04-22,12.63,260058
2016-04-25,12.61,195589
2016-04-26,12.86,180319
2016-04-27,12.78,132642
2016-04-28,13.25,342014
2016-04-29,13.11,217612
2016-05-02,13.36,124581
2016-05-03,13.21,169024
2016-05-04,12.9,208176
2016-05-05,13.15,232590
2016-05-06,13.43,311634
2016-05-09,13.6,243285
2016-05-10,13.96,314602
2016-05-11,13.82,282787
2016-05-12,13.79,201173
2016-05-13,13.6,231516
2016-05-16,13.87,152790
2016-05-17,13.37,177649
2016-05-18,13.89,217504
2016-05-19,13.74,97134
2016-05-20,13.66,111701
2016-05-23,13.32,206308
2016-05-24,13.83,324625
2016-05-25,13.95,157654
2016-05-26,14.09,117903
2016-05-27,14.37,96092
2016-05-31,14.9,484123
2016-06-01,14.8,765039
2016-06-02,14.83,311068
2016-06-03,14.85,229732
2016-06-06,14.87,134432
2016-06-07,15.24,312049
2016-06-08,15.22,135826
2016-06-09,15.27,139671
2016-06-10,15.12,154136
2016-06-13,14.98,193211
2016-06-14,14.8,290660
2016-06-15,14.75,159547
