,Date,Close
0,2005-02-25,18.9
1,2005-02-28,19.6
2,2005-03-01,20.0
3,2005-03-02,21.5
4,2005-03-03,21.0
5,2005-03-04,22.0
6,2005-03-07,24.05
7,2005-03-08,26.8
8,2005-03-09,28.7
9,2005-03-10,19.4
10,2005-03-11,19.8
11,2005-03-14,18.4
12,2005-03-15,17.5
13,2005-03-16,16.0
14,2005-03-17,16.4
15,2005-03-18,17.0
16,2005-03-21,15.8
17,2005-03-22,14.7
18,2005-03-23,14.1
19,2005-03-24,13.0
20,2005-03-28,11.5
21,2005-03-29,12.0
22,2005-03-30,12.5
23,2005-03-31,15.0
24,2005-04-01,17.5
25,2005-04-04,19.9
26,2005-04-05,17.5
27,2005-04-06,15.3
28,2005-04-07,15.2
29,2005-04-08,14.7
30,2005-04-11,14.5
31,2005-04-12,14.8
32,2005-04-13,13.1
33,2005-04-14,13.3
34,2005-04-15,13.5
35,2005-04-18,12.8
36,2005-04-19,13.2
37,2005-04-20,13.7
38,2005-04-21,13.7
39,2005-04-22,14.3
40,2005-04-25,14.6
41,2005-04-26,13.4
42,2005-04-27,12.8
43,2005-04-28,11.9
44,2005-04-29,11.6
45,2005-05-02,12.1
46,2005-05-03,11.7
47,2005-05-04,12.6
48,2005-05-05,14.0
49,2005-05-06,14.2
50,2005-05-09,13.2
51,2005-05-10,12.1
52,2005-05-11,11.4
53,2005-05-12,11.6
54,2005-05-13,11.8
55,2005-05-16,11.5
56,2005-05-17,11.4
57,2005-05-18,11.7
58,2005-05-19,11.3
59,2005-05-20,11.5
60,2005-05-23,11.5
61,2005-05-24,12.5
62,2005-05-25,11.7
63,2005-05-26,11.9
64,2005-05-27,12.0
65,2005-05-31,12.1
66,2005-06-01,11.6
67,2005-06-02,11.8
68,2005-06-03,12.2
69,2005-06-06,12.5
70,2005-06-07,11.9
71,2005-06-08,12.0
72,2005-06-09,12.3
73,2005-06-10,12.6
74,2005-06-13,13.5
75,2005-06-14,14.0
76,2005-06-15,13.4
77,2005-06-16,13.2
78,2005-06-17,18.3
79,2005-06-20,17.5
80,2005-06-21,16.3
81,2005-06-22,16.9
82,2005-06-23,16.6
83,2005-06-24,16.6
