Date,Close,Volume
2005-02-25,24.558,62316
2005-02-28,24.544,27665
2005-03-01,24.565,263952
2005-03-02,24.622,45064
2005-03-03,24.509,110519
2005-03-04,25.463,149874
2005-03-07,25.574,68591
2005-03-08,25.955,115362
2005-03-09,25.834,75861
2005-03-10,26.029,45064
2005-03-11,26.213,53616
2005-03-14,26.718,87272
2005-03-15,27.201,78288
2005-03-16,26.703,55757
2005-03-17,27.138,18819
2005-03-18,26.964,39928
2005-03-21,26.787,35082
2005-03-22,26.411,26526
2005-03-23,25.864,138465
2005-03-24,25.665,27806
2005-03-28,25.512,73154
2005-03-29,24.712,103666
2005-03-30,24.55,116362
2005-03-31,25.105,372332
2005-04-01,25.595,160710
2005-04-04,25.695,68305
2005-04-05,25.616,61746
2005-04-06,25.589,27665
2005-04-07,25.216,44208
2005-04-08,24.684,46632
2005-04-11,24.544,68591
2005-04-12,24.622,75576
2005-04-13,23.879,53475
2005-04-14,23.443,135756
2005-04-15,23.093,152584
2005-04-18,23.542,39356
2005-04-19,23.703,54329
2005-04-20,23.528,83418
2005-04-21,23.408,39215
2005-04-22,22.658,75723
2005-04-25,23.134,74865
2005-04-26,23.325,71585
2005-04-27,23.421,58325
2005-04-28,23.127,52904
2005-04-29,22.091,174116
2005-05-02,21.732,48627
2005-05-03,22.217,84132
2005-05-04,22.299,63170
2005-05-05,21.712,192224
2005-05-06,22.624,327841
2005-05-09,23.92,975815
2005-05-10,25.344,2061579
2005-05-11,24.971,588085
2005-05-12,24.692,395289
2005-05-13,24.55,479709
2005-05-16,24.789,91975
2005-05-17,24.606,105808
2005-05-18,24.957,175115
2005-05-19,25.456,148589
2005-05-20,25.456,72866
2005-05-23,25.287,248125
2005-05-24,25.167,116933
2005-05-25,25.071,88556
2005-05-26,25.314,124066
2005-05-27,25.729,148734
2005-05-31,25.022,178252
2005-06-01,25.174,178110
2005-06-02,25.077,185239
2005-06-03,24.881,121921
2005-06-06,25.071,103244
2005-06-07,25.547,182814
2005-06-08,25.695,220319
2005-06-09,25.911,122070
2005-06-10,25.841,48766
2005-06-13,26.109,119212
2005-06-14,26.641,72726
2005-06-15,27.658,207487
2005-06-16,27.96,102814
2005-06-17,27.502,255826
2005-06-20,26.879,141034
2005-06-21,26.998,302596
2005-06-22,27.417,183811
2005-06-23,27.316,235434
2005-06-24,27.636,598779
2005-06-27,27.383,98963
2005-06-28,28.505,629010
2005-06-29,28.765,98537
2005-06-30,28.408,122779
2005-07-01,28.521,351364
2005-07-05,29.55,152153
2005-07-06,29.683,159998
2005-07-07,29.944,138323
2005-07-08,30.287,106951
2005-07-11,30.679,243562
2005-07-12,30.015,167127
2005-07-13,29.665,187949
2005-07-14,29.676,117502
2005-07-15,29.482,122208
2005-07-18,29.586,81854
2005-07-19,29.658,70016
2005-07-20,30.05,60749
2005-07-21,27.98,1407755
2005-07-22,28.085,787870
2005-07-25,27.348,207627
2005-07-26,26.647,266948
2005-07-27,27.089,307302
2005-07-28,27.131,350940
2005-07-29,26.9,362065
2005-08-01,27.291,126486
2005-08-02,27.417,207200
2005-08-03,27.259,112940
2005-08-04,27.348,200495
2005-08-05,26.964,174258
2005-08-08,27.104,197505
2005-08-09,27.181,131620
2005-08-10,27.273,99107
2005-08-11,28.05,350940
2005-08-12,27.932,100249
2005-08-15,28.197,135756
2005-08-16,27.835,57465
2005-08-17,27.763,72297
2005-08-18,27.195,88413
2005-08-19,27.181,99966
2005-08-22,27.273,121641
2005-08-23,27.602,83847
2005-08-24,27.777,157145
2005-08-25,27.617,82140
2005-08-26,27.244,75436
2005-08-29,27.041,76293
2005-08-30,27.649,112083
2005-08-31,28.203,139464
2005-09-01,28.681,169839
2005-09-02,28.611,65740
2005-09-06,28.821,69873
2005-09-07,29.242,120785
2005-09-08,28.828,96538
2005-09-09,28.542,81136
2005-09-12,28.92,110660
2005-09-13,29.328,119499
2005-09-14,29.944,142030
2005-09-15,30.679,216469
2005-09-16,31.135,294614
2005-09-19,30.61,131903
2005-09-20,29.817,171120
2005-09-21,28.724,215044
2005-09-22,28.948,68021
2005-09-23,29.221,117359
2005-09-26,29.391,91837
2005-09-27,29.874,105097
2005-09-28,29.32,164847
2005-09-29,29.658,98678
2005-09-30,29.236,74152
2005-10-03,30.377,162708
2005-10-04,31.072,161994
2005-10-05,30.239,116504
2005-10-06,29.586,85416
2005-10-07,29.734,80713
2005-10-10,29.824,90407
2005-10-11,29.033,130481
2005-10-12,28.402,95828
2005-10-13,27.84,267373
2005-10-14,28.477,87982
2005-10-17,28.597,92691
2005-10-18,28.724,172115
2005-10-19,30.274,212335
2005-10-20,31.557,447340
2005-10-21,32.573,372618
2005-10-24,33.653,422669
2005-10-25,34.013,422810
2005-10-26,34.362,271226
2005-10-27,33.121,226022
2005-10-28,33.085,246842
2005-10-31,33.626,236720
2005-11-01,33.661,259532
2005-11-02,34.355,381596
2005-11-03,35.105,208339
