Date,Close,Volume
2013-04-19,26.01,8487398
2013-04-22,26.43,1007883
2013-04-23,25.24,983635
2013-04-24,25.03,785250
2013-04-25,23.89,530056
2013-04-26,23.73,370900
2013-04-29,24.06,248793
2013-04-30,23.94,232348
2013-05-01,23.62,197334
2013-05-02,24.15,393958
2013-05-03,24.18,324453
2013-05-06,23.75,225805
2013-05-07,23.26,410215
2013-05-08,23.56,196475
2013-05-09,23.7,86868
2013-05-10,24.04,144677
2013-05-13,24.81,101957
2013-05-14,24.7,240557
2013-05-15,24.83,181696
2013-05-16,24.7,136583
2013-05-17,24.62,224670
2013-05-20,23.98,178131
2013-05-21,23.5,223268
2013-05-22,23.53,91908
2013-05-23,23.83,169368
2013-05-24,23.69,66032
2013-05-28,23.8,206180
2013-05-29,23.82,128839
2013-05-30,24.13,70739
2013-05-31,23.82,182363
2013-06-03,23.73,235191
2013-06-04,23.91,73508
2013-06-05,23.69,44846
2013-06-06,23.95,56806
2013-06-07,25.1,80322
2013-06-10,26.67,366797
2013-06-11,26.57,67179
2013-06-12,26.58,66921
2013-06-13,26.3,79113
2013-06-14,25.85,38941
2013-06-17,26.09,69570
2013-06-18,25.56,547056
2013-06-19,25.37,120568
2013-06-20,25.17,132275
2013-06-21,24.13,587942
2013-06-24,23.83,141390
2013-06-25,23.49,266088
2013-06-26,22.35,1024639
2013-06-27,22.44,565144
2013-06-28,23.2,1740098
2013-07-01,23.07,171856
2013-07-02,23.52,167818
2013-07-03,23.81,24677
2013-07-05,24.39,41198
2013-07-08,24.66,89082
2013-07-09,24.97,88902
2013-07-10,25.54,106182
2013-07-11,25.67,155850
2013-07-12,25.23,59571
2013-07-15,24.97,143620
2013-07-16,25.45,191677
2013-07-17,25.73,359354
2013-07-18,24.22,1078853
2013-07-19,24.4,83999
2013-07-22,24.26,104623
2013-07-23,23.98,237425
2013-07-24,23.21,206378
2013-07-25,23.26,127346
2013-07-26,23.72,59852
2013-07-29,23.86,81665
2013-07-30,24.25,124122
2013-07-31,24.4,168723
2013-08-01,24.5,112069
2013-08-02,24.87,50867
2013-08-05,25.3,63259
2013-08-06,25.01,77435
2013-08-07,24.86,58109
2013-08-08,24.99,31851
2013-08-09,24.82,129910
2013-08-12,24.74,74777
2013-08-13,24.94,28825
2013-08-14,24.84,15033
2013-08-15,24.74,41154
2013-08-16,24.66,34361
2013-08-19,24.9,58151
2013-08-20,24.93,82743
2013-08-21,24.8,47307
2013-08-22,25.06,34567
2013-08-23,25.15,61264
2013-08-26,24.8,48059
2013-08-27,24.708,37046
2013-08-28,24.7,44748
2013-08-29,24.75,266988
2013-08-30,24.51,77982
2013-09-03,24.49,25356
2013-09-04,24.79,32864
2013-09-05,24.76,57019
2013-09-06,24.67,92476
2013-09-09,24.9,104153
2013-09-10,24.95,80540
2013-09-11,24.8,87113
2013-09-12,25.23,35582
2013-09-13,24.9,18103
2013-09-16,24.94,101288
2013-09-17,25.12,103476
2013-09-18,24.95,30681
2013-09-19,24.48,213254
2013-09-20,24.29,173073
2013-09-23,25.1,196988
2013-09-24,25.71,352000
2013-09-25,25.94,153900
2013-09-26,24.99,203400
2013-09-27,24.37,56600
2013-09-30,24.03,175861
2013-10-01,24.0,94824
2013-10-02,22.94,231875
2013-10-03,22.31,391475
2013-10-04,21.66,380900
2013-10-07,21.19,192140
2013-10-08,21.03,350000
2013-10-09,21.24,411700
2013-10-10,20.98,416900
2013-10-11,21.82,435500
2013-10-14,22.56,450500
2013-10-15,22.45,219800
2013-10-16,22.2,522943
2013-10-17,22.52,333600
2013-10-18,22.79,139770
2013-10-21,22.9,125500
2013-10-22,23.48,288571
2013-10-23,24.25,347500
2013-10-24,23.56,214500
2013-10-25,23.12,114200
2013-10-28,23.49,65400
2013-10-29,23.04,204400
2013-10-30,22.85,48300
2013-10-31,22.86,114592
2013-11-01,23.25,117700
2013-11-04,23.21,105800
2013-11-05,22.95,63901
2013-11-06,22.8,37980
2013-11-07,22.83,133024
2013-11-08,23.14,151000
2013-11-11,23.28,68200
2013-11-12,23.23,66261
2013-11-13,23.48,41905
2013-11-14,23.4,35080
2013-11-15,23.26,47100
2013-11-18,22.86,41500
2013-11-19,22.39,109400
2013-11-20,22.77,127768
2013-11-21,22.78,68100
2013-11-22,22.65,71600
2013-11-25,22.39,69700
2013-11-26,22.36,36700
2013-11-27,22.5,74200
2013-11-29,22.79,72347
2013-12-02,22.36,99400
2013-12-03,22.54,100800
2013-12-04,22.25,62069
2013-12-05,22.35,98105
2013-12-06,22.5,113300
2013-12-09,22.4,81300
2013-12-10,23.42,247100
2013-12-11,23.32,66300
2013-12-12,23.44,110600
2013-12-13,23.76,55700
2013-12-16,23.62,78900
2013-12-17,23.19,191380
2013-12-18,23.79,129800
2013-12-19,23.6,105500
