Date,Close,Volume
2005-02-25,9.58,1561572
2005-02-28,9.24,1473032
2005-03-01,9.34,897228
2005-03-02,9.24,927484
2005-03-03,9.27,1023828
2005-03-04,9.35,497956
2005-03-07,9.35,849276
2005-03-08,9.36,803432
2005-03-09,8.55,2759936
2005-03-10,8.66,1716240
2005-03-11,8.56,577452
2005-03-14,8.75,926812
2005-03-15,8.69,546876
2005-03-16,8.49,1580964
2005-03-17,8.32,2310288
2005-03-18,8.2,1317468
2005-03-21,7.97,1213944
2005-03-22,8.06,1174856
2005-03-23,7.91,1353420
2005-03-24,7.94,732476
2005-03-28,8.1,1055096
2005-03-29,7.95,652440
2005-03-30,8.0,1744456
2005-03-31,7.97,1339568
2005-04-01,8.01,740976
2005-04-04,8.25,921440
2005-04-05,8.19,865912
2005-04-06,8.51,1129804
2005-04-07,8.54,452412
2005-04-08,8.25,507596
2005-04-11,8.57,1117444
2005-04-12,8.6,768296
2005-04-13,8.46,543200
2005-04-14,8.14,750888
2005-04-15,8.15,705076
2005-04-18,8.19,561256
2005-04-19,8.45,855872
2005-04-20,7.98,1555512
2005-04-21,7.78,2146124
2005-04-22,7.71,2005296
2005-04-25,7.8,694448
2005-04-26,7.77,561864
2005-04-27,8.75,3016284
2005-04-28,8.81,1505644
2005-04-29,8.89,1439200
2005-05-02,9.05,1487900
2005-05-03,9.18,977924
2005-05-04,9.22,1003024
2005-05-05,9.25,712852
2005-05-06,9.19,721380
2005-05-09,9.28,768124
2005-05-10,9.29,711068
2005-05-11,9.28,597780
2005-05-12,8.99,888156
2005-05-13,9.06,590276
2005-05-16,9.34,420900
2005-05-17,9.32,462140
2005-05-18,9.45,1912964
2005-05-19,9.37,461296
2005-05-20,9.34,334020
2005-05-23,9.39,1313256
2005-05-24,9.48,377400
2005-05-25,9.11,784236
2005-05-26,9.4,387028
2005-05-27,9.45,641148
2005-05-31,9.2,599468
2005-06-01,9.44,699796
2005-06-02,9.6,507164
2005-06-03,9.23,555460
2005-06-06,9.13,876768
2005-06-07,9.13,816108
2005-06-08,9.14,414392
2005-06-09,9.0,924188
2005-06-10,9.16,1125204
2005-06-13,9.05,685908
2005-06-14,9.37,760872
2005-06-15,9.45,637436
2005-06-16,9.9,1540444
2005-06-17,9.81,1649400
2005-06-20,9.95,858376
2005-06-21,9.98,807076
2005-06-22,10.02,521896
2005-06-23,9.82,909824
2005-06-24,9.54,1805368
2005-06-27,9.56,751744
2005-06-28,10.0,650452
2005-06-29,10.0,522040
2005-06-30,9.94,565180
2005-07-01,9.81,859528
2005-07-05,10.25,576148
2005-07-06,9.99,380368
2005-07-07,10.04,391084
2005-07-08,10.62,1290336
2005-07-11,10.27,1296260
2005-07-12,10.24,806784
2005-07-13,10.04,521656
2005-07-14,9.96,580596
2005-07-15,9.97,417664
2005-07-18,9.5,1391032
2005-07-19,9.8,554912
2005-07-20,10.05,477408
2005-07-21,9.7,629196
2005-07-22,9.63,883972
2005-07-25,9.37,808200
2005-07-26,9.28,1185440
2005-07-27,10.93,5946564
2005-07-28,11.36,2722936
2005-07-29,11.4,1509820
2005-08-01,11.32,899776
2005-08-02,11.38,1025888
2005-08-03,11.59,936716
2005-08-04,11.03,873248
2005-08-05,10.91,892372
2005-08-08,11.13,860496
2005-08-09,11.12,741200
2005-08-10,11.5,1006024
2005-08-11,11.56,734080
2005-08-12,11.46,458276
2005-08-15,11.99,2196924
2005-08-16,11.82,611576
2005-08-17,11.64,886784
2005-08-18,11.5,671676
2005-08-19,11.5,318076
2005-08-22,11.63,941664
2005-08-23,11.55,775700
2005-08-24,11.59,724148
2005-08-25,11.62,1301952
2005-08-26,11.71,950036
2005-08-29,11.79,623384
2005-08-30,11.73,912620
2005-08-31,12.06,685912
2005-09-01,12.06,736344
2005-09-02,11.91,270624
2005-09-06,12.17,1647540
2005-09-07,12.19,1038276
2005-09-08,12.37,460608
2005-09-09,12.43,397648
2005-09-12,12.34,336700
2005-09-13,12.03,478528
2005-09-14,11.97,420476
2005-09-15,11.73,1037564
2005-09-16,13.36,10058008
2005-09-19,13.22,2397980
2005-09-20,12.85,1067608
2005-09-21,12.6,953236
2005-09-22,12.87,1687548
2005-09-23,13.44,2224444
2005-09-26,14.07,3337264
2005-09-27,14.93,5015784
2005-09-28,14.59,2403704
2005-09-29,14.55,1732040
2005-09-30,14.44,931876
2005-10-03,14.74,1247912
2005-10-04,14.64,1270952
2005-10-05,14.09,1658768
2005-10-06,13.79,1607408
