Date,Close,Volume
2006-11-15,59.621,0
2006-11-16,62.482,9088622
2006-11-17,62.244,1170351
2006-11-20,63.993,1116335
2006-11-21,62.045,579088
2006-11-22,61.25,450901
2006-11-24,60.575,139784
2006-11-27,58.627,846376
2006-11-28,59.621,454324
2006-11-29,60.296,273379
2006-11-30,63.595,671419
2006-12-01,63.238,199460
2006-12-04,62.244,402041
2006-12-05,62.085,149419
2006-12-06,61.846,482326
2006-12-07,62.005,217876
2006-12-08,63.317,226858
2006-12-11,64.112,541425
2006-12-12,64.192,54596
2006-12-13,63.834,135282
2006-12-14,64.788,255038
2006-12-15,66.735,1510553
2006-12-18,66.855,400456
2006-12-19,64.907,381413
2006-12-20,66.974,541323
2006-12-21,68.802,247916
2006-12-22,67.769,278711
2006-12-26,67.093,126451
2006-12-27,67.57,164137
2006-12-28,67.57,84912
2006-12-29,69.12,127681
2007-01-03,68.683,511332
2007-01-04,68.564,169597
2007-01-05,69.319,90750
2007-01-08,68.842,173824
2007-01-09,67.61,194328
2007-01-10,67.888,872642
2007-01-11,66.338,938786
2007-01-12,68.007,144414
2007-01-16,68.603,82244
2007-01-17,69.001,74372
2007-01-18,69.08,145116
2007-01-19,68.842,86018
2007-01-22,72.3,468763
2007-01-23,74.605,270763
2007-01-24,76.831,645961
2007-01-25,75.877,954561
2007-01-26,75.082,79225
2007-01-29,75.201,146075
2007-01-30,74.605,635545
2007-01-31,74.009,178806
2007-02-01,75.321,113340
2007-02-02,75.122,79451
2007-02-05,77.229,163910
2007-02-06,78.341,531586
2007-02-07,79.335,127908
2007-02-08,81.005,151181
2007-02-09,82.276,183108
2007-02-12,80.687,301532
2007-02-13,80.925,91569
2007-02-14,84.343,178549
2007-02-15,85.933,142678
2007-02-16,87.046,147758
2007-02-20,88.437,95354
2007-02-21,86.41,70016
2007-02-22,86.251,33787
2007-02-23,85.695,71854
2007-02-26,84.9,158185
2007-02-27,84.502,125368
2007-02-28,84.502,203287
2007-03-01,81.402,241931
2007-03-02,83.906,150022
2007-03-05,83.469,172239
2007-03-06,84.383,94373
2007-03-07,83.111,105695
2007-03-08,83.469,359623
2007-03-09,83.071,350818
2007-03-12,83.946,269352
2007-03-13,84.701,226885
2007-03-14,87.881,174152
2007-03-15,87.006,257427
2007-03-16,87.563,143633
2007-03-19,86.569,198532
2007-03-20,86.49,121292
2007-03-21,89.312,163812
2007-03-22,90.862,104913
2007-03-23,90.544,59676
2007-03-26,90.544,150981
2007-03-27,92.809,205800
2007-03-28,93.048,117243
2007-03-29,92.491,128915
2007-03-30,94.201,109065
2007-04-02,93.088,171031
2007-04-03,95.989,90120
2007-04-04,94.28,219914
2007-04-05,95.313,76458
2007-04-09,96.069,81138
2007-04-10,96.148,110525
2007-04-11,94.757,101468
2007-04-12,94.32,42543
2007-04-13,94.36,52053
2007-04-16,94.201,159382
2007-04-17,92.968,165069
2007-04-18,91.657,162804
2007-04-19,90.226,161646
2007-04-20,92.293,112008
2007-04-23,93.247,304524
2007-04-24,91.736,92762
2007-04-25,92.452,110499
2007-04-26,87.96,931314
2007-04-27,83.866,353713
2007-04-30,79.097,550935
2007-05-01,80.806,418925
2007-05-02,85.377,454222
2007-05-03,86.211,230115
2007-05-04,86.649,316401
