Date,Close,Volume
2005-02-25,44.881,30927
2005-02-28,44.384,11093
2005-03-01,44.59,35841
2005-03-02,43.859,19764
2005-03-03,43.652,9423
2005-03-04,44.322,15634
2005-03-07,43.355,166340
2005-03-08,43.796,27376
2005-03-09,43.092,26352
2005-03-10,43.912,35227
2005-03-11,43.355,10102
2005-03-14,43.355,6896
2005-03-15,43.355,25942
2005-03-16,43.355,20309
2005-03-17,43.33,7202
2005-03-18,43.974,30686
2005-03-21,43.974,13039
2005-03-22,43.296,23039
2005-03-23,42.506,30378
2005-03-24,42.301,58096
2005-03-28,41.954,9796
2005-03-29,42.069,38163
2005-03-30,42.008,23895
2005-03-31,42.183,36044
2005-04-01,41.308,18603
2005-04-04,41.452,8637
2005-04-05,41.247,8773
2005-04-06,41.715,7545
2005-04-07,41.834,7986
2005-04-08,41.395,20039
2005-04-11,41.103,23553
2005-04-12,42.539,7475
2005-04-13,42.04,7578
2005-04-14,40.519,13621
2005-04-15,41.278,13585
2005-04-18,41.278,17650
2005-04-19,41.188,6144
2005-04-20,40.431,9115
2005-04-21,40.747,8536
2005-04-22,39.959,66289
2005-04-25,40.045,20788
2005-04-26,39.873,20245
2005-04-27,40.281,168526
2005-04-28,40.431,19321
2005-04-29,41.013,15600
2005-05-02,40.431,5973
2005-05-03,40.573,10719
2005-05-04,41.749,38439
2005-05-05,42.597,12188
2005-05-06,42.04,7783
2005-05-09,43.006,8910
2005-05-10,43.383,27104
2005-05-11,42.625,19866
2005-05-12,41.834,305573
2005-05-13,41.715,6964
2005-05-16,42.069,9147
2005-05-17,42.478,9423
2005-05-18,42.772,12391
2005-05-19,43.064,10039
2005-05-20,43.092,49766
2005-05-23,43.18,13893
2005-05-24,42.448,9763
2005-05-25,41.603,11743
2005-05-26,42.093,14986
2005-05-27,42.539,5257
2005-05-31,42.741,6245
2005-06-01,43.737,21745
2005-06-02,43.737,8191
2005-06-03,43.68,12732
2005-06-06,43.706,7885
2005-06-07,43.706,10102
2005-06-08,43.706,17512
2005-06-09,43.652,13176
2005-06-10,43.505,8739
2005-06-13,43.123,13346
2005-06-14,43.213,9045
2005-06-15,43.476,10548
2005-06-16,42.567,11332
2005-06-17,43.213,126434
2005-06-20,42.741,13005
2005-06-21,43.154,34338
2005-06-22,43.038,8330
2005-06-23,42.799,8568
2005-06-24,44.091,92302
2005-06-27,44.028,65504
2005-06-28,45.115,59222
2005-06-29,44.531,36934
2005-06-30,43.944,53184
2005-07-01,44.266,27240
2005-07-05,44.384,13415
2005-07-06,44.237,8126
2005-07-07,44.062,12150
2005-07-08,45.41,8978
2005-07-11,46.142,16796
2005-07-12,45.733,33554
2005-07-13,45.613,6144
2005-07-14,44.644,5358
2005-07-15,44.18,47822
2005-07-18,44.411,10616
2005-07-19,45.847,7679
2005-07-20,47.346,10855
2005-07-21,45.438,6041
2005-07-22,47.162,14884
2005-07-25,46.789,6484
2005-07-26,46.142,7440
2005-07-27,45.55,18467
2005-07-28,45.824,8739
2005-07-29,45.41,8603
2005-08-01,45.259,5428
2005-08-02,45.55,9830
2005-08-03,45.55,5358
2005-08-04,45.026,13691
2005-08-05,45.259,82197
2005-08-08,44.384,24851
2005-08-09,44.796,15634
2005-08-10,44.441,9626
2005-08-11,45.115,9217
2005-08-12,44.473,6144
2005-08-15,44.822,24748
2005-08-16,43.826,18260
2005-08-17,44.208,25530
2005-08-18,43.974,8126
2005-08-19,43.944,11843
2005-08-22,44.322,5973
2005-08-23,44.677,15668
2005-08-24,44.531,26182
2005-08-25,45.148,11367
2005-08-26,45.347,13621
2005-08-29,44.59,4575
2005-08-30,44.822,26865
2005-08-31,45.584,12086
2005-09-01,45.702,15463
2005-09-02,45.527,9319
2005-09-06,45.702,9626
2005-09-07,46.286,21471
2005-09-08,46.197,17716
2005-09-09,46.991,14644
2005-09-12,47.575,13039
2005-09-13,47.108,12150
2005-09-14,47.135,9626
2005-09-15,47.694,6484
2005-09-16,47.455,69670
2005-09-19,47.193,7440
2005-09-20,44.677,26591
2005-09-21,44.531,35774
2005-09-22,44.208,237681
2005-09-23,44.15,52841
2005-09-26,44.384,26523
2005-09-27,43.974,41131
2005-09-28,44.002,798004
2005-09-29,43.589,91585
2005-09-30,43.706,23895
2005-10-03,44.237,47175
2005-10-04,43.826,19079
2005-10-05,43.505,56423
2005-10-06,43.243,56116
2005-10-07,43.064,33384
2005-10-10,43.18,25465
2005-10-11,43.355,61238
2005-10-12,41.603,53696
2005-10-13,42.274,35979
2005-10-14,42.772,60657
2005-10-17,43.006,27820
2005-10-18,42.332,26968
2005-10-19,42.92,20174
2005-10-20,41.924,17650
2005-10-21,42.478,11572
2005-10-24,43.706,39939
2005-10-25,43.566,24100
2005-10-26,42.799,39119
2005-10-27,42.04,15737
2005-10-28,43.296,26250
2005-10-31,43.296,119985
2005-11-01,42.567,45571
2005-11-02,44.18,32635
2005-11-03,43.416,36934
2005-11-04,43.27,20039
2005-11-07,43.213,17751
2005-11-08,42.948,19285
2005-11-09,42.741,27887
2005-11-10,42.301,30788
2005-11-11,42.448,24305
2005-11-14,42.127,15873
2005-11-15,41.802,26729
2005-11-16,42.093,33009
2005-11-17,43.476,18467
2005-11-18,44.237,42740
2005-11-21,44.993,44855
2005-11-22,45.438,26421
2005-11-23,46.519,77076
2005-11-25,46.406,5291
2005-11-28,45.79,76942
2005-11-29,45.086,102609
2005-11-30,45.79,70113
2005-12-01,46.142,62364
2005-12-02,45.963,44170
2005-12-05,45.469,9045
2005-12-06,45.55,10242
2005-12-07,44.705,18399
2005-12-08,44.968,18432
2005-12-09,44.968,21301
2005-12-12,44.322,13211
2005-12-13,44.59,20855
2005-12-14,45.259,21130
2005-12-15,44.822,18775
2005-12-16,44.59,76904
2005-12-19,43.888,26865
2005-12-20,43.796,10889
2005-12-21,44.18,18091
2005-12-22,44.764,14473
2005-12-23,45.824,15430
2005-12-27,45.148,28639
2005-12-28,44.968,23109
2005-12-29,44.968,48744
2005-12-30,45.319,52259
2006-01-03,44.968,37958
2006-01-04,44.677,64481
2006-01-05,44.993,21301
2006-01-06,45.148,22053
2006-01-09,44.59,9490
2006-01-10,45.584,28573
2006-01-11,45.702,25019
2006-01-12,44.677,28094
2006-01-13,44.881,19321
2006-01-17,44.705,17104
2006-01-18,44.677,30378
2006-01-19,44.764,23621
2006-01-20,44.822,20893
2006-01-23,44.677,18226
2006-01-24,44.5,36286
2006-01-25,44.5,33350
2006-01-26,45.702,28024
2006-01-27,45.501,16418
2006-01-30,45.64,23653
2006-01-31,46.197,25465
2006-02-01,46.933,40996
2006-02-02,46.87,52227
2006-02-03,46.729,37378
2006-02-06,46.96,24203
2006-02-07,46.933,112099
2006-02-08,46.844,38641
2006-02-09,46.87,23487
2006-02-10,45.29,65642
2006-02-13,45.058,38574
2006-02-14,44.937,35910
2006-02-15,45.259,14950
2006-02-16,45.026,111416
2006-02-17,44.911,16384
2006-02-21,44.59,36352
2006-02-22,44.644,53149
2006-02-23,44.266,20516
2006-02-24,44.5,57110
2006-02-27,44.644,43181
2006-02-28,44.322,18978
2006-03-01,44.384,31167
2006-03-02,44.237,21130
2006-03-03,44.091,32737
2006-03-06,44.062,77453
2006-03-07,43.796,48436
2006-03-08,44.15,24885
2006-03-09,43.826,34134
2006-03-10,44.531,144662
2006-03-13,43.888,34580
2006-03-14,44.384,29220
2006-03-15,44.5,44203
