,Date,Close
0,2014-06-12,11.02
1,2014-06-13,10.3
2,2014-06-16,10.7
3,2014-06-17,10.1
4,2014-06-18,9.97
5,2014-06-19,9.75
6,2014-06-20,9.92
7,2014-06-23,10.24
8,2014-06-24,10.05
9,2014-06-25,9.99
10,2014-06-26,9.73
11,2014-06-27,9.57
12,2014-06-30,9.52
13,2014-07-01,9.8
14,2014-07-02,9.89
15,2014-07-03,9.82
16,2014-07-07,11.05
17,2014-07-08,10.74
18,2014-07-09,10.92
19,2014-07-10,10.525
20,2014-07-11,9.88
21,2014-07-14,9.49
22,2014-07-15,8.78
23,2014-07-16,8.3
24,2014-07-17,8.17
25,2014-07-18,8.05
26,2014-07-21,7.75
27,2014-07-22,8.42
28,2014-07-23,8.56
29,2014-07-24,8.69
30,2014-07-25,8.4
31,2014-07-28,8.3
32,2014-07-29,8.39
33,2014-07-30,8.5
34,2014-07-31,9.0
35,2014-08-01,8.53
36,2014-08-04,8.77
37,2014-08-05,8.43
38,2014-08-06,8.63
39,2014-08-07,8.56
40,2014-08-08,8.8
41,2014-08-11,8.81
42,2014-08-12,8.35
43,2014-08-13,8.61
44,2014-08-14,8.54
45,2014-08-15,8.53
46,2014-08-18,8.46
47,2014-08-19,8.54
48,2014-08-20,8.51
49,2014-08-21,8.86
50,2014-08-22,9.37
51,2014-08-25,10.58
52,2014-08-26,11.73
53,2014-08-27,11.67
54,2014-08-28,11.87
55,2014-08-29,11.59
56,2014-09-02,12.02
57,2014-09-03,12.05
58,2014-09-04,11.74
59,2014-09-05,10.89
60,2014-09-08,11.41
61,2014-09-09,11.31
62,2014-09-10,11.72
63,2014-09-11,11.45
64,2014-09-12,11.18
65,2014-09-15,10.88
66,2014-09-16,11.23
67,2014-09-17,11.11
68,2014-09-18,10.65
69,2014-09-19,10.22
70,2014-09-22,10.16
71,2014-09-23,9.78
72,2014-09-24,9.99
73,2014-09-25,9.9
74,2014-09-26,9.94
75,2014-09-29,10.89
76,2014-09-30,11.14
77,2014-10-01,10.46
78,2014-10-02,10.8
79,2014-10-03,10.6
80,2014-10-06,10.99
81,2014-10-07,10.25
82,2014-10-08,10.4
83,2014-10-09,10.4
84,2014-10-10,9.68
85,2014-10-13,9.18
86,2014-10-14,9.11
87,2014-10-15,8.99
88,2014-10-16,9.38
89,2014-10-17,9.48
90,2014-10-20,9.2
91,2014-10-21,9.18
92,2014-10-22,9.11
93,2014-10-23,9.2
94,2014-10-24,9.08
95,2014-10-27,8.86
96,2014-10-28,9.22
97,2014-10-29,9.41
98,2014-10-30,9.91
99,2014-10-31,10.06
100,2014-11-03,9.82
101,2014-11-04,9.81
