Date,Close,Volume
1970-01-02,1.713,66789
1970-01-05,1.7232,85763
1970-01-06,1.6919,100561
1970-01-07,1.713,75517
1970-01-08,1.7712,286123
1970-01-09,1.7445,725939
1970-01-12,1.713,73622
1970-01-13,1.713,62611
1970-01-14,1.6919,36432
1970-01-15,1.6865,44398
1970-01-16,1.6816,50092
1970-01-19,1.6919,59577
1970-01-20,1.6708,54647
1970-01-21,1.6708,104352
1970-01-22,1.6708,56540
1970-01-23,1.6602,48574
1970-01-26,1.618,253111
1970-01-27,1.6022,195430
1970-01-28,1.634,86518
1970-01-29,1.6022,108149
1970-01-30,1.634,87660
1970-02-02,1.618,94488
1970-02-03,1.6602,94871
1970-02-04,1.6708,77032
1970-02-05,1.634,88420
1970-02-06,1.6546,70581
1970-02-09,1.6708,105875
1970-02-10,1.6602,62234
1970-02-11,1.6708,53884
1970-02-12,1.6865,75138
1970-02-13,1.6708,145720
1970-02-16,1.6919,66409
1970-02-17,1.7232,82722
1970-02-18,1.7657,92210
1970-02-19,1.7657,94871
1970-02-20,1.7813,85763
1970-02-24,1.7813,73238
1970-02-25,1.8394,142685
1970-02-26,1.8343,99422
1970-02-27,1.8343,100940
1970-03-02,1.8552,108149
1970-03-03,1.8974,123332
1970-03-04,1.9184,130540
1970-03-05,1.9184,114982
1970-03-06,1.8974,52747
1970-03-09,1.8445,69442
1970-03-10,1.8445,53884
1970-03-11,1.8709,46677
1970-03-12,1.8659,62992
1970-03-13,1.8659,56919
1970-03-16,1.8128,57680
1970-03-17,1.8394,72103
1970-03-18,1.8235,63370
1970-03-19,1.8079,31499
1970-03-20,1.7972,69442
1970-03-23,1.7972,66409
1970-03-24,1.8394,48195
1970-03-25,1.8552,97905
1970-03-26,1.8552,77032
1970-03-30,1.8235,46677
1970-03-31,1.8394,45540
1970-04-01,1.8868,75138
1970-04-02,1.8974,71339
1970-04-03,1.8868,55026
1970-04-06,1.8816,59577
1970-04-07,1.9133,99422
1970-04-08,1.9133,46295
1970-04-09,1.9078,77794
1970-04-10,1.8763,59955
1970-04-13,1.8552,44398
1970-04-14,1.8445,64889
1970-04-15,1.8974,103976
1970-04-16,1.8552,91073
1970-04-17,1.8128,53884
1970-04-20,1.8445,34909
1970-04-21,1.8394,52366
1970-04-22,1.8394,48574
1970-04-23,1.7921,102458
1970-04-24,1.7813,43640
1970-04-27,1.7445,67925
1970-04-28,1.7445,139648
1970-04-29,1.7445,127124
1970-04-30,1.7341,58819
1970-05-01,1.7445,31878
1970-05-04,1.7021,66789
1970-05-05,1.7077,51229
1970-05-06,1.7232,99422
1970-05-07,1.7394,52747
1970-05-08,1.7549,47814
1970-05-11,1.7394,49711
1970-05-12,1.7549,76656
1970-05-13,1.7549,49711
1970-05-14,1.6919,112702
1970-05-15,1.7021,103596
1970-05-18,1.7077,39468
1970-05-19,1.6654,58819
1970-05-20,1.6496,74754
1970-05-21,1.6389,106633
1970-05-22,1.6233,105113
1970-05-25,1.5708,121053
1970-05-26,1.539,179873
1970-05-27,1.6022,140028
1970-05-28,1.6496,158620
1970-05-29,1.6761,68305
1970-06-01,1.6919,61853
1970-06-02,1.6816,49332
1970-06-03,1.6654,57299
1970-06-04,1.6602,44020
1970-06-05,1.6074,67546
1970-06-08,1.634,44398
1970-06-09,1.6602,29981
1970-06-10,1.634,30359
1970-06-11,1.6233,38709
1970-06-12,1.6233,28085
1970-06-15,1.6233,35291
1970-06-16,1.6919,124092
1970-06-17,1.6496,51229
1970-06-18,1.6654,26182
1970-06-19,1.6496,37567
1970-06-22,1.6233,45915
1970-06-23,1.6022,78173
1970-06-24,1.5761,43640
1970-06-25,1.5708,32635
1970-06-26,1.5708,35667
1970-06-29,1.5598,36432
1970-06-30,1.5656,49711
1970-07-01,1.5495,33775
1970-07-02,1.5495,46677
1970-07-06,1.5336,50850
1970-07-07,1.5077,98286
1970-07-08,1.5179,70205
1970-07-09,1.5656,69067
1970-07-10,1.5443,50092
1970-07-13,1.5443,39468
1970-07-14,1.5336,39844
1970-07-15,1.5285,73238
1970-07-16,1.5285,85763
1970-07-17,1.5285,87281
1970-07-20,1.5285,88038
1970-07-21,1.5179,89176
1970-07-22,1.5077,110427
1970-07-23,1.5285,56162
1970-07-24,1.5285,44777
1970-07-27,1.5179,37567
1970-07-28,1.5077,94871
1970-07-29,1.5443,94111
1970-07-30,1.5495,40981
1970-07-31,1.5598,43640
1970-08-03,1.5812,38325
1970-08-04,1.5812,40981
1970-08-05,1.5598,32635
1970-08-06,1.5495,29221
1970-08-07,1.5495,103216
1970-08-10,1.5285,99045
1970-08-11,1.5285,72859
1970-08-12,1.5125,43262
1970-08-13,1.5285,45915
1970-08-14,1.5285,40227
1970-08-17,1.5125,88800
1970-08-18,1.5022,68305
1970-08-19,1.5022,108910
1970-08-20,1.5285,36050
1970-08-21,1.5915,139648
1970-08-24,1.5598,108149
1970-08-25,1.5761,66028
1970-08-26,1.5812,93733
1970-08-27,1.5708,57680
1970-08-28,1.6074,90315
1970-08-31,1.6125,54647
1970-09-01,1.6125,56162
1970-09-02,1.6074,42499
1970-09-03,1.634,66028
1970-09-04,1.6389,79690
1970-09-08,1.6389,102839
1970-09-09,1.6233,70961
1970-09-10,1.6233,110427
1970-09-11,1.6125,30359
1970-09-14,1.634,62992
1970-09-15,1.6022,68685
1970-09-16,1.6074,69067
1970-09-17,1.5915,172282
1970-09-18,1.6022,81968
1970-09-21,1.5598,78551
1970-09-22,1.5495,115743
1970-09-23,1.5761,65270
1970-09-24,1.6496,139648
1970-09-25,1.6496,55026
1970-09-28,1.6444,53884
1970-09-29,1.6444,60716
1970-09-30,1.6496,84245
1970-10-01,1.6022,188221
1970-10-02,1.5708,41364
1970-10-05,1.5761,144199
1970-10-06,1.6654,248175
1970-10-07,1.6816,159760
1970-10-08,1.6233,89176
1970-10-09,1.6022,71723
1970-10-12,1.5915,54266
1970-10-13,1.5598,62992
1970-10-14,1.5708,54647
1970-10-15,1.5598,38709
1970-10-16,1.5443,136232
1970-10-19,1.5598,64511
1970-10-20,1.5495,70581
1970-10-21,1.5443,93733
1970-10-22,1.5495,82347
1970-10-23,1.539,67168
1970-10-26,1.5285,89935
1970-10-27,1.539,113461
1970-10-28,1.5285,103216
1970-10-29,1.539,63370
1970-10-30,1.5495,72859
1970-11-02,1.5546,78551
1970-11-03,1.5598,54266
1970-11-04,1.5546,36050
1970-11-05,1.5546,60335
1970-11-06,1.5761,51229
1970-11-09,1.5915,102458
1970-11-10,1.5915,65270
1970-11-11,1.6022,93733
1970-11-12,1.5598,105113
1970-11-13,1.5495,80827
1970-11-17,1.5546,51229
1970-11-18,1.539,77794
1970-11-19,1.5285,107008
1970-11-20,1.5285,75138
1970-11-23,1.5125,285365
1970-11-24,1.5125,76656
1970-11-25,1.4809,308136
1970-11-27,1.4917,142303
1970-11-30,1.5125,203400
1970-12-01,1.5179,116120
1970-12-02,1.523,80066
1970-12-03,1.539,110807
1970-12-04,1.5598,143822
1970-12-07,1.5915,103976
1970-12-08,1.5598,117637
1970-12-09,1.5761,143440
1970-12-10,1.5915,148753
1970-12-11,1.5495,123332
1970-12-14,1.5546,127124
1970-12-15,1.5598,104734
1970-12-16,1.5598,130159
1970-12-17,1.5761,125225
1970-12-18,1.5598,124092
1970-12-21,1.5761,156724
1970-12-22,1.5761,78931
1970-12-23,1.6022,154826
1970-12-24,1.6444,100561
1970-12-28,1.6496,83484
1970-12-29,1.7182,204538
1970-12-30,1.713,132818
1970-12-31,1.7021,119537
1971-01-04,1.6816,64133
1971-01-05,1.7021,89176
1971-01-06,1.7232,92210
1971-01-07,1.7182,79690
1971-01-08,1.7021,72103
1971-01-11,1.7232,90315
1971-01-12,1.7921,204156
1971-01-13,1.7341,175315
1971-01-14,1.7341,64889
1971-01-15,1.7341,98665
1971-01-18,1.7712,135473
1971-01-19,1.7657,66789
1971-01-20,1.7657,99045
1971-01-21,1.7341,180252
1971-01-22,1.7341,97146
1971-01-25,1.7813,92971
1971-01-26,1.7232,154446
1971-01-27,1.7021,231097
1971-01-28,1.7182,124851
1971-01-29,1.7182,108529
1971-02-01,1.7657,113845
1971-02-02,1.7657,232243
1971-02-03,1.7341,95247
1971-02-04,1.713,81206
1971-02-05,1.7445,101319
1971-02-08,1.7657,118018
1971-02-09,1.7657,173420
1971-02-10,1.7657,118018
1971-02-11,1.7712,119537
1971-02-12,1.7762,78173
1971-02-16,1.7972,152170
1971-02-17,1.7657,79312
1971-02-18,1.7341,88420
1971-02-19,1.7021,87660
1971-02-22,1.6919,98286
1971-02-23,1.6816,94871
1971-02-24,1.6816,66028
1971-02-25,1.6496,121434
1971-02-26,1.6708,83863
1971-03-01,1.6602,80066
1971-03-02,1.6602,64511
1971-03-03,1.6496,84245
1971-03-04,1.6496,89555
1971-03-05,1.6816,80449
1971-03-08,1.6816,129780
1971-03-09,1.6816,80066
1971-03-10,1.6708,73238
1971-03-11,1.6972,143822
1971-03-12,1.6816,76278
1971-03-15,1.7445,173800
1971-03-16,1.7498,179490
1971-03-17,1.7657,107008
1971-03-18,1.7972,112323
1971-03-19,1.7921,166972
1971-03-22,1.7972,99805
1971-03-23,1.7972,52366
1971-03-24,1.7657,69826
1971-03-25,1.7712,78173
1971-03-26,1.7445,60335
1971-03-29,1.7498,60716
1971-03-30,1.7341,63751
1971-03-31,1.7498,187842
1971-04-01,1.7341,96767
1971-04-02,1.7232,64889
1971-04-05,1.7341,80066
1971-04-06,1.7232,80827
1971-04-07,1.7549,101699
1971-04-08,1.7712,96388
1971-04-12,1.7549,151789
1971-04-13,1.7657,75517
1971-04-14,1.7657,73999
1971-04-15,1.7972,145340
1971-04-16,1.8659,352532
1971-04-19,1.8868,248557
1971-04-20,1.8498,120673
1971-04-21,1.8235,151789
1971-04-22,1.8128,76656
1971-04-23,1.7921,67925
1971-04-26,1.8026,75897
1971-04-27,1.8659,127124
1971-04-28,1.8709,173043
1971-04-29,1.8445,85385
1971-04-30,1.8445,71339
1971-05-03,1.7921,85385
1971-05-04,1.8026,71723
1971-05-05,1.8128,76278
1971-05-06,1.8128,154446
1971-05-07,1.8128,92593
1971-05-10,1.7921,66028
1971-05-11,1.8026,65651
1971-05-12,1.8128,69826
1971-05-13,1.8235,137749
1971-05-14,1.7972,53508
1971-05-17,1.7712,65270
1971-05-18,1.7657,61095
1971-05-19,1.7813,58440
1971-05-20,1.7712,47054
1971-05-21,1.7762,50850
1971-05-24,1.7657,54266
1971-05-25,1.7712,65270
1971-05-26,1.7549,40604
1971-05-27,1.7657,44777
1971-05-28,1.7549,32635
1971-06-01,1.7549,49332
1971-06-02,1.7445,77032
1971-06-03,1.7341,93351
1971-06-04,1.7232,54647
1971-06-07,1.7021,70961
1971-06-08,1.6972,111567
1971-06-09,1.6919,54647
1971-06-10,1.6972,51989
