Date,Close,Volume
2005-02-25,21.98,146247
2005-02-28,21.668,132881
2005-03-01,21.766,101654
2005-03-02,21.677,179272
2005-03-03,21.668,86829
2005-03-04,21.555,99518
2005-03-07,21.766,143440
2005-03-08,21.349,136701
2005-03-09,21.32,134566
2005-03-10,21.59,444808
2005-03-11,21.607,186910
2005-03-14,22.176,319456
2005-03-15,22.166,240378
2005-03-16,22.062,165455
2005-03-17,22.55,1027335
2005-03-18,22.489,338327
2005-03-21,22.418,273180
2005-03-22,22.435,262729
2005-03-23,22.641,284071
2005-03-24,22.641,153100
2005-03-28,22.959,167587
2005-03-29,22.506,176578
2005-03-30,22.506,129176
2005-03-31,22.48,158606
2005-04-01,22.844,151081
2005-04-04,23.101,325518
2005-04-05,23.288,172870
2005-04-06,23.352,89860
2005-04-07,23.37,67958
2005-04-08,23.344,95813
2005-04-11,23.326,229706
2005-04-12,23.138,145912
2005-04-13,22.791,127263
2005-04-14,22.035,184549
2005-04-15,21.82,346302
2005-04-18,21.883,278678
2005-04-19,22.48,381346
2005-04-20,22.738,274524
2005-04-21,23.118,226111
2005-04-22,23.227,400331
2005-04-25,23.128,266773
2005-04-26,23.173,217464
2005-04-27,22.658,95928
2005-04-28,22.443,75822
2005-04-29,23.032,156133
2005-05-02,23.023,136363
2005-05-03,22.702,108282
2005-05-04,23.128,130408
2005-05-05,23.101,72899
2005-05-06,23.138,74023
2005-05-09,23.326,152655
2005-05-10,23.138,96939
2005-05-11,23.109,169500
2005-05-12,22.72,91883
2005-05-13,22.55,92446
2005-05-16,23.37,88739
2005-05-17,23.565,227907
2005-05-18,23.637,219936
2005-05-19,23.548,177026
2005-05-20,23.699,191741
2005-05-23,24.792,338211
2005-05-24,24.659,147822
2005-05-25,24.332,111092
2005-05-26,24.393,133556
2005-05-27,24.261,68070
2005-05-31,24.482,179721
2005-06-01,24.297,126141
2005-06-02,24.429,220044
2005-06-03,24.393,199942
2005-06-06,24.463,110866
2005-06-07,24.572,141983
2005-06-08,24.251,184886
2005-06-09,25.006,271719
2005-06-10,25.06,416393
2005-06-13,25.509,268907
2005-06-14,25.15,922645
2005-06-15,25.313,417179
2005-06-16,25.332,282840
2005-06-17,25.322,294855
