Date,Close,Volume
2005-02-25,10.464,250224
2005-02-28,10.541,133849
2005-03-01,10.91,278137
2005-03-02,11.373,425577
2005-03-03,11.678,270852
2005-03-04,11.8,354344
2005-03-07,11.71,276437
2005-03-08,11.741,102903
2005-03-09,11.579,97325
2005-03-10,11.364,101450
2005-03-11,11.553,111034
2005-03-14,11.472,122323
2005-03-15,11.588,188454
2005-03-16,11.472,43811
2005-03-17,11.364,67106
2005-03-18,11.512,200957
2005-03-21,11.497,57399
2005-03-22,11.687,233233
2005-03-23,11.398,99143
2005-03-24,11.428,133241
2005-03-28,11.489,1807875
2005-03-29,11.265,211512
2005-03-30,11.421,136276
2005-03-31,11.398,148895
2005-04-01,11.217,103392
2005-04-04,11.398,82032
2005-04-05,11.497,93195
2005-04-06,11.526,153023
2005-04-07,11.535,40774
2005-04-08,11.248,45384
2005-04-11,11.265,86282
2005-04-12,11.315,57644
2005-04-13,11.024,60917
2005-04-14,10.259,147200
2005-04-15,9.78,154239
2005-04-18,10.178,93801
2005-04-19,10.136,220855
2005-04-20,9.904,139916
2005-04-21,10.178,139309
2005-04-22,8.4055,546925
2005-04-25,8.2902,442807
2005-04-26,7.8697,476298
2005-04-27,7.6884,377886
2005-04-28,7.5648,267579
2005-04-29,7.7629,344030
2005-05-02,7.7463,250102
2005-05-03,7.7463,155451
2005-05-04,7.9277,204234
2005-05-05,7.8864,272677
2005-05-06,7.9769,183967
2005-05-09,8.1501,428731
2005-05-10,7.9523,341602
2005-05-11,7.8777,273159
2005-05-12,8.0347,181055
2005-05-13,8.0923,156545
2005-05-16,8.257,148290
2005-05-17,8.5456,321941
2005-05-18,8.7104,185665
2005-05-19,8.7271,123169
2005-05-20,8.7516,61405
2005-05-23,8.7352,243794
2005-05-24,8.7759,82520
2005-05-25,8.7352,151810
2005-05-26,9.0152,167582
2005-05-27,9.3291,173651
2005-05-31,9.0088,152173
2005-06-01,9.1803,98902
2005-06-02,9.2216,94531
2005-06-03,8.9992,103145
2005-06-06,9.0805,104240
2005-06-07,9.3369,146713
2005-06-08,9.3369,88707
2005-06-09,9.3212,53152
2005-06-10,9.503,71962
2005-06-13,9.639,52425
2005-06-14,9.814,79241
2005-06-15,9.997,147078
2005-06-16,10.308,94165
2005-06-17,10.425,350820
2005-06-20,10.341,114795
2005-06-21,10.425,215155
2005-06-22,10.39,108851
2005-06-23,9.857,255199
2005-06-24,9.866,206294
2005-06-27,9.709,65771
2005-06-28,10.052,57035
2005-06-29,10.316,50605
2005-06-30,10.094,71235
2005-07-01,10.013,73904
2005-07-05,10.183,77542
2005-07-06,10.259,66381
2005-07-07,10.244,139558
2005-07-08,10.497,173409
2005-07-11,10.497,79971
2005-07-12,10.374,70020
2005-07-13,10.35,59219
2005-07-14,10.39,136885
2005-07-15,10.549,181906
2005-07-18,10.442,100236
2005-07-19,10.671,98170
2005-07-20,10.497,218431
2005-07-21,10.473,183604
2005-07-22,10.698,172072
2005-07-25,10.663,141251
2005-07-26,10.822,102416
2005-07-27,10.737,106907
2005-07-28,10.746,108972
2005-07-29,10.663,351674
2005-08-01,10.621,225953
2005-08-02,10.829,169892
2005-08-03,11.0,260539
2005-08-04,10.993,153265
2005-08-05,10.892,83856
2005-08-08,10.689,108731
2005-08-09,10.614,84947
2005-08-10,10.679,71110
2005-08-11,10.877,36043
2005-08-12,10.704,46477
2005-08-15,10.704,199865
2005-08-16,10.655,125354
2005-08-17,10.596,175110
2005-08-18,10.399,129845
2005-08-19,10.39,75359
2005-08-22,10.374,81669
2005-08-23,10.201,65043
2005-08-24,10.079,101935
2005-08-25,10.06,48058
2005-08-26,10.005,106789
2005-08-29,9.971,95745
2005-08-30,9.938,64557
2005-08-31,9.938,83489
2005-09-01,9.857,45747
2005-09-02,9.805,28396
2005-09-06,9.938,64072
2005-09-07,9.683,236876
2005-09-08,9.665,159818
2005-09-09,9.603,36650
2005-09-12,9.741,77783
2005-09-13,9.532,70020
2005-09-14,9.4114,119651
2005-09-15,9.4432,53514
2005-09-16,9.559,210905
2005-09-19,9.567,46114
2005-09-20,9.617,141251
2005-09-21,9.567,137372
2005-09-22,9.3937,85915
2005-09-23,9.4611,63470
2005-09-26,9.617,65166
2005-09-27,9.632,41626
2005-09-28,9.503,33854
2005-09-29,9.657,67594
2005-09-30,9.4025,116983
2005-10-03,9.1975,116132
2005-10-04,9.1314,85551
2005-10-05,8.8846,129721
2005-10-06,8.9411,159818
2005-10-07,9.088,90646
2005-10-10,8.8994,120257
2005-10-11,8.8257,202781
2005-10-12,8.7934,101691
2005-10-13,8.9739,123534
2005-10-14,9.0152,67836
2005-10-17,8.9739,106306
2005-10-18,9.032,70142
2005-10-19,8.9562,185665
2005-10-20,8.8257,126326
2005-10-21,8.8667,72081
2005-10-24,8.9909,122805
2005-10-25,8.9486,101450
2005-10-26,8.8846,80820
2005-10-27,8.7934,89556
2005-10-28,8.9909,78270
2005-10-31,9.2294,138704
2005-11-01,9.648,192462
2005-11-02,10.169,117712
2005-11-03,10.367,252406
2005-11-04,10.324,114068
2005-11-07,10.588,377277
2005-11-08,10.226,120135
2005-11-09,10.277,127177
2005-11-10,10.497,155934
2005-11-11,10.533,95989
2005-11-14,10.481,85067
2005-11-15,10.442,149380
2005-11-16,10.58,103271
2005-11-17,10.58,167463
2005-11-18,10.639,217221
2005-11-21,10.829,207992
2005-11-22,10.91,197800
2005-11-23,11.033,67714
2005-11-25,11.051,38952
2005-11-28,11.078,124017
2005-11-29,11.191,131910
2005-11-30,11.306,158844
2005-12-01,11.625,176197
2005-12-02,11.733,149380
2005-12-05,11.67,103876
2005-12-06,11.768,163337
2005-12-07,11.579,180328
2005-12-08,11.561,117103
2005-12-09,11.526,76939
2005-12-12,11.625,69775
2005-12-13,11.248,93561
2005-12-14,11.489,125110
2005-12-15,11.315,67714
2005-12-16,11.57,343543
2005-12-19,11.428,96840
2005-12-20,11.596,97081
2005-12-21,11.759,132027
