Date,Close,Volume
2016-09-15,25.235,9859045
2016-09-16,25.293,714972
2016-09-19,25.428,570871
2016-09-20,25.351,161024
2016-09-21,25.438,208890
2016-09-22,25.756,134155
2016-09-23,25.909,220958
2016-09-26,26.487,145409
2016-09-27,26.198,300485
2016-09-28,26.795,293819
2016-09-29,26.603,59301
2016-09-30,26.871,141825
2016-10-03,26.565,231416
2016-10-04,26.766,62281
2016-10-05,26.785,92443
2016-10-06,26.775,125956
2016-10-07,26.689,171309
2016-10-10,27.364,700760
2016-10-11,27.345,362606
2016-10-12,27.999,703432
2016-10-13,27.701,268840
2016-10-14,28.172,291235
2016-10-17,29.376,299077
2016-10-18,29.3,281244
2016-10-19,28.751,249826
2016-10-20,28.933,235116
2016-10-21,29.088,176139
2016-10-24,29.859,515314
2016-10-25,29.571,16438
2016-10-26,29.511,46435
2016-10-27,30.032,14616
2016-10-28,29.376,28108
2016-10-31,28.896,39894
2016-11-01,27.923,181474
2016-11-02,28.857,412264
2016-11-03,28.761,394379
2016-11-04,28.789,99036
2016-11-07,29.049,27506
2016-11-08,28.481,45350
2016-11-09,28.827,31848
2016-11-10,28.472,174723
2016-11-11,28.52,33767
2016-11-14,28.674,96784
2016-11-15,29.713,128521
2016-11-16,30.871,178401
2016-11-17,30.985,78026
2016-11-18,31.169,110746
2016-11-21,30.755,134043
2016-11-22,31.467,123210
2016-11-23,31.515,72179
2016-11-25,32.729,8163
2016-11-28,32.171,29257
2016-11-29,31.573,51795
2016-11-30,30.888,175158
2016-12-01,31.1,111925
2016-12-02,30.967,13988
2016-12-05,30.782,26608
2016-12-06,32.373,53776
2016-12-07,33.249,50001
2016-12-08,33.277,64660
2016-12-09,33.816,48548
2016-12-12,34.702,367953
2016-12-13,36.899,224207
2016-12-14,35.31,49894
2016-12-15,34.924,66233
2016-12-16,34.799,139158
2016-12-19,35.772,65924
2016-12-20,35.06,79819
2016-12-21,34.934,139057
2016-12-22,35.579,30669
2016-12-23,35.57,16052
2016-12-27,35.272,7912
2016-12-28,35.579,49410
2016-12-29,35.3,16199
2016-12-30,34.676,48009
2017-01-03,35.29,47843
2017-01-04,35.272,64146
2017-01-05,35.608,72395
2017-01-06,36.591,22607
2017-01-09,36.552,100512
2017-01-10,36.539,45032
2017-01-11,36.447,30593
2017-01-12,36.823,34980
2017-01-13,36.668,96650
2017-01-17,40.79,166030
2017-01-18,40.213,156740
2017-01-19,41.194,69645
2017-01-20,41.465,49456
2017-01-23,41.426,93890
2017-01-24,42.381,44183
2017-01-25,41.416,85252
2017-01-26,41.918,78811
2017-01-27,41.397,93015
2017-01-30,41.33,141095
2017-01-31,41.822,63179
2017-02-01,42.399,113776
2017-02-02,43.453,52838
2017-02-03,44.357,55605
2017-02-06,45.253,131232
2017-02-07,46.177,160725
2017-02-08,44.941,45183
2017-02-09,45.106,91851
2017-02-10,44.747,70810
2017-02-13,45.301,117786
2017-02-14,45.574,181985
2017-02-15,46.984,143164
2017-02-16,47.636,108387
2017-02-17,47.276,58978
2017-02-21,47.898,103161
2017-02-22,47.762,113621
2017-02-23,47.354,91756
2017-02-24,47.733,110947
2017-02-27,47.295,99707
2017-02-28,47.276,78363
2017-03-01,49.912,69645
2017-03-02,50.593,123878
2017-03-03,50.223,75706
2017-03-06,48.151,100755
2017-03-07,48.394,28277
2017-03-08,47.033,100760
2017-03-09,45.291,113180
2017-03-10,46.623,215543
2017-03-13,45.865,43950
2017-03-14,45.758,78511
2017-03-15,47.461,43389
2017-03-16,48.385,62198
2017-03-17,47.626,93203
2017-03-20,47.888,41703
2017-03-21,47.023,33017
2017-03-22,47.237,33888
2017-03-23,48.725,77796
2017-03-24,49.173,25298
2017-03-27,47.519,41419
