Date,Close,Volume
2005-02-25,17.52,298131
2005-02-28,17.8,244640
2005-03-01,18.34,256071
2005-03-02,17.82,273110
2005-03-03,17.66,342954
2005-03-04,18.24,431210
2005-03-07,18.42,274026
2005-03-08,18.6,523927
2005-03-09,18.63,314665
2005-03-10,18.17,460784
2005-03-11,17.8,577833
2005-03-14,17.85,334735
2005-03-15,17.87,433543
2005-03-16,17.79,487146
2005-03-17,17.94,548807
2005-03-18,18.12,653012
2005-03-21,17.85,372163
2005-03-22,18.09,200370
2005-03-23,18.02,159249
2005-03-24,17.95,394033
2005-03-28,17.79,292913
2005-03-29,17.23,681886
2005-03-30,17.49,614702
2005-03-31,17.56,571342
2005-04-01,17.65,289719
2005-04-04,17.76,326766
2005-04-05,17.86,433494
2005-04-06,18.01,485593
2005-04-07,17.94,192495
2005-04-08,17.94,324125
2005-04-11,17.82,195770
2005-04-12,17.97,300067
2005-04-13,17.85,314786
2005-04-14,17.93,366661
2005-04-15,17.39,773050
2005-04-18,17.5,491413
2005-04-19,17.65,229508
2005-04-20,17.58,312598
2005-04-21,18.16,586280
2005-04-22,18.53,680792
2005-04-25,18.32,407839
2005-04-26,18.58,556761
2005-04-27,18.39,355923
2005-04-28,18.15,325693
2005-04-29,18.1,377952
2005-05-02,18.1,242144
2005-05-03,18.18,196148
2005-05-04,18.32,369963
2005-05-05,18.46,228634
2005-05-06,18.53,151867
2005-05-09,18.8,177177
2005-05-10,18.65,229418
2005-05-11,18.66,120521
2005-05-12,18.32,150038
2005-05-13,18.72,223781
2005-05-16,18.8,197754
2005-05-17,18.96,282168
2005-05-18,19.5,428267
2005-05-19,19.45,181947
2005-05-20,19.57,211589
2005-05-23,19.72,339186
2005-05-24,19.69,168886
2005-05-25,19.6,162039
2005-05-26,19.66,207629
2005-05-27,19.65,273180
2005-05-31,19.58,214929
2005-06-01,20.0,295246
2005-06-02,19.76,248747
2005-06-03,19.48,156515
2005-06-06,19.57,236140
2005-06-07,19.62,238390
2005-06-08,19.61,185495
2005-06-09,19.46,375790
2005-06-10,19.81,393111
2005-06-13,19.8,180354
2005-06-14,19.74,265875
2005-06-15,19.71,246372
2005-06-16,19.75,207368
2005-06-17,19.65,490921
2005-06-20,19.59,215813
2005-06-21,19.56,212161
2005-06-22,19.93,273820
2005-06-23,19.73,273886
2005-06-24,19.75,538713
2005-06-27,19.84,305986
2005-06-28,20.23,267603
2005-06-29,20.47,138956
2005-06-30,20.18,181178
2005-07-01,20.07,176424
2005-07-05,20.55,232859
2005-07-06,20.33,232294
2005-07-07,20.22,108063
2005-07-08,20.46,209606
2005-07-11,20.55,539762
2005-07-12,20.46,576679
2005-07-13,19.98,366254
2005-07-14,20.0,187396
2005-07-15,20.2,117437
2005-07-18,20.0,220496
2005-07-19,20.84,692375
2005-07-20,21.19,215987
2005-07-21,20.6,289510
2005-07-22,20.28,549209
2005-07-25,20.01,264853
2005-07-26,20.18,390736
2005-07-27,20.48,264932
2005-07-28,20.55,243390
2005-07-29,20.4,236658
2005-08-01,20.65,255492
2005-08-02,20.66,153390
2005-08-03,20.51,158669
2005-08-04,20.11,138612
2005-08-05,19.91,190053
2005-08-08,19.7,181928
2005-08-09,19.76,285546
2005-08-10,19.91,266721
