,Date,Close
0,2005-02-25,4.4
1,2005-02-28,4.29
2,2005-03-01,4.35
3,2005-03-02,4.33
4,2005-03-03,4.38
5,2005-03-04,4.2
6,2005-03-07,4.03
7,2005-03-08,3.76
8,2005-03-09,3.92
9,2005-03-10,3.87
10,2005-03-11,3.86
11,2005-03-14,3.85
12,2005-03-15,3.77
13,2005-03-16,3.79
14,2005-03-17,3.67
15,2005-03-18,3.59
16,2005-03-21,3.69
17,2005-03-22,3.64
18,2005-03-23,3.64
19,2005-03-24,3.72
20,2005-03-28,3.62
21,2005-03-29,3.57
22,2005-03-30,3.65
23,2005-03-31,3.72
24,2005-04-01,3.6
25,2005-04-04,3.74
26,2005-04-05,3.7
27,2005-04-06,3.71
28,2005-04-07,3.8
29,2005-04-08,3.67
30,2005-04-11,3.6
31,2005-04-12,3.79
32,2005-04-13,3.67
33,2005-04-14,3.56
34,2005-04-15,3.46
35,2005-04-18,3.6
36,2005-04-19,4.18
37,2005-04-20,4.15
38,2005-04-21,4.26
39,2005-04-22,4.3
40,2005-04-25,4.25
41,2005-04-26,4.3
42,2005-04-27,4.33
43,2005-04-28,4.25
44,2005-04-29,4.02
45,2005-05-02,4.1
46,2005-05-03,4.1
47,2005-05-04,4.24
48,2005-05-05,4.25
49,2005-05-06,4.46
50,2005-05-09,4.53
51,2005-05-10,3.77
52,2005-05-11,3.93
53,2005-05-12,3.79
54,2005-05-13,3.89
55,2005-05-16,3.88
56,2005-05-17,3.95
57,2005-05-18,3.86
58,2005-05-19,3.91
59,2005-05-20,3.84
60,2005-05-23,3.89
61,2005-05-24,3.78
62,2005-05-25,3.86
63,2005-05-26,3.9
64,2005-05-27,3.94
65,2005-05-31,4.06
66,2005-06-01,4.1
67,2005-06-02,3.94
68,2005-06-03,3.81
69,2005-06-06,3.87
70,2005-06-07,3.94
71,2005-06-08,4.0
72,2005-06-09,3.91
73,2005-06-10,3.98
74,2005-06-13,3.99
75,2005-06-14,4.01
76,2005-06-15,3.99
77,2005-06-16,4.04
78,2005-06-17,4.07
79,2005-06-20,3.95
80,2005-06-21,3.93
81,2005-06-22,3.91
82,2005-06-23,3.94
83,2005-06-24,4.01
84,2005-06-27,3.83
85,2005-06-28,3.95
86,2005-06-29,3.85
87,2005-06-30,3.77
88,2005-07-01,3.94
89,2005-07-05,3.95
90,2005-07-06,3.9
91,2005-07-07,4.0
92,2005-07-08,4.06
93,2005-07-11,4.1
94,2005-07-12,4.26
95,2005-07-13,4.3
96,2005-07-14,4.33
97,2005-07-15,4.3
98,2005-07-18,4.24
99,2005-07-19,4.32
100,2005-07-20,4.27
101,2005-07-21,4.25
102,2005-07-22,4.35
103,2005-07-25,4.19
104,2005-07-26,4.19
105,2005-07-27,4.16
106,2005-07-28,4.16
107,2005-07-29,4.11
108,2005-08-01,4.13
109,2005-08-02,4.12
110,2005-08-03,4.02
111,2005-08-04,4.46
112,2005-08-05,4.44
113,2005-08-08,4.44
114,2005-08-09,4.54
115,2005-08-10,4.85
116,2005-08-11,5.17
117,2005-08-12,5.03
118,2005-08-15,5.11
119,2005-08-16,5.05
120,2005-08-17,5.1
121,2005-08-18,4.96
122,2005-08-19,4.87
123,2005-08-22,4.93
124,2005-08-23,4.94
125,2005-08-24,4.98
126,2005-08-25,5.04
127,2005-08-26,4.83
128,2005-08-29,4.94
129,2005-08-30,4.89
130,2005-08-31,4.93
131,2005-09-01,4.94
132,2005-09-02,4.92
133,2005-09-06,5.0
134,2005-09-07,5.0
135,2005-09-08,4.89
136,2005-09-09,4.92
137,2005-09-12,4.9
138,2005-09-13,4.92
139,2005-09-14,4.82
140,2005-09-15,4.95
141,2005-09-16,5.3
142,2005-09-19,5.11
143,2005-09-20,5.26
144,2005-09-21,5.1
145,2005-09-22,5.15
146,2005-09-23,5.2
147,2005-09-26,5.28
148,2005-09-27,5.29
149,2005-09-28,5.29
150,2005-09-29,5.3
151,2005-09-30,5.33
152,2005-10-03,5.79
153,2005-10-04,5.48
154,2005-10-05,5.16
155,2005-10-06,5.12
156,2005-10-07,5.22
157,2005-10-10,4.99
158,2005-10-11,4.93
159,2005-10-12,4.88
160,2005-10-13,5.04
161,2005-10-14,5.17
162,2005-10-17,5.3
163,2005-10-18,5.39
164,2005-10-19,5.61
165,2005-10-20,5.3
166,2005-10-21,5.2
167,2005-10-24,5.2
168,2005-10-25,5.21
169,2005-10-26,5.09
170,2005-10-27,5.01
171,2005-10-28,5.1
172,2005-10-31,5.14
173,2005-11-01,5.1
174,2005-11-02,5.22
175,2005-11-03,5.37
176,2005-11-04,5.36
177,2005-11-07,5.39
178,2005-11-08,5.5
179,2005-11-09,5.49
180,2005-11-10,5.48
181,2005-11-11,5.27
182,2005-11-14,5.16
183,2005-11-15,5.18
184,2005-11-16,5.73
185,2005-11-17,5.9
186,2005-11-18,5.91
187,2005-11-21,5.99
188,2005-11-22,6.07
189,2005-11-23,5.96
190,2005-11-25,6.05
191,2005-11-28,6.17
192,2005-11-29,6.12
193,2005-11-30,6.22
194,2005-12-01,6.41
195,2005-12-02,6.35
196,2005-12-05,6.22
197,2005-12-06,6.12
198,2005-12-07,6.86
199,2005-12-08,6.89
200,2005-12-09,6.77
201,2005-12-12,6.76
202,2005-12-13,6.53
203,2005-12-14,6.71
