Date,Close,Volume
2008-06-11,6.9201,0
2008-06-12,5.9385,7934334
2008-06-13,6.0024,764543
2008-06-16,6.0764,238638
2008-06-17,6.1011,184913
2008-06-18,5.7365,556347
2008-06-19,5.5241,1210523
2008-06-20,5.3416,866454
2008-06-23,5.3463,229108
2008-06-24,5.3416,207372
2008-06-25,5.2427,173256
2008-06-26,5.0357,506931
2008-06-27,5.0259,62854
2008-06-30,5.0406,389559
2008-07-01,5.0259,638819
2008-07-02,4.9763,58433
2008-07-03,4.8039,100662
2008-07-07,4.8728,131178
2008-07-08,4.7004,96257
2008-07-09,4.4093,360183
2008-07-10,4.4587,61000
2008-07-11,4.5374,65492
2008-07-14,4.3353,113947
2008-07-15,3.9802,627443
2008-07-16,4.1626,89008
2008-07-17,4.1729,87589
2008-07-18,4.3008,51596
2008-07-21,4.4637,84085
2008-07-22,4.4881,60472
2008-07-23,4.5326,95665
2008-07-24,4.5374,250752
2008-07-25,4.5326,19976
2008-07-28,4.4684,7909
2008-07-29,4.4238,83739
2008-07-30,4.4836,28485
2008-07-31,4.7251,44260
2008-08-01,4.8436,25122
2008-08-04,4.7595,27631
2008-08-05,4.8189,73184
2008-08-06,4.779,62205
2008-08-07,4.7893,33852
2008-08-08,4.6559,66911
2008-08-11,4.7938,57884
2008-08-12,4.8728,237850
2008-08-13,4.8436,157133
2008-08-14,5.0062,170468
2008-08-15,5.1986,136597
2008-08-18,5.1292,104688
2008-08-19,5.3416,86297
2008-08-20,5.2332,54128
2008-08-21,5.2628,18331
2008-08-22,5.1986,60116
2008-08-25,5.1443,70144
2008-08-26,4.952,102189
2008-08-27,5.1196,29587
2008-08-28,5.4451,123951
2008-08-29,5.4649,43796
2008-09-02,5.3908,49271
2008-09-03,5.4897,30410
2008-09-04,5.3515,65951
2008-09-05,5.4353,65692
2008-09-08,5.2674,35550
2008-09-09,5.0456,147639
2008-09-10,4.9667,90776
2008-09-11,4.9763,26237
2008-09-12,4.779,37203
2008-09-15,4.7052,155958
2008-09-16,4.6559,224555
2008-09-17,4.3995,364473
2008-09-18,4.1083,191025
2008-09-19,4.4093,70778
2008-09-22,4.4786,199729
2008-09-23,4.4093,114707
2008-09-24,4.3943,192088
2008-09-25,4.3353,72751
2008-09-26,4.5226,197972
2008-09-29,4.6559,545396
2008-09-30,4.9273,1546902
2008-10-01,4.7496,473653
