Date,Close,Volume
2014-11-24,23.731,1130268
2014-11-25,23.164,2278039
2014-11-26,23.294,736278
2014-11-28,23.336,371853
2014-12-01,23.276,772252
2014-12-02,23.423,517275
2014-12-03,23.363,950653
2014-12-04,23.353,1444341
2014-12-05,23.649,1457947
2014-12-08,23.63,683073
2014-12-09,23.819,587951
2014-12-10,23.294,599442
2014-12-11,23.242,340405
2014-12-12,23.095,576640
2014-12-15,22.447,1142256
2014-12-16,22.447,901312
2014-12-17,22.872,499466
2014-12-18,23.249,679830
2014-12-19,23.242,1358396
2014-12-22,23.431,685345
2014-12-23,23.257,766656
2014-12-24,23.423,752902
2014-12-26,23.709,627078
2014-12-29,23.819,924415
2014-12-30,23.189,1265675
2014-12-31,23.146,1093585
2015-01-02,23.111,754877
2015-01-05,23.025,1293956
2015-01-06,23.009,2351533
2015-01-07,22.75,1782422
2015-01-08,22.656,800102
2015-01-09,22.361,1208852
2015-01-12,22.852,1060506
2015-01-13,23.302,794232
2015-01-14,23.061,1638110
2015-01-15,22.932,683162
2015-01-16,23.197,785664
2015-01-20,23.137,665679
2015-01-21,23.181,812317
2015-01-22,23.793,919638
2015-01-23,24.387,1662535
2015-01-26,24.406,752979
2015-01-27,24.344,766927
2015-01-28,24.475,1461443
2015-01-29,24.595,1490340
2015-01-30,24.448,1021353
2015-02-02,24.768,1493984
2015-02-03,25.001,2136057
2015-02-04,25.026,662347
2015-02-05,25.251,522567
2015-02-06,25.191,511250
2015-02-09,25.163,509364
2015-02-10,25.231,482592
2015-02-11,25.225,568481
2015-02-12,25.329,1023004
2015-02-13,25.544,690805
2015-02-17,25.724,643094
2015-02-18,25.7,539814
2015-02-19,25.724,624266
2015-02-20,25.837,873355
2015-02-23,25.888,912983
2015-02-24,25.673,860190
2015-02-25,25.587,688166
2015-02-26,25.269,898082
2015-02-27,25.829,1666141
2015-03-02,25.82,1585837
2015-03-03,26.078,1386157
2015-03-04,26.104,767058
2015-03-05,26.183,790019
2015-03-06,25.958,1507101
2015-03-09,25.643,1163272
2015-03-10,25.372,1485929
2015-03-11,25.25,728148
2015-03-12,25.459,446340
2015-03-13,25.442,697712
2015-03-16,25.792,1065791
2015-03-17,26.116,1112358
2015-03-18,26.552,2551035
2015-03-19,26.595,960756
2015-03-20,26.937,3420258
2015-03-23,26.518,1551834
2015-03-24,26.35,927346
2015-03-25,26.167,718653
2015-03-26,26.203,646912
2015-03-27,26.298,823916
2015-03-30,26.387,1000345
2015-03-31,26.149,1183756
2015-04-01,26.037,1669452
2015-04-02,26.002,755607
2015-04-06,26.149,1417279
2015-04-07,26.186,691286
2015-04-08,26.176,447712
2015-04-09,25.853,1100177
2015-04-10,25.897,627690
2015-04-13,25.407,1071395
2015-04-14,25.329,816250
2015-04-15,25.487,826946
2015-04-16,25.582,530016
2015-04-17,25.24,765219
2015-04-20,25.426,658360
2015-04-21,25.372,506848
2015-04-22,25.434,452839
2015-04-23,25.496,238445
2015-04-24,25.528,274827
2015-04-27,25.25,422654
2015-04-28,25.477,625515
2015-04-29,25.224,946800
2015-04-30,25.1,797370
2015-05-01,25.128,395996
2015-05-04,25.189,348971
2015-05-05,24.987,543022
2015-05-06,24.377,1436917
2015-05-07,24.454,809231
2015-05-08,24.043,650001
2015-05-11,23.878,588099
2015-05-12,23.938,948595
2015-05-13,23.912,489360
2015-05-14,24.079,600916
2015-05-15,24.288,581507
2015-05-18,24.656,553860
2015-05-19,24.297,566591
2015-05-20,24.245,412703
2015-05-21,24.193,451261
2015-05-22,24.341,449771
2015-05-26,24.079,432909
2015-05-27,24.393,471626
2015-05-28,24.481,801783
2015-05-29,24.219,1426204
2015-06-01,24.612,819910
2015-06-02,24.604,414558
2015-06-03,24.689,572313
2015-06-04,24.709,405264
2015-06-05,24.332,2266366
2015-06-08,24.062,751603
2015-06-09,23.804,648081
2015-06-10,23.699,521481
2015-06-11,23.709,655219
2015-06-12,23.699,396982
2015-06-15,23.415,575641
2015-06-16,23.264,480265
2015-06-17,23.114,1248689
2015-06-18,23.292,749554
2015-06-19,23.025,1235129
2015-06-22,22.955,855100
2015-06-23,23.239,857741
2015-06-24,23.255,750003
2015-06-25,23.346,808428
2015-06-26,23.423,1010478
2015-06-29,22.841,624345
2015-06-30,22.335,1100002
2015-07-01,22.266,1195126
2015-07-02,22.035,1447690
2015-07-06,21.769,2214305
2015-07-07,22.813,1653130
2015-07-08,22.857,1072857
2015-07-09,23.087,949344
2015-07-10,23.326,892729
2015-07-13,23.212,1016581
2015-07-14,22.832,453648
2015-07-15,22.707,994189
2015-07-16,22.742,662314
2015-07-17,22.406,410655
2015-07-20,22.214,309517
2015-07-21,22.051,522642
2015-07-22,22.389,878604
2015-07-23,22.459,932054
2015-07-24,22.166,454953
2015-07-27,21.769,724014
