,Date,Close
0,2011-06-17,13.4
1,2011-06-20,14.61
2,2011-06-21,13.5
3,2011-06-22,13.34
4,2011-06-23,14.0
5,2011-06-24,15.37
6,2011-06-27,16.52
7,2011-06-28,17.5
8,2011-06-29,17.5
9,2011-06-30,18.91
10,2011-07-01,20.04
11,2011-07-05,19.02
12,2011-07-06,18.37
13,2011-07-07,18.98
14,2011-07-08,19.27
15,2011-07-11,19.26
16,2011-07-12,18.05
17,2011-07-13,17.93
18,2011-07-14,17.79
19,2011-07-15,17.78
20,2011-07-18,16.95
21,2011-07-19,17.23
22,2011-07-20,17.8
23,2011-07-21,18.76
24,2011-07-22,18.03
25,2011-07-25,17.81
26,2011-07-26,17.28
27,2011-07-27,16.62
28,2011-07-28,16.18
29,2011-07-29,15.09
30,2011-08-01,14.32
31,2011-08-02,13.96
32,2011-08-03,13.41
33,2011-08-04,13.63
34,2011-08-05,13.52
35,2011-08-08,12.49
36,2011-08-09,11.73
37,2011-08-10,11.8
38,2011-08-11,12.24
39,2011-08-12,12.77
40,2011-08-15,13.27
41,2011-08-16,13.79
42,2011-08-17,14.47
43,2011-08-18,12.91
44,2011-08-19,13.02
45,2011-08-22,12.15
46,2011-08-23,12.1
47,2011-08-24,12.07
48,2011-08-25,12.47
49,2011-08-26,13.41
50,2011-08-29,13.8
51,2011-08-30,13.8
52,2011-08-31,13.2
53,2011-09-01,12.79
54,2011-09-02,12.07
55,2011-09-06,12.12
56,2011-09-07,12.37
57,2011-09-08,11.02
58,2011-09-09,10.38
59,2011-09-12,9.87
60,2011-09-13,10.22
61,2011-09-14,10.19
62,2011-09-15,10.29
63,2011-09-16,10.21
64,2011-09-19,10.82
65,2011-09-20,10.51
66,2011-09-21,10.01
67,2011-09-22,10.05
68,2011-09-23,10.75
69,2011-09-26,11.4
70,2011-09-27,12.09
71,2011-09-28,12.82
72,2011-09-29,13.28
73,2011-09-30,14.65
74,2011-10-03,13.35
75,2011-10-04,12.5
76,2011-10-05,12.15
77,2011-10-06,13.18
78,2011-10-07,13.11
79,2011-10-10,13.43
80,2011-10-11,14.28
81,2011-10-12,14.14
82,2011-10-13,14.76
83,2011-10-14,15.3
84,2011-10-17,15.23
85,2011-10-18,15.28
86,2011-10-19,14.79
87,2011-10-20,15.05
88,2011-10-21,15.13
89,2011-10-24,15.03
90,2011-10-25,14.22
91,2011-10-26,14.03
92,2011-10-27,14.82
93,2011-10-28,15.13
94,2011-10-31,15.8
95,2011-11-01,14.47
96,2011-11-02,14.82
97,2011-11-03,15.29
98,2011-11-04,15.22
99,2011-11-07,15.07
100,2011-11-08,15.62
101,2011-11-09,15.39
102,2011-11-10,14.81
103,2011-11-11,13.75
104,2011-11-14,12.7
105,2011-11-15,12.81
106,2011-11-16,12.16
107,2011-11-17,12.26
108,2011-11-18,12.88
109,2011-11-21,12.52
110,2011-11-22,11.85
111,2011-11-23,10.51
112,2011-11-25,10.78
113,2011-11-28,10.52
114,2011-11-29,9.85
115,2011-11-30,10.18
116,2011-12-01,10.4
117,2011-12-02,10.78
118,2011-12-05,11.0
119,2011-12-06,10.27
120,2011-12-07,10.47
121,2011-12-08,10.43
122,2011-12-09,9.9
123,2011-12-12,9.93
124,2011-12-13,10.57
125,2011-12-14,10.22
126,2011-12-15,10.47
127,2011-12-16,10.55
128,2011-12-19,9.99
129,2011-12-20,10.14
130,2011-12-21,9.79
131,2011-12-22,9.83
132,2011-12-23,10.01
133,2011-12-27,10.17
134,2011-12-28,10.01
135,2011-12-29,10.0
136,2011-12-30,10.01
137,2012-01-03,10.35
138,2012-01-04,10.12
139,2012-01-05,10.54
140,2012-01-06,10.01
141,2012-01-09,10.46
142,2012-01-10,11.48
143,2012-01-11,12.45
144,2012-01-12,11.92
145,2012-01-13,12.01
146,2012-01-17,12.08
147,2012-01-18,12.98
148,2012-01-19,13.26
149,2012-01-20,13.82
150,2012-01-23,13.22
151,2012-01-24,12.87
152,2012-01-25,12.82
153,2012-01-26,12.94
154,2012-01-27,13.91
155,2012-01-30,13.66
156,2012-01-31,13.19
157,2012-02-01,12.89
158,2012-02-02,13.32
159,2012-02-03,13.81
160,2012-02-06,14.48
161,2012-02-07,14.24
162,2012-02-08,13.92
163,2012-02-09,13.21
164,2012-02-10,13.37
165,2012-02-13,13.11
166,2012-02-14,13.31
167,2012-02-15,13.13
168,2012-02-16,12.82
169,2012-02-17,12.88
170,2012-02-21,12.9
171,2012-02-22,12.33
172,2012-02-23,13.02
173,2012-02-24,12.88
174,2012-02-27,12.87
175,2012-02-28,12.74
176,2012-02-29,13.06
177,2012-03-01,13.59
178,2012-03-02,13.9
179,2012-03-05,14.66
180,2012-03-06,14.27
181,2012-03-07,10.86
182,2012-03-08,10.73
183,2012-03-09,11.5
184,2012-03-12,10.99
185,2012-03-13,10.83
186,2012-03-14,10.65
187,2012-03-15,10.45
