Date,Close,Volume
2005-02-25,10.83,313086
2005-02-28,10.6,232911
2005-03-01,10.74,226920
2005-03-02,10.57,202600
2005-03-03,10.71,204768
2005-03-04,10.96,325322
2005-03-07,11.1,317405
2005-03-08,11.03,243194
2005-03-09,11.09,315360
2005-03-10,11.23,456985
2005-03-11,11.21,371607
2005-03-14,11.33,355342
2005-03-15,11.25,360946
2005-03-16,11.26,317584
2005-03-17,11.29,323040
2005-03-18,11.38,720183
2005-03-21,11.48,226761
2005-03-22,11.35,334262
2005-03-23,11.43,241259
2005-03-24,11.37,244236
2005-03-28,11.39,261877
2005-03-29,11.38,496391
2005-03-30,11.57,161512
2005-03-31,11.51,324328
2005-04-01,11.38,374178
2005-04-04,11.71,350515
2005-04-05,11.69,394096
2005-04-06,11.67,288432
2005-04-07,11.59,179536
2005-04-08,11.13,655784
2005-04-11,10.76,534461
2005-04-12,10.97,373582
2005-04-13,10.47,274849
2005-04-14,10.77,622263
2005-04-15,10.09,607875
2005-04-18,10.29,485778
2005-04-19,10.59,372934
2005-04-20,10.27,381248
2005-04-21,10.74,269381
2005-04-22,10.47,271688
2005-04-25,10.63,150633
2005-04-26,10.78,324320
2005-04-27,10.42,321959
2005-04-28,11.72,2384136
2005-04-29,12.11,769005
2005-05-02,11.87,580429
2005-05-03,12.26,463815
2005-05-04,12.22,355005
2005-05-05,12.3,201638
2005-05-06,12.31,146642
2005-05-09,12.45,147105
2005-05-10,12.23,166632
2005-05-11,12.33,197802
2005-05-12,12.45,313663
2005-05-13,12.5,241244
2005-05-16,12.59,248080
2005-05-17,12.75,182196
2005-05-18,13.14,256862
2005-05-19,13.18,172898
2005-05-20,13.03,163945
2005-05-23,13.44,212549
2005-05-24,13.49,133844
2005-05-25,13.25,199451
2005-05-26,13.65,99926
2005-05-27,13.53,73314
2005-05-31,13.77,586236
2005-06-01,13.79,403382
2005-06-02,13.87,220505
2005-06-03,13.7,348113
2005-06-06,13.76,130738
2005-06-07,13.69,145808
2005-06-08,13.63,172805
2005-06-09,14.24,201753
2005-06-10,14.3,171226
2005-06-13,14.39,205697
2005-06-14,14.36,247823
2005-06-15,14.45,209683
2005-06-16,14.59,223122
2005-06-17,14.47,765257
2005-06-20,14.27,143823
2005-06-21,14.23,281744
2005-06-22,14.7,143660
2005-06-23,14.09,209178
2005-06-24,13.5,515255
2005-06-27,13.55,308603
2005-06-28,14.29,311337
2005-06-29,14.29,232452
2005-06-30,14.23,252332
2005-07-01,14.65,378326
2005-07-05,14.61,428047
2005-07-06,14.45,654125
2005-07-07,13.82,594269
2005-07-08,14.34,303720
2005-07-11,14.78,307926
2005-07-12,14.92,192581
2005-07-13,14.89,282975
2005-07-14,14.77,253762
2005-07-15,14.65,215978
2005-07-18,14.47,151464
2005-07-19,14.7,245607
2005-07-20,14.75,435591
2005-07-21,14.35,350706
2005-07-22,14.15,347693
2005-07-25,14.11,398164
2005-07-26,14.15,312732
2005-07-27,13.77,346588
2005-07-28,14.79,937379
2005-07-29,14.43,464363
2005-08-01,14.44,477264
2005-08-02,14.62,506836
