Date,Close,Volume
2007-05-14,15.0,0
2007-05-15,15.96,4851761
2007-05-16,15.45,357578
2007-05-17,15.13,426648
2007-05-18,15.18,140549
2007-05-21,15.63,157104
2007-05-22,15.62,141901
2007-05-23,15.25,103366
2007-05-24,15.22,199633
2007-05-25,15.17,43782
2007-05-29,15.27,138427
2007-05-30,15.1,120193
2007-05-31,14.82,151563
2007-06-01,15.0,81634
2007-06-04,15.0,101030
2007-06-05,14.76,120078
2007-06-06,14.28,88812
2007-06-07,14.0,99714
2007-06-08,14.1,61327
2007-06-11,14.49,47657
2007-06-12,14.25,39680
2007-06-13,14.25,70230
2007-06-14,14.17,60899
2007-06-15,13.91,36890
2007-06-18,13.85,40549
2007-06-19,13.84,42702
2007-06-20,14.06,108727
2007-06-21,14.12,50915
2007-06-22,13.85,816028
2007-06-25,14.06,184675
2007-06-26,13.99,83335
2007-06-27,14.21,51978
2007-06-28,14.01,235693
2007-06-29,14.2,166033
2007-07-02,14.45,82827
2007-07-03,14.5,7086
2007-07-05,14.97,41773
2007-07-06,15.05,30778
2007-07-09,14.87,10194
2007-07-10,15.01,30081
2007-07-11,14.82,13174
2007-07-12,14.93,15157
2007-07-13,14.79,13920
2007-07-16,14.04,28321
2007-07-17,13.99,15552
2007-07-18,14.0,97168
2007-07-19,14.0,156165
2007-07-20,14.01,31992
2007-07-23,13.98,12234
2007-07-24,13.68,44988
2007-07-25,14.13,61868
2007-07-26,14.57,58375
2007-07-27,14.11,72499
2007-07-30,14.0,9669
2007-07-31,14.02,19135
2007-08-01,14.21,54310
2007-08-02,14.39,15242
2007-08-03,13.97,65788
2007-08-06,13.99,78158
2007-08-07,14.23,573965
2007-08-08,15.02,72718
2007-08-09,14.5,66098
2007-08-10,14.48,82676
2007-08-13,15.19,65611
2007-08-14,15.0,47216
2007-08-15,15.0,92938
2007-08-16,16.98,80715
2007-08-17,16.97,164047
2007-08-20,17.0,39911
2007-08-21,16.87,118622
2007-08-22,16.99,151557
2007-08-23,17.06,60531
2007-08-24,17.1,18854
2007-08-27,16.97,158683
2007-08-28,17.57,62776
2007-08-29,18.56,47152
2007-08-30,18.19,47507
2007-08-31,17.62,21833
2007-09-04,18.0,101353
2007-09-05,17.43,30748
2007-09-06,17.99,21931
2007-09-07,17.49,26354
2007-09-10,17.82,36813
2007-09-11,19.08,268811
2007-09-12,20.29,175861
2007-09-13,20.98,231629
2007-09-14,21.5,116497
2007-09-17,22.49,135299
2007-09-18,22.6,347073
2007-09-19,22.58,90294
2007-09-20,21.9,50243
2007-09-21,21.37,148407
2007-09-24,21.9,151095
2007-09-25,21.69,86569
2007-09-26,21.33,39689
2007-09-27,21.34,79993
2007-09-28,21.75,249836
2007-10-01,21.25,83018
2007-10-02,22.5,133804
2007-10-03,22.68,130660
2007-10-04,23.46,175386
2007-10-05,23.51,234893
2007-10-08,22.98,60896
2007-10-09,24.26,88660
2007-10-10,24.6,100195
2007-10-11,25.06,281122
2007-10-12,25.77,90911
2007-10-15,24.89,125036
2007-10-16,25.15,146816
2007-10-17,24.2,266545
2007-10-18,23.77,132874
2007-10-19,23.14,122135
2007-10-22,24.16,110721
2007-10-23,25.17,120461
2007-10-24,25.85,104721
2007-10-25,25.9,106907
2007-10-26,26.62,86342
2007-10-29,26.89,155353
2007-10-30,25.21,97494
2007-10-31,25.04,83491
2007-11-01,23.83,161922
2007-11-02,23.79,143617
2007-11-05,24.57,192143
2007-11-06,23.5,283963
2007-11-07,23.25,2575525
2007-11-08,23.4,457477
2007-11-09,23.4,132688
2007-11-12,23.25,185479
2007-11-13,23.8,268410
2007-11-14,23.3,190595
2007-11-15,23.42,170612
2007-11-16,24.04,149101
2007-11-19,25.4,199938
2007-11-20,25.46,92150
2007-11-21,24.93,67488
2007-11-23,25.03,40103
2007-11-26,24.96,115314
2007-11-27,25.12,75430
2007-11-28,26.45,159689
2007-11-29,26.69,143840
2007-11-30,27.46,264469
2007-12-03,24.3,1042810
2007-12-04,24.3,241877
2007-12-05,24.94,97186
2007-12-06,25.49,117114
2007-12-07,24.72,71523
2007-12-10,24.87,67472
2007-12-11,24.26,59481
2007-12-12,24.24,121583
2007-12-13,25.0,164291
2007-12-14,25.02,48033
2007-12-17,23.11,140902
2007-12-18,22.94,301859
2007-12-19,22.36,60607
2007-12-20,23.25,43227
2007-12-21,23.88,98339
2007-12-24,23.5,19587
2007-12-26,23.38,49425
2007-12-27,22.92,56882
2007-12-28,23.4,55321
2007-12-31,23.48,59887
2008-01-02,23.42,58192
2008-01-03,23.26,183487
2008-01-04,23.22,154608
2008-01-07,24.39,123949
2008-01-08,25.27,332109
2008-01-09,25.87,139296
2008-01-10,24.47,198864
2008-01-11,24.22,89340
2008-01-14,23.85,115182
2008-01-15,22.5,216717
2008-01-16,22.1,118026
2008-01-17,21.98,64104
2008-01-18,20.78,81262
2008-01-22,20.55,222333
2008-01-23,21.71,171284
2008-01-24,20.26,346497
2008-01-25,19.05,306565
2008-01-28,18.34,252091
2008-01-29,19.09,209365
2008-01-30,19.37,218835
2008-01-31,19.81,119616
2008-02-01,19.94,221630
2008-02-04,19.01,196017
2008-02-05,18.0,1063599
2008-02-06,18.42,720022
2008-02-07,18.61,142070
2008-02-08,17.97,153921
2008-02-11,17.78,209157
2008-02-12,17.7,106851
2008-02-13,17.82,128273
2008-02-14,17.75,186352
2008-02-15,17.76,62481
2008-02-19,17.4,105673
2008-02-20,16.39,252221
2008-02-21,16.32,232119
2008-02-22,17.17,189666
2008-02-25,17.53,241691
2008-02-26,17.65,119447
2008-02-27,17.12,168700
2008-02-28,16.89,177384
2008-02-29,17.13,263449
2008-03-03,16.56,147851
2008-03-04,16.31,164131
2008-03-05,16.7,120908
2008-03-06,16.5,111693
2008-03-07,16.37,82963
2008-03-10,14.99,236178
2008-03-11,15.03,213148
2008-03-12,15.09,147078
2008-03-13,14.59,198250
2008-03-14,14.57,128113
2008-03-17,14.06,236917
2008-03-18,13.26,553786
2008-03-19,13.3,270445
2008-03-20,13.06,307483
2008-03-24,13.22,189368
2008-03-25,12.79,389133
2008-03-26,13.79,334271
2008-03-27,14.97,523443
2008-03-28,14.66,311594
2008-03-31,14.4,154011
2008-04-01,14.39,273960
2008-04-02,15.06,191541
2008-04-03,14.66,166332
2008-04-04,15.72,156791
2008-04-07,16.49,514370
2008-04-08,16.68,167921
2008-04-09,17.61,481215
2008-04-10,17.72,237838
2008-04-11,18.52,902804
2008-04-14,18.39,371938
2008-04-15,18.12,262182
2008-04-16,17.87,545695
2008-04-17,17.36,225579
2008-04-18,18.51,551950
2008-04-21,18.0,180005
2008-04-22,17.29,181425
2008-04-23,18.14,147955
2008-04-24,18.05,133368
2008-04-25,18.16,248192
2008-04-28,19.8,381131
2008-04-29,19.06,108456
2008-04-30,18.31,108656
2008-05-01,18.67,224547
2008-05-02,20.17,186256
2008-05-05,19.86,265162
2008-05-06,19.93,288711
2008-05-07,19.09,215609
2008-05-08,18.75,189472
2008-05-09,19.1,168551
2008-05-12,19.54,328739
2008-05-13,19.82,150090
2008-05-14,18.0,756540
2008-05-15,18.16,287495
2008-05-16,17.23,244256
2008-05-19,16.74,240908
2008-05-20,16.0,192571
2008-05-21,15.95,155488
2008-05-22,15.98,158649
2008-05-23,16.0,138740
2008-05-27,16.17,133712
2008-05-28,17.25,282477
2008-05-29,16.98,252062
2008-05-30,16.3,306260
2008-06-02,15.78,286637
2008-06-03,15.75,290599
2008-06-04,16.18,263355
2008-06-05,16.25,173312
2008-06-06,15.84,290477
2008-06-09,16.18,552114
2008-06-10,15.93,2294040
2008-06-11,15.68,1791858
2008-06-12,15.17,834941
2008-06-13,15.21,220322
2008-06-16,15.94,291071
2008-06-17,16.52,498274
2008-06-18,17.28,451765
2008-06-19,17.8,578638
2008-06-20,16.4,1581292
2008-06-23,16.2,629561
2008-06-24,16.71,390690
2008-06-25,17.02,522903
2008-06-26,16.46,338098
2008-06-27,16.37,1679784
2008-06-30,15.73,646008
2008-07-01,16.32,542270
2008-07-02,16.15,267244
2008-07-03,16.31,175508
2008-07-07,16.45,287496
2008-07-08,16.93,325738
2008-07-09,16.3,322487
2008-07-10,16.08,227251
2008-07-11,16.32,354984
2008-07-14,15.95,188306
2008-07-15,16.0,257128
2008-07-16,16.77,269962
2008-07-17,16.55,469191
2008-07-18,15.77,464032
2008-07-21,15.03,356351
2008-07-22,15.42,578713
2008-07-23,15.41,144420
2008-07-24,14.77,275465
2008-07-25,14.57,247450
2008-07-28,13.79,461179
2008-07-29,13.07,530922
2008-07-30,13.0,490723
2008-07-31,13.95,462667
2008-08-01,13.86,525695
2008-08-04,14.06,206548
2008-08-05,14.33,325125
2008-08-06,14.73,459507
2008-08-07,14.36,159267
2008-08-08,14.55,455986
2008-08-11,14.89,171026
2008-08-12,14.91,440042
2008-08-13,15.22,3033433
2008-08-14,15.03,612502
2008-08-15,15.22,372746
2008-08-18,14.7,161766
2008-08-19,14.13,170394
2008-08-20,13.62,460920
2008-08-21,13.55,421104
2008-08-22,13.59,140345
2008-08-25,13.67,196234
2008-08-26,13.72,361108
2008-08-27,13.99,277193
2008-08-28,14.26,199211
2008-08-29,14.34,115954
2008-09-02,14.77,207990
2008-09-03,14.51,303224
2008-09-04,14.51,332985
2008-09-05,14.35,275857
2008-09-08,15.08,343126
2008-09-09,14.9,361518
2008-09-10,15.8,353593
2008-09-11,16.03,336255
2008-09-12,16.0,188480
2008-09-15,15.6,206869
2008-09-16,15.99,511274
2008-09-17,15.73,375609
2008-09-18,15.91,820007
2008-09-19,15.93,723545
2008-09-22,14.92,223137
2008-09-23,15.25,302113
2008-09-24,14.96,188269
2008-09-25,14.73,184275
2008-09-26,14.59,216852
2008-09-29,13.86,219737
2008-09-30,13.92,284203
2008-10-01,13.32,223571
2008-10-02,13.23,268208
2008-10-03,12.8,589451
2008-10-06,11.65,323958
2008-10-07,11.24,518514
2008-10-08,10.28,343490
2008-10-09,8.95,204415
2008-10-10,8.02,775462
2008-10-13,8.74,910557
2008-10-14,9.68,561110
2008-10-15,9.35,409224
2008-10-16,9.87,332781
2008-10-17,9.85,382428
2008-10-20,10.14,305033
2008-10-21,8.67,264913
2008-10-22,8.01,522165
2008-10-23,7.29,263572
2008-10-24,6.52,171510
2008-10-27,5.85,381678
2008-10-28,5.5,538684
2008-10-29,5.5,150204
2008-10-30,5.41,295489
2008-10-31,5.6,847118
2008-11-03,6.5,933295
2008-11-04,6.85,386312
2008-11-05,6.08,221374
2008-11-06,5.65,349178
2008-11-07,4.83,1597947
2008-11-10,4.71,431403
2008-11-11,4.6,273025
2008-11-12,4.01,287035
2008-11-13,4.58,320808
2008-11-14,4.29,177641
2008-11-17,4.41,238300
2008-11-18,3.99,249208
2008-11-19,3.74,387492
2008-11-20,3.21,396494
2008-11-21,3.57,344652
2008-11-24,3.86,524989
2008-11-25,4.06,294789
2008-11-26,4.9,299895
2008-11-28,4.89,75587
2008-12-01,4.02,185063
2008-12-02,4.3,149166
2008-12-03,5.22,268748
2008-12-04,6.07,490303
2008-12-05,6.51,250099
2008-12-08,7.06,450932
2008-12-09,7.72,636418
2008-12-10,8.05,453334
2008-12-11,8.28,483108
2008-12-12,7.81,480518
2008-12-15,6.97,221596
2008-12-16,8.11,194601
2008-12-17,8.24,171750
2008-12-18,8.0,539555
2008-12-19,8.04,268556
2008-12-22,7.51,229051
2008-12-23,7.17,104389
2008-12-24,7.01,93180
2008-12-26,7.17,139670
2008-12-29,6.78,169868
2008-12-30,7.7,152334
2008-12-31,7.72,303768
2009-01-02,7.84,111369
2009-01-05,7.58,164754
2009-01-06,8.68,597926
2009-01-07,8.7,358677
2009-01-08,9.43,405948
