Date,Close,Volume
1992-06-17,5.9332,1048968
1992-06-18,5.8389,490058
1992-06-19,5.8818,527273
1992-06-22,5.7008,694506
1992-06-23,5.7441,992915
1992-06-24,5.658,415866
1992-06-25,5.7441,912903
1992-06-26,5.7956,505876
1992-06-29,5.8389,449591
1992-06-30,6.0276,1028498
1992-07-01,5.8818,642638
1992-07-02,6.0276,2079561
1992-07-06,5.7956,674966
1992-07-07,5.4688,1333886
1992-07-08,5.185,1387149
1992-07-09,5.4688,2484729
1992-07-10,5.3311,1007337
1992-07-13,5.3744,984542
1992-07-14,5.4175,1151307
1992-07-15,5.4688,1256433
1992-07-16,5.3744,3127133
1992-07-17,5.4688,977332
1992-07-20,5.3311,1428319
1992-07-21,5.3311,1488094
1992-07-22,5.5121,3189932
1992-07-23,5.4688,2562877
1992-07-24,5.5548,1632763
1992-07-27,5.6066,1521120
1992-07-28,5.6066,1319233
1992-07-29,5.5121,1974198
1992-07-30,5.6066,1061528
1992-07-31,5.658,1515305
1992-08-03,5.7441,1880235
1992-08-04,5.7956,1694398
1992-08-05,5.7956,572163
1992-08-06,5.7008,1485999
1992-08-07,5.6066,356092
1992-08-10,5.5548,689622
1992-08-11,5.4175,2098866
1992-08-12,5.4175,1850931
1992-08-13,5.6066,1279926
1992-08-14,5.8818,1717190
1992-08-17,5.9332,1699048
1992-08-18,5.9848,1930708
1992-08-19,5.9332,1079203
1992-08-20,6.0276,430751
1992-08-21,6.1656,4386126
1992-08-24,6.0276,2424720
1992-08-25,6.0711,1359239
1992-08-26,6.1225,1566473
1992-08-27,6.0711,888950
1992-08-28,6.0276,601003
1992-08-31,6.0276,353533
1992-09-01,6.0021,1241314
1992-09-02,5.9074,1341562
1992-09-03,5.8646,552161
1992-09-04,5.7697,536809
1992-09-08,5.7697,806846
1992-09-09,5.9505,551462
1992-09-10,5.9505,1008498
1992-09-11,5.9505,996171
1992-09-14,6.1913,1270852
1992-09-15,6.0538,1205267
1992-09-16,6.0966,1004776
1992-09-17,6.0966,767536
1992-09-18,6.1398,1571589
1992-09-21,6.0966,571233
1992-09-22,6.0538,1197824
1992-09-23,5.9505,831265
1992-09-24,6.0966,743579
1992-09-25,6.0966,510298
1992-09-28,6.1398,253054
1992-09-29,6.0538,363999
1992-09-30,6.0021,785214
1992-10-01,5.9074,846385
1992-10-02,5.9074,437266
1992-10-05,5.8646,948720
1992-10-06,5.8129,698690
1992-10-07,5.9505,571464
1992-10-08,6.0021,380746
1992-10-09,5.7269,730556
1992-10-12,5.6754,732182
1992-10-13,5.7697,1665554
1992-10-14,5.7697,1094556
1992-10-15,5.6754,1097810
1992-10-16,5.7269,470756
1992-10-19,5.9074,390976
1992-10-20,5.9074,1182469
1992-10-21,5.9074,345392
1992-10-22,5.8129,754516
1992-10-23,5.8129,529601
1992-10-26,5.8646,881041
1992-10-27,5.9505,711250
1992-10-28,6.0021,1733703
1992-10-29,5.8646,514018
1992-10-30,5.9074,914299
1992-11-02,5.9505,615193
1992-11-03,5.9505,1168750
1992-11-04,5.9505,393072
1992-11-05,6.0538,1184797
1992-11-06,6.0966,2151431
1992-11-09,6.1913,1479485
1992-11-10,6.2772,2994092
1992-11-11,6.3801,1133164
1992-11-12,6.2341,1749517
1992-11-13,6.2772,761257
1992-11-16,6.0966,2581253
1992-11-17,6.0538,2363085
1992-11-18,6.1913,938723
1992-11-19,6.1913,1209453
1992-11-20,6.1913,2272378
1992-11-23,6.0021,1820458
1992-11-24,6.0966,547043
1992-11-25,6.2341,1188520
1992-11-27,6.2772,869645
1992-11-30,6.1913,1160611
1992-12-01,6.1656,2799185
1992-12-02,6.26,2258887
1992-12-03,6.2085,1684164
1992-12-04,6.303,1873953
1992-12-07,6.303,1028967
1992-12-08,6.26,1369937
1992-12-09,6.2085,947791
1992-12-10,6.3546,1361331
1992-12-11,6.26,536809
1992-12-14,6.1225,1125020
1992-12-15,6.0193,2561948
1992-12-16,6.1225,970585
1992-12-17,6.303,1309469
1992-12-18,6.26,1817901
1992-12-21,6.2085,1047804
1992-12-22,6.2085,2283773
1992-12-23,6.2085,551927
1992-12-24,6.2085,520761
1992-12-28,6.1225,2264468
1992-12-29,6.1225,561000
1992-12-30,6.2085,687294
1992-12-31,6.303,1188520
1993-01-04,6.1656,1378311
1993-01-05,6.2085,1021757
1993-01-06,6.3546,656360
1993-01-07,6.449,3574631
1993-01-08,6.3546,1260621
1993-01-11,6.4922,1691371
1993-01-12,6.449,1211083
1993-01-13,6.4062,1053387
1993-01-14,6.449,819634
1993-01-15,6.303,1822318
1993-01-18,6.303,606586
1993-01-19,6.4922,1646949
1993-01-20,6.4922,2103984
1993-01-21,6.4922,2577297
1993-01-22,6.303,3009212
1993-01-25,6.449,3057590
1993-01-26,6.449,1603455
1993-01-27,6.3546,3516020
1993-01-28,6.303,1526471
1993-01-29,6.26,2079095
1993-02-01,6.3546,570536
1993-02-02,6.4062,1296207
1993-02-03,6.4062,1462508
1993-02-04,6.449,1231084
1993-02-05,6.449,1245737
1993-02-08,6.6901,2665216
1993-02-09,6.5952,1996760
1993-02-10,6.7328,2116776
1993-02-11,6.6386,693343
1993-02-12,6.6901,494481
1993-02-16,6.449,1372964
1993-02-17,6.3546,1395987
1993-02-18,6.2085,2607069
1993-02-19,6.3546,851269
1993-02-22,6.303,810799
1993-02-23,6.303,647056
1993-02-24,6.303,1394128
1993-02-25,6.3546,888020
1993-02-26,6.449,941978
1993-03-01,6.3286,634033
1993-03-02,6.4235,692645
1993-03-03,6.3801,845454
1993-03-04,6.4235,1100601
1993-03-05,6.4235,1153864
1993-03-08,6.664,739164
1993-03-09,6.4749,484481
1993-03-10,6.561,748929
1993-03-11,6.518,477968
1993-03-12,6.4235,644269
1993-03-15,6.518,793817
1993-03-16,6.4235,548675
1993-03-17,6.6124,1000589
1993-03-18,6.561,485177
1993-03-19,6.561,524948
1993-03-22,6.6124,640544
1993-03-23,6.7586,834059
1993-03-24,6.664,861040
1993-03-25,6.664,830570
1993-03-26,6.7586,751490
1993-03-29,6.8448,676828
1993-03-30,6.8018,633334
1993-03-31,6.664,587749
1993-04-01,6.4749,556583
1993-04-02,6.3286,657754
1993-04-05,6.4235,614496
1993-04-06,6.2772,829639
1993-04-07,6.3286,715672
1993-04-08,6.3286,529835
1993-04-12,6.6124,503550
1993-04-13,6.664,424469
1993-04-14,6.561,372137
1993-04-15,6.664,471452
1993-04-16,6.7075,1125723
1993-04-19,6.8964,1366685
1993-04-20,6.7586,626358
1993-04-21,6.7586,437963
1993-04-22,6.8018,1478789
1993-04-23,6.7586,376562
1993-04-26,5.8042,3259010
1993-04-27,5.5807,3815125
1993-04-28,5.6666,2121424
1993-04-29,5.7182,1465298
1993-04-30,5.9074,1102928
1993-05-03,5.9505,446566
1993-05-04,5.7614,3119225
1993-05-05,5.7614,618917
1993-05-06,5.7182,804752
1993-05-07,5.6666,1392035
1993-05-10,5.5807,908487
1993-05-11,5.5807,521693
1993-05-12,5.6666,646124
1993-05-13,5.5293,1374124
1993-05-14,5.4345,753813
1993-05-17,5.4345,582401
1993-05-18,5.5807,1406220
1993-05-19,5.8042,1675554
1993-05-20,5.8042,972915
1993-05-21,5.9074,734276
1993-05-24,5.9074,614496
1993-05-25,5.8042,1057109
1993-05-26,5.9505,717761
1993-05-27,6.0449,724741
1993-05-28,5.9074,295850
1993-06-01,5.9761,376562
1993-06-02,5.9248,466803
1993-06-03,5.6927,617986
1993-06-04,5.6494,1361798
1993-06-07,5.5979,580537
1993-06-08,5.5548,715672
1993-06-09,5.6494,917789
1993-06-10,5.5033,1217129
1993-06-11,5.5548,513087
1993-06-14,5.5979,638219
1993-06-15,5.7355,574492
1993-06-16,5.787,1967453
1993-06-17,5.8818,1113628
1993-06-18,5.787,1109903
1993-06-21,5.9248,1738588
1993-06-22,5.9248,573561
1993-06-23,5.8818,1085484
1993-06-24,5.787,662873
1993-06-25,5.7355,1335746
1993-06-28,5.8389,937791
1993-06-29,5.787,1517396
1993-06-30,5.8818,1960475
1993-07-01,5.9761,1569499
1993-07-02,5.9761,521926
1993-07-06,5.8818,1265276
1993-07-07,5.8818,310503
1993-07-08,6.0711,934304
1993-07-09,5.9248,394233
1993-07-12,6.1656,1296439
1993-07-13,6.0193,1503906
1993-07-14,5.9248,1639274
1993-07-15,6.0711,961983
1993-07-16,6.0711,792189
1993-07-19,5.9248,305851
1993-07-20,5.8389,655198
1993-07-21,6.0193,717999
1993-07-22,5.9248,892904
1993-07-23,5.9761,481220
1993-07-26,5.9761,1168981
1993-07-27,5.9248,766143
1993-07-28,5.9761,2080725
1993-07-29,5.9248,976634
1993-07-30,5.9248,1165261
1993-08-02,5.9248,586814
1993-08-03,5.8818,1314112
1993-08-04,5.9248,838707
1993-08-05,5.8818,624961
1993-08-06,5.9761,1049202
1993-08-09,6.0711,838477
1993-08-10,6.0193,808243
1993-08-11,5.9761,1062921
1993-08-12,5.9248,919883
1993-08-13,5.9761,527972
1993-08-16,5.9761,318180
1993-08-17,5.8818,925693
1993-08-18,5.8818,1078273
1993-08-19,5.8389,692645
1993-08-20,5.787,1105253
1993-08-23,5.9761,425868
1993-08-24,5.9761,1073157
1993-08-25,5.9248,784514
1993-08-26,5.8389,601468
1993-08-27,5.8818,490529
1993-08-30,5.8389,565652
1993-08-31,5.8389,401677
1993-09-01,5.7355,632865
1993-09-02,5.9074,443312
1993-09-03,6.0538,781491
1993-09-07,6.0021,407489
