Date,Close,Volume
2010-06-16,34.093,63851
2010-06-17,33.492,22028
2010-06-18,33.986,300
2010-06-21,33.246,12183
2010-06-22,31.818,83110
2010-06-23,31.789,7369
2010-06-24,31.521,426596
2010-06-25,32.026,570839
2010-06-28,31.769,367170
2010-06-29,29.859,831194
2010-06-30,30.371,7279568
2010-07-01,28.874,2854006
2010-07-02,28.586,3127663
2010-07-06,27.761,2305794
2010-07-07,29.1,2255971
2010-07-08,29.849,2305768
2010-07-09,29.986,1758931
2010-07-12,29.741,1376823
2010-07-13,30.016,1400775
2010-07-14,30.016,910041
2010-07-15,30.074,1685090
2010-07-16,29.277,1362851
2010-07-19,29.355,1062234
2010-07-20,29.976,1219782
2010-07-21,29.277,874545
2010-07-22,29.573,865733
2010-07-23,28.834,672513
2010-07-26,29.139,902271
2010-07-27,29.711,1731529
2010-07-28,30.449,1732447
2010-07-29,32.017,3251626
2010-07-30,33.908,2787299
2010-08-02,33.395,1570775
2010-08-03,34.046,818071
2010-08-04,34.38,846087
2010-08-05,34.37,614646
2010-08-06,33.463,1431020
2010-08-09,33.789,562605
2010-08-10,33.109,865893
2010-08-11,31.308,873227
2010-08-12,30.429,1111403
2010-08-13,29.691,1869193
2010-08-16,29.869,949781
2010-08-17,31.131,1134257
2010-08-18,31.032,995244
2010-08-19,30.873,448691
2010-08-20,30.548,735214
2010-08-23,30.705,505415
2010-08-24,30.193,907037
2010-08-25,30.084,770188
2010-08-26,29.957,1224444
2010-08-27,29.928,708216
2010-08-30,29.012,747738
2010-08-31,28.596,1423476
2010-09-01,30.3,943254
2010-09-02,30.844,554437
2010-09-03,31.278,603493
2010-09-07,30.844,384484
2010-09-08,30.094,887570
2010-09-09,29.633,389553
2010-09-10,29.623,986139
2010-09-13,29.325,1593350
2010-09-14,29.315,952058
2010-09-15,29.425,470372
2010-09-16,29.258,885960
2010-09-17,28.755,4011037
2010-09-20,29.325,847134
2010-09-21,28.805,1712505
2010-09-22,28.864,1465277
2010-09-23,28.864,1365846
2010-09-24,28.904,1119452
2010-09-27,28.735,626094
2010-09-28,29.395,578504
2010-09-29,29.434,900450
2010-09-30,29.687,965612
2010-10-01,29.899,1063932
2010-10-04,29.593,568542
2010-10-05,29.938,911638
2010-10-06,30.33,1260923
2010-10-07,29.996,790484
2010-10-08,29.899,952253
2010-10-11,29.751,515905
2010-10-12,29.238,1153699
2010-10-13,30.035,1653644
2010-10-14,30.074,1114544
2010-10-15,30.685,1238891
2010-10-18,31.394,1092767
2010-10-19,31.012,1219775
2010-10-20,31.151,810414
2010-10-21,31.308,593510
2010-10-22,31.327,452915
2010-10-25,30.983,445827
2010-10-26,31.908,1645249
2010-10-27,31.278,1168770
2010-10-28,31.928,924283
2010-10-29,32.54,919199
2010-11-01,32.4,806356
2010-11-02,32.912,752828
2010-11-03,33.502,693420
2010-11-04,33.67,873377
2010-11-05,32.962,1028827
2010-11-08,32.813,1040565
2010-11-09,33.012,1860777
2010-11-10,33.157,522519
2010-11-11,33.346,520652
2010-11-12,32.499,488628
2010-11-15,32.765,1225806
2010-11-16,32.39,593281
2010-11-17,33.119,1090056
2010-11-18,33.75,1039214
2010-11-19,34.252,820914
2010-11-22,35.01,1379316
2010-11-23,33.809,811405
2010-11-24,35.02,1099183
2010-11-26,34.39,280406
2010-11-29,34.705,363296
2010-11-30,34.602,1110761
2010-12-01,35.907,1560730
2010-12-02,36.361,1199204
2010-12-03,36.458,1267825
2010-12-06,36.804,1056120
2010-12-07,37.553,1546170
2010-12-08,36.655,751201
2010-12-09,36.734,712183
2010-12-10,36.516,859277
2010-12-13,37.345,1280474
2010-12-14,36.931,592653
2010-12-15,35.967,1185020
2010-12-16,36.221,737901
2010-12-17,36.162,1282157
2010-12-20,36.085,1215599
2010-12-21,36.871,751336
2010-12-22,36.616,568054
2010-12-23,36.4,587734
2010-12-27,35.73,552890
2010-12-28,35.652,511197
2010-12-29,35.688,447806
2010-12-30,35.469,600398
2010-12-31,35.766,809052
2011-01-03,35.977,1282053
2011-01-04,35.967,1198192
2011-01-05,36.035,845649
2011-01-06,36.045,988341
2011-01-07,36.371,986510
2011-01-10,36.635,806972
2011-01-11,37.266,1121712
2011-01-12,38.666,1928467
2011-01-13,37.975,1176002
2011-01-14,37.671,1023839
2011-01-18,38.074,651362
2011-01-19,37.325,1098582
2011-01-20,37.335,1114934
2011-01-21,36.951,1697892
2011-01-24,38.034,1031982
2011-01-25,38.211,899319
2011-01-26,38.705,1093822
2011-01-27,38.99,1321510
2011-01-28,38.379,863855
2011-01-31,40.032,1740339
2011-02-01,40.882,1769235
2011-02-02,40.211,1583624
2011-02-03,39.898,1546844
2011-02-04,39.68,720144
2011-02-07,39.69,876877
2011-02-08,39.167,903245
2011-02-09,38.339,1226683
2011-02-10,37.286,2251350
2011-02-11,37.936,1315434
2011-02-14,38.637,1137177
2011-02-15,38.201,751921
2011-02-16,38.765,1286477
2011-02-18,38.508,1000667
2011-02-22,38.309,2100189
2011-02-23,38.24,1604398
2011-02-24,37.375,2282836
2011-02-25,38.488,1297197
2011-02-28,38.96,1664547
