,Date,Close
0,2014-03-20,15.17
1,2014-03-21,16.13
2,2014-03-24,15.5
3,2014-03-25,15.53
4,2014-03-26,15.0
5,2014-03-27,15.02
6,2014-03-28,15.1
7,2014-03-31,15.53
8,2014-04-01,16.61
9,2014-04-02,16.92
10,2014-04-03,16.56
11,2014-04-04,16.19
12,2014-04-07,14.86
13,2014-04-08,13.72
14,2014-04-09,13.92
15,2014-04-10,14.12
16,2014-04-11,13.68
17,2014-04-14,13.84
18,2014-04-15,13.36
19,2014-04-16,13.01
20,2014-04-17,13.06
21,2014-04-21,13.58
22,2014-04-22,13.48
23,2014-04-23,13.1
24,2014-04-24,13.2
25,2014-04-25,13.25
26,2014-04-28,12.99
27,2014-04-29,12.44
28,2014-04-30,12.28
29,2014-05-01,12.74
30,2014-05-02,12.35
31,2014-05-05,12.03
32,2014-05-06,12.0
33,2014-05-07,11.59
34,2014-05-08,10.65
35,2014-05-09,10.03
36,2014-05-12,10.39
37,2014-05-13,11.05
38,2014-05-14,11.27
39,2014-05-15,11.31
40,2014-05-16,11.74
41,2014-05-19,12.03
42,2014-05-20,11.82
43,2014-05-21,11.72
44,2014-05-22,12.01
45,2014-05-23,12.69
46,2014-05-27,12.73
47,2014-05-28,12.91
48,2014-05-29,13.13
49,2014-05-30,13.15
50,2014-06-02,13.46
51,2014-06-03,13.37
52,2014-06-04,13.75
53,2014-06-05,14.22
54,2014-06-06,14.85
55,2014-06-09,14.98
56,2014-06-10,14.78
57,2014-06-11,14.57
58,2014-06-12,15.07
59,2014-06-13,15.5
60,2014-06-16,15.11
61,2014-06-17,15.49
62,2014-06-18,14.87
63,2014-06-19,15.41
64,2014-06-20,15.88
65,2014-06-23,15.94
66,2014-06-24,15.28
67,2014-06-25,14.92
68,2014-06-26,14.83
69,2014-06-27,14.12
70,2014-06-30,14.26
71,2014-07-01,14.54
72,2014-07-02,14.66
73,2014-07-03,15.04
74,2014-07-07,14.57
75,2014-07-08,13.86
76,2014-07-09,13.83
77,2014-07-10,13.65
78,2014-07-11,13.7
79,2014-07-14,13.58
80,2014-07-15,13.63
81,2014-07-16,13.7
82,2014-07-17,13.13
83,2014-07-18,13.75
84,2014-07-21,13.55
85,2014-07-22,13.96
86,2014-07-23,14.05
87,2014-07-24,13.94
88,2014-07-25,13.79
89,2014-07-28,13.38
90,2014-07-29,13.17
91,2014-07-30,13.24
92,2014-07-31,13.17
93,2014-08-01,13.14
94,2014-08-04,13.27
95,2014-08-05,12.68
96,2014-08-06,12.84
97,2014-08-07,12.99
98,2014-08-08,15.34
99,2014-08-11,15.23
100,2014-08-12,16.02
101,2014-08-13,16.62
102,2014-08-14,16.11
103,2014-08-15,16.18
104,2014-08-18,16.2
105,2014-08-19,16.25
106,2014-08-20,15.66
107,2014-08-21,16.08
108,2014-08-22,16.22
109,2014-08-25,15.96
110,2014-08-26,15.49
111,2014-08-27,15.42
112,2014-08-28,15.16
113,2014-08-29,14.76
114,2014-09-02,14.59
115,2014-09-03,14.67
