,Date,Close
0,2005-02-25,31.84
1,2005-02-28,31.38
2,2005-03-01,31.48
3,2005-03-02,31.68
4,2005-03-03,31.48
5,2005-03-04,30.98
6,2005-03-07,30.43
7,2005-03-08,30.27
8,2005-03-09,30.11
9,2005-03-10,29.51
10,2005-03-11,28.79
11,2005-03-14,28.89
12,2005-03-15,28.38
13,2005-03-16,28.11
14,2005-03-17,27.95
15,2005-03-18,28.52
16,2005-03-21,28.57
17,2005-03-22,28.5
18,2005-03-23,28.48
19,2005-03-24,27.98
20,2005-03-28,27.5
21,2005-03-29,25.79
22,2005-03-30,25.82
23,2005-03-31,25.91
24,2005-04-01,26.34
25,2005-04-04,26.38
26,2005-04-05,26.18
27,2005-04-06,26.25
28,2005-04-07,22.89
29,2005-04-08,22.55
30,2005-04-11,22.05
31,2005-04-12,22.04
32,2005-04-13,21.6
33,2005-04-14,21.38
34,2005-04-15,20.84
35,2005-04-18,21.32
36,2005-04-19,21.59
37,2005-04-20,21.38
38,2005-04-21,22.32
39,2005-04-22,22.36
40,2005-04-25,22.7
41,2005-04-26,22.53
42,2005-04-27,22.66
43,2005-04-28,22.11
44,2005-04-29,23.12
45,2005-05-02,23.14
46,2005-05-03,22.5
47,2005-05-04,22.17
48,2005-05-05,21.91
49,2005-05-06,22.18
50,2005-05-09,22.4
51,2005-05-10,22.35
52,2005-05-11,22.32
53,2005-05-12,22.82
54,2005-05-13,22.96
55,2005-05-16,23.46
56,2005-05-17,23.34
57,2005-05-18,24.0
58,2005-05-19,24.07
59,2005-05-20,24.33
60,2005-05-23,24.98
61,2005-05-24,24.5
62,2005-05-25,24.25
63,2005-05-26,24.65
64,2005-05-27,24.36
65,2005-05-31,24.55
66,2005-06-01,24.76
67,2005-06-02,24.46
68,2005-06-03,24.29
69,2005-06-06,24.14
70,2005-06-07,24.39
71,2005-06-08,24.0
72,2005-06-09,23.95
73,2005-06-10,23.55
74,2005-06-13,23.71
75,2005-06-14,23.59
76,2005-06-15,23.68
77,2005-06-16,23.75
78,2005-06-17,23.5
79,2005-06-20,23.57
80,2005-06-21,23.7
81,2005-06-22,24.01
82,2005-06-23,24.17
83,2005-06-24,23.73
84,2005-06-27,23.85
85,2005-06-28,23.63
86,2005-06-29,22.73
87,2005-06-30,21.47
88,2005-07-01,21.45
89,2005-07-05,21.5
90,2005-07-06,21.8
91,2005-07-07,22.23
92,2005-07-08,23.48
93,2005-07-11,24.14
94,2005-07-12,24.46
95,2005-07-13,24.13
96,2005-07-14,23.84
97,2005-07-15,23.83
98,2005-07-18,23.3
99,2005-07-19,23.39
100,2005-07-20,23.79
101,2005-07-21,23.61
102,2005-07-22,23.98
103,2005-07-25,24.25
104,2005-07-26,24.1
105,2005-07-27,22.73
106,2005-07-28,23.75
107,2005-07-29,23.86
108,2005-08-01,24.43
109,2005-08-02,24.66
110,2005-08-03,24.64
111,2005-08-04,24.5
112,2005-08-05,24.52
113,2005-08-08,24.11
114,2005-08-09,24.98
115,2005-08-10,24.93
116,2005-08-11,24.89
117,2005-08-12,25.21
118,2005-08-15,25.07
119,2005-08-16,25.09
120,2005-08-17,25.07
121,2005-08-18,26.0
122,2005-08-19,22.23
123,2005-08-22,21.86
124,2005-08-23,22.0
125,2005-08-24,21.82
126,2005-08-25,21.27
127,2005-08-26,21.73
128,2005-08-29,21.8
129,2005-08-30,21.7
130,2005-08-31,22.33
131,2005-09-01,22.65
132,2005-09-02,22.38
133,2005-09-06,22.7
134,2005-09-07,22.86
135,2005-09-08,23.09
136,2005-09-09,23.04
137,2005-09-12,23.11
138,2005-09-13,23.07
139,2005-09-14,23.25
140,2005-09-15,23.05
141,2005-09-16,23.15
142,2005-09-19,22.88
143,2005-09-20,23.1
144,2005-09-21,23.15
145,2005-09-22,23.36
146,2005-09-23,23.57
147,2005-09-26,23.63
148,2005-09-27,23.64
149,2005-09-28,23.64
150,2005-09-29,23.77
151,2005-09-30,24.37
152,2005-10-03,24.32
153,2005-10-04,25.08
154,2005-10-05,25.25
155,2005-10-06,25.25
156,2005-10-07,26.27
157,2005-10-10,25.84
158,2005-10-11,26.25
159,2005-10-12,26.25
160,2005-10-13,26.07
161,2005-10-14,25.91
162,2005-10-17,26.1
163,2005-10-18,26.17
164,2005-10-19,26.05
165,2005-10-20,26.46
166,2005-10-21,27.34
167,2005-10-24,26.91
168,2005-10-25,26.99
169,2005-10-26,26.07
170,2005-10-27,25.25
171,2005-10-28,28.5
172,2005-10-31,28.32
173,2005-11-01,27.98
174,2005-11-02,28.0
175,2005-11-03,28.09
176,2005-11-04,27.9
177,2005-11-07,27.75
178,2005-11-08,27.87
179,2005-11-09,28.04
180,2005-11-10,28.28
181,2005-11-11,28.14
182,2005-11-14,27.68
183,2005-11-15,27.39
184,2005-11-16,27.39
185,2005-11-17,28.89
186,2005-11-18,28.65
187,2005-11-21,29.16
188,2005-11-22,29.95
189,2005-11-23,29.69
190,2005-11-25,29.69
191,2005-11-28,29.42
192,2005-11-29,29.73
193,2005-11-30,29.64
194,2005-12-01,30.01
195,2005-12-02,30.1
196,2005-12-05,29.8
197,2005-12-06,29.8
198,2005-12-07,30.05
199,2005-12-08,30.11
200,2005-12-09,30.19
201,2005-12-12,29.92
202,2005-12-13,30.0
203,2005-12-14,29.79
204,2005-12-15,29.75
205,2005-12-16,29.37
206,2005-12-19,28.71
207,2005-12-20,28.01
208,2005-12-21,28.73
209,2005-12-22,27.91
210,2005-12-23,28.04
211,2005-12-27,27.71
212,2005-12-28,28.2
213,2005-12-29,28.21
214,2005-12-30,27.34
215,2006-01-03,27.36
216,2006-01-04,27.71
217,2006-01-05,27.48
218,2006-01-06,28.87
219,2006-01-09,30.0
220,2006-01-10,30.0
221,2006-01-11,29.59
222,2006-01-12,29.7
223,2006-01-13,29.77
224,2006-01-17,29.07
225,2006-01-18,29.24
226,2006-01-19,29.6
227,2006-01-20,29.29
228,2006-01-23,29.43
229,2006-01-24,29.59
230,2006-01-25,29.82
231,2006-01-26,30.1
232,2006-01-27,28.84
233,2006-01-30,28.73
234,2006-01-31,29.41
235,2006-02-01,29.89
236,2006-02-02,30.35
237,2006-02-03,30.3
238,2006-02-06,29.8
239,2006-02-07,29.75
240,2006-02-08,29.52
241,2006-02-09,28.93
242,2006-02-10,28.45
243,2006-02-13,28.38
244,2006-02-14,28.54
245,2006-02-15,28.45
246,2006-02-16,28.47
247,2006-02-17,28.84
248,2006-02-21,28.04
249,2006-02-22,28.84
250,2006-02-23,29.12
251,2006-02-24,29.41
252,2006-02-27,29.38
253,2006-02-28,29.05
254,2006-03-01,29.62
255,2006-03-02,29.35
256,2006-03-03,29.28
257,2006-03-06,29.27
258,2006-03-07,29.12
259,2006-03-08,29.27
260,2006-03-09,29.26
261,2006-03-10,29.16
262,2006-03-13,28.57
263,2006-03-14,29.23
264,2006-03-15,29.52
265,2006-03-16,29.84
266,2006-03-17,30.02
267,2006-03-20,30.16
268,2006-03-21,29.32
269,2006-03-22,29.58
270,2006-03-23,29.15
271,2006-03-24,29.16
272,2006-03-27,29.02
273,2006-03-28,29.2
274,2006-03-29,30.13
275,2006-03-30,30.09
276,2006-03-31,30.2
277,2006-04-03,29.72
278,2006-04-04,29.84
279,2006-04-05,29.66
280,2006-04-06,29.21
281,2006-04-07,28.59
282,2006-04-10,28.36
283,2006-04-11,28.0
284,2006-04-12,27.98
285,2006-04-13,27.66
286,2006-04-17,27.48
287,2006-04-18,29.0
288,2006-04-19,29.76
289,2006-04-20,29.79
290,2006-04-21,29.36
291,2006-04-24,28.8
292,2006-04-25,28.77
293,2006-04-26,28.3
294,2006-04-27,28.45
295,2006-04-28,31.3
296,2006-05-01,30.24
297,2006-05-02,29.27
298,2006-05-03,30.5
299,2006-05-04,31.05
300,2006-05-05,30.61
301,2006-05-08,30.49
302,2006-05-09,30.45
303,2006-05-10,29.61
304,2006-05-11,28.4
305,2006-05-12,28.62
306,2006-05-15,28.84
307,2006-05-16,30.62
308,2006-05-17,29.87
309,2006-05-18,29.53
310,2006-05-19,28.97
311,2006-05-22,30.0
312,2006-05-23,28.61
313,2006-05-24,30.3
314,2006-05-25,29.77
315,2006-05-26,30.42
316,2006-05-30,29.16
317,2006-05-31,29.44
318,2006-06-01,29.98
319,2006-06-02,29.86
320,2006-06-05,28.71
321,2006-06-06,28.61
322,2006-06-07,28.46
