,Date,Close
0,2016-04-22,14.0
1,2016-04-25,13.5
2,2016-04-26,13.7
3,2016-04-27,13.68
4,2016-04-28,13.44
5,2016-04-29,13.33
6,2016-05-02,13.34
7,2016-05-03,13.65
8,2016-05-04,13.53
9,2016-05-05,13.5
10,2016-05-06,13.27
11,2016-05-09,13.05
12,2016-05-10,13.105
13,2016-05-11,12.67
14,2016-05-12,12.21
15,2016-05-13,12.45
16,2016-05-16,13.81
17,2016-05-17,13.16
18,2016-05-18,13.53
19,2016-05-19,13.61
20,2016-05-20,13.87
21,2016-05-23,13.26
22,2016-05-24,13.65
23,2016-05-25,13.76
24,2016-05-26,13.63
25,2016-05-27,13.735
26,2016-05-31,13.8
27,2016-06-01,13.69
28,2016-06-02,13.28
29,2016-06-03,13.45
30,2016-06-06,13.53
31,2016-06-07,13.28
32,2016-06-08,13.49
33,2016-06-09,13.11
34,2016-06-10,13.3001
35,2016-06-13,13.18
36,2016-06-14,14.91
37,2016-06-15,14.01
38,2016-06-16,15.49
39,2016-06-17,15.09
40,2016-06-20,14.52
41,2016-06-21,14.16
42,2016-06-22,13.98
43,2016-06-23,14.12
44,2016-06-24,13.04
45,2016-06-27,13.09
46,2016-06-28,12.92
47,2016-06-29,13.77
48,2016-06-30,14.1
49,2016-07-01,14.0
50,2016-07-05,13.91
51,2016-07-06,14.04
52,2016-07-07,13.79
53,2016-07-08,13.86
54,2016-07-11,14.54
55,2016-07-12,14.74
56,2016-07-13,14.74
57,2016-07-14,14.83
58,2016-07-15,15.36
59,2016-07-18,15.14
60,2016-07-19,14.75
61,2016-07-20,14.44
62,2016-07-21,14.36
63,2016-07-22,14.51
64,2016-07-25,14.75
65,2016-07-26,15.0
66,2016-07-27,14.9
67,2016-07-28,14.93
68,2016-07-29,14.81
69,2016-08-01,14.83
70,2016-08-02,14.33
71,2016-08-03,14.54
72,2016-08-04,14.44
73,2016-08-05,14.37
74,2016-08-08,14.16
75,2016-08-09,14.11
76,2016-08-10,14.07
77,2016-08-11,14.11
78,2016-08-12,13.98
79,2016-08-15,14.13
80,2016-08-16,14.02
81,2016-08-17,13.98
82,2016-08-18,14.09
83,2016-08-19,14.34
84,2016-08-22,14.43
85,2016-08-23,14.48
86,2016-08-24,14.45
87,2016-08-25,14.57
88,2016-08-26,14.26
89,2016-08-29,14.37
90,2016-08-30,14.09
91,2016-08-31,14.2
92,2016-09-01,14.21
93,2016-09-02,14.18
94,2016-09-06,14.4
95,2016-09-07,13.99
96,2016-09-08,13.95
97,2016-09-09,13.49
98,2016-09-12,13.4
99,2016-09-13,13.07
100,2016-09-14,12.72
101,2016-09-15,12.83
102,2016-09-16,12.72
103,2016-09-19,12.1
104,2016-09-20,12.04
105,2016-09-21,12.12
106,2016-09-22,12.65
107,2016-09-23,12.6
108,2016-09-26,12.48
109,2016-09-27,12.58
110,2016-09-28,12.81
111,2016-09-29,12.56
112,2016-09-30,12.47
113,2016-10-03,12.37
114,2016-10-04,12.63
115,2016-10-05,12.67
116,2016-10-06,12.66
117,2016-10-07,12.63
118,2016-10-10,12.67
119,2016-10-11,12.54
120,2016-10-12,12.38
121,2016-10-13,12.19
122,2016-10-14,12.14
123,2016-10-17,12.09
124,2016-10-18,12.05
125,2016-10-19,12.05
126,2016-10-20,12.1
127,2016-10-21,11.29
128,2016-10-24,11.42
129,2016-10-25,11.43
130,2016-10-26,11.47
131,2016-10-27,11.36
132,2016-10-28,11.22
133,2016-10-31,11.79
134,2016-11-01,11.61
135,2016-11-02,11.81
136,2016-11-03,11.81
137,2016-11-04,11.58
138,2016-11-07,11.98
139,2016-11-08,12.01
140,2016-11-09,12.25
141,2016-11-10,12.12
142,2016-11-11,12.37
143,2016-11-14,12.52
144,2016-11-15,12.49
145,2016-11-16,12.49
146,2016-11-17,12.52
147,2016-11-18,12.42
148,2016-11-21,12.5
149,2016-11-22,12.52
150,2016-11-23,12.51
151,2016-11-25,12.42
152,2016-11-28,12.4
153,2016-11-29,12.3
154,2016-11-30,12.35
155,2016-12-01,12.31
156,2016-12-02,11.74
157,2016-12-05,11.91
158,2016-12-06,12.45
159,2016-12-07,12.01
160,2016-12-08,12.02
161,2016-12-09,11.66
162,2016-12-12,11.25
163,2016-12-13,10.92
164,2016-12-14,10.68
165,2016-12-15,10.71
166,2016-12-16,10.6
167,2016-12-19,10.39
168,2016-12-20,10.81
169,2016-12-21,10.75
170,2016-12-22,10.86
171,2016-12-23,10.85
172,2016-12-27,10.75
173,2016-12-28,10.31
174,2016-12-29,10.57
175,2016-12-30,10.59
176,2017-01-03,10.55
177,2017-01-04,10.77
178,2017-01-05,10.75
179,2017-01-06,10.6
180,2017-01-09,10.47
181,2017-01-10,10.33
182,2017-01-11,10.34
183,2017-01-12,10.42
184,2017-01-13,10.82
185,2017-01-17,10.79
186,2017-01-18,10.78
187,2017-01-19,10.8
188,2017-01-20,10.85
189,2017-01-23,10.42
190,2017-01-24,10.49
191,2017-01-25,10.63
192,2017-01-26,10.43
193,2017-01-27,10.59
194,2017-01-30,10.64
195,2017-01-31,10.34
196,2017-02-01,10.47
197,2017-02-02,10.56
198,2017-02-03,10.59
199,2017-02-06,10.41
200,2017-02-07,10.37
201,2017-02-08,10.38
202,2017-02-09,10.48
203,2017-02-10,10.33
204,2017-02-13,10.49
205,2017-02-14,10.5
206,2017-02-15,10.62
207,2017-02-16,10.52
208,2017-02-17,10.71
209,2017-02-21,10.62
210,2017-02-22,10.5
211,2017-02-23,10.63
212,2017-02-24,10.32
213,2017-02-27,10.54
214,2017-02-28,10.44
215,2017-03-01,10.39
216,2017-03-02,10.46
217,2017-03-03,10.4
218,2017-03-06,10.32
219,2017-03-07,10.755
220,2017-03-08,10.94
221,2017-03-09,10.62
222,2017-03-10,10.85
223,2017-03-13,11.59
224,2017-03-14,11.33
225,2017-03-15,11.72
226,2017-03-16,12.01
227,2017-03-17,11.63
228,2017-03-20,11.88
229,2017-03-21,11.61
230,2017-03-22,11.44
231,2017-03-23,11.48
232,2017-03-24,11.56
233,2017-03-27,11.42
234,2017-03-28,11.38
235,2017-03-29,10.33
236,2017-03-30,9.68
237,2017-03-31,9.5
238,2017-04-03,9.27
239,2017-04-04,9.27
240,2017-04-05,9.2
241,2017-04-06,8.98
242,2017-04-07,8.9
243,2017-04-10,8.75
244,2017-04-11,8.76
245,2017-04-12,8.66
246,2017-04-13,8.5
247,2017-04-17,8.41
248,2017-04-18,8.68
249,2017-04-19,8.85
250,2017-04-20,9.0
251,2017-04-21,8.94
252,2017-04-24,9.12
253,2017-04-25,9.03
254,2017-04-26,8.87
255,2017-04-27,8.82
256,2017-04-28,8.65
257,2017-05-01,8.67
258,2017-05-02,8.65
259,2017-05-03,8.71
260,2017-05-04,8.87
261,2017-05-05,8.99
262,2017-05-08,9.09
263,2017-05-09,9.11
264,2017-05-10,9.42
265,2017-05-11,9.53
266,2017-05-12,9.48
267,2017-05-15,10.14
268,2017-05-16,10.27
269,2017-05-17,10.22
270,2017-05-18,10.43
271,2017-05-19,10.81
272,2017-05-22,10.96
273,2017-05-23,10.66
274,2017-05-24,10.83
275,2017-05-25,10.72
276,2017-05-26,10.83
277,2017-05-30,11.33
278,2017-05-31,10.88
279,2017-06-01,11.67
280,2017-06-02,11.57
281,2017-06-05,11.47
282,2017-06-06,10.29
283,2017-06-07,10.45
284,2017-06-08,9.65
285,2017-06-09,9.53
286,2017-06-12,9.21
287,2017-06-13,9.22
288,2017-06-14,9.31
289,2017-06-15,9.15
290,2017-06-16,9.24
291,2017-06-19,9.46
292,2017-06-20,9.02
293,2017-06-21,8.98
294,2017-06-22,9.33
295,2017-06-23,9.23
296,2017-06-26,9.37
297,2017-06-27,9.27
298,2017-06-28,9.33
299,2017-06-29,9.27
300,2017-06-30,9.28
301,2017-07-03,9.68
302,2017-07-05,9.48
303,2017-07-06,9.47
304,2017-07-07,10.25
305,2017-07-10,10.51
306,2017-07-11,10.49
307,2017-07-12,10.59
308,2017-07-13,10.52
309,2017-07-14,10.41
310,2017-07-17,10.35
311,2017-07-18,10.78
312,2017-07-19,10.9
313,2017-07-20,10.8
314,2017-07-21,10.67
315,2017-07-24,10.9
316,2017-07-25,11.19
317,2017-07-26,11.25
318,2017-07-27,11.02
319,2017-07-28,10.94
320,2017-07-31,10.93
321,2017-08-01,11.11
322,2017-08-02,10.79
323,2017-08-03,10.68
324,2017-08-04,10.7
325,2017-08-07,10.73
326,2017-08-08,10.84
327,2017-08-09,10.65
328,2017-08-10,10.62
329,2017-08-11,10.58
330,2017-08-14,10.69
331,2017-08-15,10.4
332,2017-08-16,10.24
333,2017-08-17,10.32
334,2017-08-18,10.36
335,2017-08-21,10.34
336,2017-08-22,10.24
337,2017-08-23,10.04
338,2017-08-24,10.53
339,2017-08-25,10.48
340,2017-08-28,10.45
341,2017-08-29,10.35
342,2017-08-30,10.27
343,2017-08-31,10.23
344,2017-09-01,10.84
345,2017-09-05,10.07
346,2017-09-06,10.8
347,2017-09-07,11.03
348,2017-09-08,11.11
349,2017-09-11,11.16
350,2017-09-12,11.36
351,2017-09-13,11.34
352,2017-09-14,11.36
353,2017-09-15,12.55
354,2017-09-18,12.45
355,2017-09-19,12.4
