Date,Close,Volume
2010-03-12,23.594,59084
2010-03-16,23.693,14179
2010-03-17,23.693,141803
2010-03-18,23.908,177253
2010-03-22,23.908,59084
2010-03-23,24.118,207979
2010-03-25,24.329,689807
2010-03-26,24.329,230669
2010-03-29,24.54,354506
2010-03-30,24.54,384047
2010-03-31,24.414,272451
2010-04-05,24.54,538668
2010-04-06,24.61,159529
2010-04-07,24.879,295067
2010-04-08,24.329,92112
2010-04-09,24.626,3544
2010-04-12,24.54,129391
2010-04-13,24.626,66409
2010-04-14,24.118,295421
2010-04-15,24.153,555715
2010-04-16,24.5,1774
2010-04-19,24.54,5910
2010-04-20,24.118,42748
2010-04-22,24.54,23635
2010-04-23,24.5,118169
2010-04-27,24.54,29544
2010-04-28,24.329,276
2010-04-30,24.582,113268
2010-05-03,24.643,35453
2010-05-05,24.457,89215
2010-05-06,23.908,63812
2010-05-07,24.118,1179
2010-05-10,24.5,35806
2010-05-11,24.54,4559
2010-05-12,24.118,24309
2010-05-13,23.693,35689
2010-05-14,24.5,240
2010-05-17,23.739,70901
2010-05-18,24.16,59084
2010-05-25,23.78,114
2010-06-01,23.483,6381
2010-06-09,23.483,68057
2010-06-10,20.732,64994
2010-06-14,20.732,88628
2010-06-15,20.308,260946
2010-06-16,21.156,11817
2010-06-17,21.156,339675
2010-06-18,21.156,92406
2010-06-21,22.003,29544
2010-06-22,22.003,27888
2010-06-23,22.003,10162
2010-06-24,20.732,29655
2010-06-25,22.003,10755
2010-06-28,22.003,12410
2010-06-29,22.214,50217
2010-07-01,22.003,309601
2010-07-02,22.003,144284
2010-07-06,19.785,318101
2010-07-08,19.886,200887
2010-07-09,19.886,23635
2010-07-12,19.989,599441
2010-07-13,19.886,525102
2010-07-14,21.156,2364
2010-07-20,21.156,120532
2010-07-26,21.156,389955
2010-07-27,21.581,23635
2010-07-28,21.367,477400
2010-07-29,21.581,6853
2010-07-30,21.156,70901
2010-08-02,21.156,295821
2010-08-03,20.817,330873
2010-08-04,20.565,2252961
2010-08-05,20.52,752025
2010-08-06,19.802,975589
2010-08-09,19.886,189069
2010-08-10,20.308,353
2010-08-13,20.308,16616
2010-08-17,19.886,7328
2010-08-18,19.886,353
2010-08-19,19.886,61654
2010-08-23,18.617,244816
2010-08-24,17.772,4137
2010-08-25,17.348,94653
2010-08-26,16.923,273915
2010-08-27,16.923,230429
2010-08-30,16.755,114042
2010-08-31,16.923,101624
2010-09-01,16.967,97846
2010-09-02,17.136,208125
2010-09-07,17.096,120722
2010-09-08,17.096,51471
2010-09-13,17.687,103160
2010-09-14,17.517,249633
2010-09-15,17.179,215147
2010-09-16,17.348,793009
2010-09-17,17.772,124311
2010-09-20,18.404,42187
2010-09-21,18.66,496307
2010-09-22,19.464,283370
2010-09-23,19.363,208568
2010-09-24,19.566,135893
2010-09-27,19.785,622273
2010-09-28,19.886,335365
2010-09-29,19.817,549501
2010-09-30,19.676,494772
2010-10-01,19.508,670247
2010-10-05,19.548,128773
2010-10-06,19.676,52907
2010-10-07,19.464,32483
2010-10-08,19.588,62275
2010-10-11,19.464,60977
2010-10-12,19.464,119574
2010-10-13,19.676,888037
2010-10-14,19.464,13558
2010-10-18,19.692,31846
2010-10-19,19.464,5930
2010-10-22,19.676,4609
2010-10-26,19.253,1143837
2010-10-27,19.464,17724
2010-10-28,19.464,64994
2010-10-29,19.72,2364
2010-11-01,19.464,164797
2010-11-04,19.72,4049004
2010-11-05,19.802,473031
2010-11-08,19.676,90085
2010-11-09,20.014,110725
2010-11-10,20.308,210104
2010-11-11,20.683,35806
2010-11-12,21.098,1917014
2010-11-15,21.953,334011
2010-11-16,22.003,147194
2010-11-17,22.003,263441
2010-11-18,22.214,40476
2010-11-19,23.264,1548387
2010-11-22,23.178,424495
2010-11-23,22.325,100427
2010-11-24,22.51,28226
2010-11-26,22.983,4489
2010-11-29,22.426,135593
2010-11-30,22.103,137931
2010-12-01,22.409,462072
2010-12-02,22.257,104226
2010-12-03,22.214,144051
2010-12-06,22.933,363041
2010-12-07,23.474,247577
2010-12-08,23.367,82703
2010-12-09,23.416,55815
2010-12-10,23.212,51289
2010-12-13,23.315,6226
2010-12-14,23.435,162935
2010-12-15,23.222,335697
2010-12-16,22.933,57076
2010-12-17,23.021,419974
2010-12-20,22.973,120078
2010-12-21,22.973,19513
2010-12-22,23.027,35811
2010-12-23,22.84,50440
2010-12-27,22.848,1691
2010-12-28,22.848,9891
2010-12-29,22.713,25589
2010-12-30,22.705,36246
2010-12-31,22.992,57927
2011-01-03,23.187,166945
2011-01-04,23.077,132876
2011-01-05,23.093,46620
2011-01-06,23.021,118905
2011-01-07,22.967,6538
2011-01-10,22.832,63255
2011-01-11,22.924,53867
2011-01-12,22.654,57254
2011-01-13,22.317,131371
2011-01-14,22.915,268281
2011-01-18,22.764,96350
2011-01-19,22.646,367566
2011-01-20,22.528,136222
2011-01-21,22.596,411652
2011-01-24,22.84,151021
2011-01-25,22.832,81387
2011-01-26,22.832,63278
2011-01-27,23.306,285844
2011-01-28,23.62,251538
2011-01-31,24.373,870164
2011-02-01,24.54,976736
2011-02-02,24.406,38882
