Date,Close,Volume
2005-02-25,19.95,1181882
2005-02-28,19.56,1114472
2005-03-01,20.14,1467735
2005-03-02,18.91,3489548
2005-03-03,18.88,1871035
2005-03-04,18.79,1008011
2005-03-07,19.05,1169061
2005-03-08,19.04,2466114
2005-03-09,18.92,1221741
2005-03-10,19.0,865680
2005-03-11,18.44,1786128
2005-03-14,18.45,796496
2005-03-15,18.46,862962
2005-03-16,18.11,754225
2005-03-17,18.15,620569
2005-03-18,17.59,1256327
2005-03-21,17.95,966336
2005-03-22,17.71,801791
2005-03-23,18.13,1275239
2005-03-24,18.08,591593
2005-03-28,18.06,716776
2005-03-29,17.58,649744
2005-03-30,18.01,403309
2005-03-31,17.87,669134
2005-04-01,17.68,732974
2005-04-04,17.81,794098
2005-04-05,17.72,578090
2005-04-06,17.65,566895
2005-04-07,18.05,477674
2005-04-08,17.9,434205
2005-04-11,17.46,571596
2005-04-12,17.53,427821
2005-04-13,17.23,686329
2005-04-14,16.64,1038400
2005-04-15,16.41,1063214
2005-04-18,16.5,801161
2005-04-19,16.53,940764
2005-04-20,16.45,935095
2005-04-21,16.95,658998
2005-04-22,16.76,800051
2005-04-25,16.89,570114
2005-04-26,16.53,543511
2005-04-27,16.73,672819
2005-04-28,16.4,582050
2005-04-29,16.89,882822
2005-05-02,16.81,482168
2005-05-03,16.95,584622
2005-05-04,17.26,451835
2005-05-05,17.28,408094
2005-05-06,17.47,349106
2005-05-09,17.42,222009
2005-05-10,17.17,368958
2005-05-11,17.08,359417
2005-05-12,17.44,748807
2005-05-13,18.13,820198
2005-05-16,18.3,576302
2005-05-17,18.32,412150
2005-05-18,18.65,595757
2005-05-19,18.61,848341
2005-05-20,18.66,1155959
2005-05-23,18.65,519374
2005-05-24,18.64,751674
2005-05-25,18.24,774883
2005-05-26,18.71,587554
2005-05-27,18.33,409527
2005-05-31,18.24,1274055
2005-06-01,18.14,1987782
2005-06-02,18.41,984887
2005-06-03,18.13,734402
2005-06-06,18.18,564383
2005-06-07,17.83,707181
2005-06-08,17.86,627468
2005-06-09,17.99,1582440
2005-06-10,17.89,1346617
2005-06-13,17.86,777813
2005-06-14,17.59,597824
2005-06-15,17.6,506327
2005-06-16,17.62,904129
2005-06-17,17.83,1217503
2005-06-20,17.91,521812
2005-06-21,18.08,478951
2005-06-22,18.21,428807
2005-06-23,17.95,933087
2005-06-24,17.47,4404862
2005-06-27,17.25,899304
2005-06-28,17.05,1487051
2005-06-29,16.86,920032
2005-06-30,16.65,712552
2005-07-01,16.55,712581
2005-07-05,16.71,631746
2005-07-06,17.07,780401
2005-07-07,16.99,755202
2005-07-08,17.46,892386
2005-07-11,17.85,713230
2005-07-12,17.65,734827
2005-07-13,17.59,540415
2005-07-14,17.69,1127497
2005-07-15,17.62,608057
2005-07-18,17.46,544287
2005-07-19,18.19,1034494
2005-07-20,18.33,762740
2005-07-21,18.03,827422
2005-07-22,18.24,532969
2005-07-25,18.3,734091
2005-07-26,18.55,1114138
2005-07-27,18.35,723258
2005-07-28,18.51,556082
2005-07-29,18.36,383528
2005-08-01,18.3,548156
