Date,Close,Volume
1998-06-29,18.051,7770973
1998-06-30,17.582,1894358
1998-07-01,17.62,730711
1998-07-02,17.499,694365
1998-07-06,17.182,759911
1998-07-07,17.112,768164
1998-07-08,17.223,483322
1998-07-09,17.068,361107
1998-07-10,17.068,473465
1998-07-13,16.989,474948
1998-07-14,17.068,823483
1998-07-15,17.03,286816
1998-07-16,16.826,497248
1998-07-17,16.752,669604
1998-07-20,16.631,667755
1998-07-21,16.437,269566
1998-07-22,16.478,624019
1998-07-23,16.631,549726
1998-07-24,16.518,635475
1998-07-27,16.55,474082
1998-07-28,16.274,1006440
1998-07-29,16.12,643361
1998-07-30,16.274,576462
1998-07-31,15.923,476545
1998-08-03,15.724,799826
1998-08-04,15.211,760895
1998-08-05,15.885,617610
1998-08-06,15.638,700406
1998-08-07,15.447,433057
1998-08-10,15.638,923276
1998-08-11,15.294,441559
1998-08-12,15.885,491576
1998-08-13,15.761,254414
1998-08-14,15.638,241107
1998-08-17,15.957,641268
1998-08-18,15.803,555518
1998-08-19,15.724,372931
1998-08-20,15.845,778516
1998-08-21,15.957,565497
1998-08-24,16.038,465582
1998-08-25,16.274,721715
1998-08-26,16.201,426279
1998-08-27,16.161,891490
1998-08-28,16.201,426402
1998-08-31,16.079,1616536
1998-09-01,15.999,549482
1998-09-02,15.845,1602860
1998-09-03,15.803,329195
1998-09-04,15.885,442664
1998-09-08,15.999,244801
1998-09-09,15.957,266979
1998-09-10,15.999,403115
1998-09-11,16.038,286196
1998-09-14,16.274,357656
1998-09-15,16.631,400285
1998-09-16,16.713,1458096
1998-09-17,16.639,2025197
1998-09-18,16.882,421227
1998-09-21,16.882,342747
1998-09-22,16.722,503528
1998-09-23,17.118,457693
1998-09-24,16.843,892105
1998-09-25,16.923,227800
1998-09-28,17.005,510181
1998-09-29,17.16,325501
1998-09-30,16.722,456218
1998-10-01,17.118,523731
1998-10-02,17.842,782334
1998-10-05,18.41,696953
1998-10-06,18.48,852188
1998-10-07,18.725,663815
1998-10-08,18.523,543322
1998-10-09,17.962,294944
1998-10-12,16.801,393632
1998-10-13,17.403,1410171
1998-10-14,17.759,733299
1998-10-15,17.403,926109
1998-10-16,17.16,771984
1998-10-19,17.005,331785
1998-10-20,16.242,732436
1998-10-21,16.282,463857
1998-10-22,16.679,1220439
1998-10-23,16.559,618847
1998-10-26,16.403,424063
1998-10-27,16.242,382667
1998-10-28,16.559,409033
1998-10-29,16.437,244682
1998-10-30,16.679,487508
1998-11-02,17.044,527055
1998-11-03,17.524,407921
1998-11-04,17.24,418766
1998-11-05,17.085,396709
1998-11-06,17.044,355931
1998-11-09,17.044,285212
1998-11-10,17.085,769150
1998-11-11,16.882,339299
1998-11-12,17.005,433057
1998-11-13,17.005,753629
1998-11-16,16.882,264268
1998-11-17,16.965,390551
1998-11-18,16.679,384632
1998-11-19,16.559,195892
1998-11-20,16.599,257986
1998-11-23,16.722,283365
1998-11-24,16.761,178274
1998-11-25,16.679,305295
1998-11-27,16.437,145254
1998-11-30,15.957,651002
1998-12-01,16.201,428868
1998-12-02,16.282,286571
1998-12-03,16.201,262176
1998-12-04,16.437,555145
1998-12-07,16.559,183817
1998-12-08,16.559,149323
1998-12-09,16.599,154252
1998-12-10,16.403,226690
1998-12-11,16.364,350509
1998-12-14,16.201,222506
1998-12-15,16.161,237411
1998-12-16,16.12,1431977
1998-12-17,16.046,2373980
1998-12-18,16.29,817815
1998-12-21,16.575,918349
1998-12-22,16.452,460405
1998-12-23,16.575,639173
1998-12-24,16.614,57538
1998-12-28,16.412,266855
1998-12-29,16.575,341516
1998-12-30,16.492,224229
1998-12-31,16.533,306035
1999-01-04,16.654,397695
1999-01-05,16.947,543692
1999-01-06,16.737,543567
1999-01-07,16.737,440076
1999-01-08,16.492,569934
1999-01-11,16.129,563157
1999-01-12,16.371,700526
1999-01-13,16.371,491330
1999-01-14,16.209,613423
1999-01-15,16.129,1052021
1999-01-19,16.046,752150
1999-01-20,15.724,771000
1999-01-21,16.046,443282
1999-01-22,15.923,269690
1999-01-25,16.007,345210
1999-01-26,15.885,309238
1999-01-27,15.845,405952
1999-01-28,15.316,654571
1999-01-29,14.992,483938
1999-02-01,14.749,391292
1999-02-02,14.497,601721
1999-02-03,14.871,487019
1999-02-04,14.709,338068
1999-02-05,14.416,420735
1999-02-08,14.749,371331
1999-02-09,14.536,210184
1999-02-10,14.294,353217
1999-02-11,14.173,311453
1999-02-12,14.09,481230
1999-02-16,14.373,657037
1999-02-17,14.173,796870
1999-02-18,14.416,501681
1999-02-19,14.536,741679
1999-02-22,14.051,1123602
1999-02-23,14.051,773215
1999-02-24,13.889,626975
1999-02-25,13.643,557486
1999-02-26,13.685,726644
1999-03-01,13.765,737365
1999-03-02,13.726,759295
1999-03-03,13.441,652602
1999-03-04,13.805,1089600
1999-03-05,14.009,1423230
1999-03-08,13.849,599870
1999-03-09,13.522,750670
1999-03-10,13.36,1389848
1999-03-11,13.36,1159947
1999-03-12,13.643,1649181
1999-03-15,13.765,972806
1999-03-16,13.969,4360369
1999-03-17,13.856,614532
1999-03-18,13.693,623650
1999-03-19,13.522,574369
1999-03-22,13.563,646070
1999-03-23,13.279,777035
1999-03-24,13.563,999785
1999-03-25,13.23,667512
1999-03-26,13.279,831364
1999-03-29,13.19,1143192
1999-03-30,12.776,639049
1999-03-31,12.736,884467
1999-04-01,12.776,888411
1999-04-05,12.776,630673
1999-04-06,12.694,544798
1999-04-07,12.279,698555
1999-04-08,12.572,877569
1999-04-09,12.531,689436
1999-04-12,12.653,811902
1999-04-13,12.614,701022
1999-04-14,12.443,469524
1999-04-15,12.614,1111283
1999-04-16,12.946,661227
1999-04-19,13.068,790096
1999-04-20,13.441,1183111
1999-04-21,13.402,1121508
1999-04-22,13.522,637570
1999-04-23,13.522,570549
1999-04-26,13.935,1115103
1999-04-27,14.107,724921
1999-04-28,14.107,480363
1999-04-29,14.026,619951
1999-04-30,13.773,592357
1999-05-03,13.856,746236
1999-05-04,13.935,549603
1999-05-05,13.814,757322
1999-05-06,13.693,1245326
1999-05-07,13.734,528042
1999-05-10,14.026,1215264
1999-05-11,14.227,1201342
1999-05-12,14.269,1245819
1999-05-13,14.519,1020234
1999-05-14,14.35,920319
1999-05-17,14.35,618723
1999-05-18,14.227,532849
1999-05-19,14.269,426279
1999-05-20,14.189,648165
1999-05-21,14.35,1548529
1999-05-24,14.398,494779
