Date,Close,Volume
2013-04-10,23.04,24175156
2013-04-11,24.01,3952603
2013-04-12,24.3,1927971
2013-04-15,23.45,1836199
2013-04-16,23.75,1168708
2013-04-17,23.58,1390067
2013-04-18,23.17,1195317
2013-04-19,24.05,1378513
2013-04-22,23.75,730602
2013-04-23,23.48,1183294
2013-04-24,24.25,1290712
2013-04-25,24.7,1009496
2013-04-26,25.55,726186
2013-04-29,26.08,714162
2013-04-30,25.78,916860
2013-05-01,25.48,796685
2013-05-02,26.72,652831
2013-05-03,26.48,672337
2013-05-06,26.88,635238
2013-05-07,26.89,609617
2013-05-08,26.1,674445
2013-05-09,25.85,934475
2013-05-10,26.2,353540
2013-05-13,25.96,544148
2013-05-14,26.65,863581
2013-05-15,25.86,619833
2013-05-16,25.22,543345
2013-05-17,25.33,540863
2013-05-20,26.33,1162471
2013-05-21,26.1,444761
2013-05-22,26.15,307671
2013-05-23,26.59,414715
2013-05-24,26.3,164010
2013-05-28,26.58,463705
2013-05-29,25.98,1262169
2013-05-30,26.28,347710
2013-05-31,25.83,299281
2013-06-03,25.73,425656
2013-06-04,25.03,227253
2013-06-05,23.91,279558
2013-06-06,24.98,916383
2013-06-07,25.03,602058
2013-06-10,24.89,459560
2013-06-11,24.37,250896
2013-06-12,23.94,289176
2013-06-13,24.87,555016
2013-06-14,25.22,384455
2013-06-17,25.47,1917112
2013-06-18,26.71,1118689
2013-06-19,26.39,1109945
2013-06-20,25.45,1408939
2013-06-21,25.17,3604633
2013-06-24,24.05,1206306
2013-06-25,24.53,395433
2013-06-26,24.26,414326
2013-06-27,25.14,306143
2013-06-28,24.38,1607757
2013-07-01,24.7,426658
2013-07-02,24.28,592172
2013-07-03,24.78,983298
2013-07-05,23.8,591641
2013-07-08,23.92,268856
2013-07-09,24.7,818236
2013-07-10,24.54,293623
2013-07-11,25.73,617176
2013-07-12,25.89,254386
2013-07-15,25.15,269364
2013-07-16,24.54,570472
2013-07-17,25.12,401844
2013-07-18,24.73,295761
2013-07-19,24.7,184050
2013-07-22,24.65,270130
2013-07-23,24.6,306757
2013-07-24,24.26,422985
2013-07-25,22.61,786679
2013-07-26,22.9,634374
2013-07-29,22.28,668529
2013-07-30,23.09,457366
2013-07-31,24.23,782419
2013-08-01,22.34,888112
2013-08-02,22.4,341442
2013-08-05,22.13,276268
2013-08-06,22.01,577395
2013-08-07,21.06,360293
2013-08-08,21.5,546203
2013-08-09,22.08,767624
2013-08-12,21.96,544322
2013-08-13,21.94,595848
2013-08-14,20.03,1668507
2013-08-15,20.06,1729224
2013-08-16,20.58,365755
2013-08-19,19.96,421093
2013-08-20,20.5,1213584
2013-08-21,20.75,549196
2013-08-22,21.36,249530
2013-08-23,21.09,307711
2013-08-26,21.01,587576
2013-08-27,20.01,571907
2013-08-28,20.2,443762
2013-08-29,20.89,486431
2013-08-30,20.61,363771
2013-09-03,20.56,444349
2013-09-04,20.59,610313
2013-09-05,20.19,457893
2013-09-06,20.68,440859
2013-09-09,21.8,272354
2013-09-10,21.61,521795
2013-09-11,21.83,482681
2013-09-12,22.74,463732
2013-09-13,22.45,588924
2013-09-16,22.88,870075
2013-09-17,22.84,471751
2013-09-18,23.37,1166291
2013-09-19,23.83,918293
2013-09-20,23.02,3431248
2013-09-23,22.4,807289
2013-09-24,22.66,664490
2013-09-25,23.15,350045
2013-09-26,22.8,304226
2013-09-27,22.98,232342
2013-09-30,22.65,316766
2013-10-01,22.71,408478
2013-10-02,22.79,459797
2013-10-03,22.27,740135
2013-10-04,21.96,813027
2013-10-07,21.93,460991
2013-10-08,21.5,485533
2013-10-09,21.23,432036
2013-10-10,21.9,300088
2013-10-11,22.39,446270
2013-10-14,21.78,212065
2013-10-15,21.16,556849
2013-10-16,22.15,493054
2013-10-17,22.67,543018
2013-10-18,22.12,408460
2013-10-21,21.77,364294
2013-10-22,22.54,408907
2013-10-23,23.06,461666
2013-10-24,23.15,365248
2013-10-25,23.21,197841
2013-10-28,22.95,222672
2013-10-29,23.4,322188
2013-10-30,22.96,309749
2013-10-31,22.24,398812
2013-11-01,21.31,386012
2013-11-04,21.97,274385
2013-11-05,21.31,447220
2013-11-06,20.79,469479
2013-11-07,20.83,411583
2013-11-08,20.71,268052
2013-11-11,20.72,306340
2013-11-12,20.73,365011
2013-11-13,20.3,920361
2013-11-14,21.19,537651
2013-11-15,20.48,362698
2013-11-18,21.03,472041
2013-11-19,20.71,283805
2013-11-20,20.43,305318
2013-11-21,21.12,377580
2013-11-22,20.69,261426
2013-11-25,20.51,447600
2013-11-26,21.83,840670
2013-11-27,21.92,225520
2013-11-29,21.85,109361
2013-12-02,21.25,332969
2013-12-03,21.06,277768
2013-12-04,20.84,382780
2013-12-05,20.5,655092
2013-12-06,20.61,200981
2013-12-09,20.69,576726
2013-12-10,20.6,317887
2013-12-11,20.25,291424
2013-12-12,20.23,271060
2013-12-13,20.2,329283
2013-12-16,20.19,304432
2013-12-17,20.02,411093
2013-12-18,20.97,383128
2013-12-19,20.92,283581
2013-12-20,21.76,787750
2013-12-23,22.06,540511
2013-12-24,22.49,220375
2013-12-26,21.99,333217
2013-12-27,22.1,364592
2013-12-30,22.13,140805
2013-12-31,22.45,277754
2014-01-02,22.34,313032
2014-01-03,22.48,289311
2014-01-06,21.98,573269
2014-01-07,21.26,344392
2014-01-08,21.49,436734
2014-01-09,21.15,465098
2014-01-10,21.88,1220522
2014-01-13,21.14,348398
2014-01-14,21.0,262290
2014-01-15,20.68,341094
2014-01-16,20.14,665143
2014-01-17,20.12,272610
2014-01-21,20.17,316474
2014-01-22,20.57,381510
2014-01-23,20.25,515283
2014-01-24,19.67,265516
2014-01-27,19.78,532201
2014-01-28,20.43,353520
2014-01-29,20.47,239166
2014-01-30,20.24,311211
2014-01-31,21.15,379825
2014-02-03,20.58,335124
2014-02-04,20.67,216101
2014-02-05,20.36,179889
2014-02-06,21.3,201002
2014-02-07,21.45,411600
2014-02-10,21.26,218363
2014-02-11,21.29,368940
2014-02-12,22.06,846897
2014-02-13,23.02,582432
2014-02-14,22.99,682254
2014-02-18,23.27,571255
2014-02-19,22.62,231076
2014-02-20,23.25,245367
2014-02-21,23.48,297519
2014-02-24,23.76,419527
2014-02-25,24.14,360627
2014-02-26,25.55,759811
2014-02-27,26.09,400364
2014-02-28,25.12,356287
2014-03-03,25.18,307197
2014-03-04,25.32,478516
2014-03-05,25.34,280083
2014-03-06,25.1,471867
2014-03-07,25.17,324991
2014-03-10,24.22,508933
2014-03-11,24.49,444469
2014-03-12,24.3,194193
2014-03-13,23.52,362386
2014-03-14,23.26,287907
2014-03-17,23.71,469833
2014-03-18,23.72,247457
2014-03-19,24.05,446328
2014-03-20,23.85,418885
2014-03-21,23.99,1482006
2014-03-24,23.7,553911
2014-03-25,23.86,250965
2014-03-26,23.65,349900
2014-03-27,23.24,560496
2014-03-28,23.64,409043
2014-03-31,23.5,280887
2014-04-01,23.68,407834
2014-04-02,24.13,540520
2014-04-03,23.6,920531
2014-04-04,23.89,394641
2014-04-07,23.56,340297
2014-04-08,23.27,354538
2014-04-09,23.61,387673
2014-04-10,23.41,303481
2014-04-11,22.61,421972
2014-04-14,22.64,291700
2014-04-15,22.3,262197
2014-04-16,22.49,204934
2014-04-17,22.15,178951
2014-04-21,22.15,183873
2014-04-22,22.46,338881
2014-04-23,21.7,623937
2014-04-24,21.67,864361
2014-04-25,21.01,338493
2014-04-28,20.78,334456
2014-04-29,20.97,337465
2014-04-30,21.21,211900
2014-05-01,21.51,255327
2014-05-02,22.13,247968
2014-05-05,21.89,440392
2014-05-06,20.96,462575
2014-05-07,21.9,490700
2014-05-08,21.03,490423
2014-05-09,21.59,389254
2014-05-12,22.01,434812
2014-05-13,21.65,243172
2014-05-14,20.77,358589
2014-05-15,20.19,475364
2014-05-16,20.53,633055
2014-05-19,20.41,337351
2014-05-20,20.04,232157
2014-05-21,20.07,275569
2014-05-22,20.54,364006
2014-05-23,21.18,437749
2014-05-27,21.4,410854
2014-05-28,21.08,215528
2014-05-29,21.12,287428
2014-05-30,21.3,525790
2014-06-02,20.99,229687
2014-06-03,20.85,353645
2014-06-04,20.67,269125
2014-06-05,20.67,192303
2014-06-06,21.37,306779
2014-06-09,21.75,426278
2014-06-10,21.42,193000
2014-06-11,20.89,370992
2014-06-12,20.61,218568
2014-06-13,20.72,186041
2014-06-16,20.97,184066
2014-06-17,21.3,533752
2014-06-18,21.36,521141
2014-06-19,21.45,263068
2014-06-20,21.21,720120
2014-06-23,20.97,1407175
2014-06-24,21.4,572189
2014-06-25,21.78,340753
2014-06-26,21.8,305706
2014-06-27,21.8,591757
2014-06-30,22.42,337082
2014-07-01,22.71,588464
2014-07-02,22.67,390900
2014-07-03,22.81,262672
2014-07-07,21.95,456623
2014-07-08,21.6,212174
2014-07-09,21.31,293414
2014-07-10,20.98,256918
2014-07-11,20.58,256457
2014-07-14,20.84,311581
2014-07-15,20.59,216681
2014-07-16,21.04,255854
2014-07-17,20.25,291338
2014-07-18,20.38,181619
2014-07-21,20.45,165995
2014-07-22,20.81,204010
2014-07-23,20.84,718501
2014-07-24,20.16,501655
2014-07-25,19.53,304143
2014-07-28,19.04,572684
2014-07-29,18.85,406359
2014-07-30,18.02,582937
2014-07-31,17.78,630837
2014-08-01,17.55,474722
2014-08-04,17.91,470230
2014-08-05,17.79,591588
2014-08-06,17.8,605890
2014-08-07,17.7,389099
2014-08-08,18.65,436949
2014-08-11,18.67,361296
2014-08-12,18.71,338316
2014-08-13,18.69,176264
2014-08-14,19.2,244797
2014-08-15,19.32,355149
2014-08-18,20.07,462191
2014-08-19,20.51,532796
2014-08-20,20.45,254375
2014-08-21,20.33,195476
2014-08-22,20.4,140725
2014-08-25,20.16,380609
2014-08-26,20.08,168126
2014-08-27,19.99,148604
2014-08-28,19.83,133630
2014-08-29,19.84,86435
2014-09-02,19.65,139781
2014-09-03,18.97,267709
2014-09-04,18.88,195679
2014-09-05,18.84,128370
2014-09-08,18.94,123179
2014-09-09,18.88,136905
2014-09-10,19.21,238631
2014-09-11,19.25,206799
2014-09-12,18.92,223886
2014-09-15,18.72,139250
2014-09-16,18.87,274328
2014-09-17,19.34,259414
2014-09-18,19.1,210327
2014-09-19,18.7,599184
2014-09-22,18.16,174749
2014-09-23,18.06,237452
2014-09-24,17.73,319492
2014-09-25,17.53,123225
2014-09-26,17.28,465155
2014-09-29,16.82,431777
2014-09-30,16.22,403312
2014-10-01,16.52,314591
2014-10-02,16.55,740613
2014-10-03,16.55,1680211
2014-10-06,16.85,580209
2014-10-07,16.5,209804
2014-10-08,16.84,296056
2014-10-09,16.27,207399
2014-10-10,15.7,373514
2014-10-13,15.13,560001
2014-10-14,15.58,600612
2014-10-15,16.2,879379
2014-10-16,16.36,436683
2014-10-17,17.03,502864
2014-10-20,17.84,434801
2014-10-21,17.94,484690
2014-10-22,17.88,308989
2014-10-23,18.1,390283
2014-10-24,17.83,574303
2014-10-27,17.87,134136
2014-10-28,18.04,214276
2014-10-29,17.11,620369
2014-10-30,17.26,362935
2014-10-31,17.24,347218
2014-11-03,17.53,283801
2014-11-04,17.28,301874
2014-11-05,18.61,469518
2014-11-06,18.37,346762
2014-11-07,18.92,356868
2014-11-10,18.64,270132
2014-11-11,19.2,247606
2014-11-12,18.98,217363
2014-11-13,18.78,219488
2014-11-14,18.85,327623
2014-11-17,19.12,236442
2014-11-18,19.26,207447
2014-11-19,19.18,170453
2014-11-20,19.68,214678
2014-11-21,19.77,271214
2014-11-24,19.82,208877
2014-11-25,19.83,333938
2014-11-26,19.89,150547
2014-11-28,19.34,289791
2014-12-01,18.58,540503
