Date,Close,Volume
2005-02-25,50.66,55932
2005-02-28,48.16,100412
2005-03-01,50.5,61658
2005-03-02,49.88,38753
2005-03-03,49.81,41003
2005-03-04,51.69,43662
2005-03-07,51.1,21984
2005-03-08,49.95,20859
2005-03-09,49.93,34970
2005-03-10,48.46,37731
2005-03-11,46.83,54603
2005-03-14,46.99,42946
2005-03-15,46.75,54603
2005-03-16,47.6,33129
2005-03-17,46.6,28221
2005-03-18,45.92,56648
2005-03-21,45.18,67486
2005-03-22,44.65,30266
2005-03-23,43.42,85585
2005-03-24,44.31,43968
2005-03-28,44.48,30675
2005-03-29,43.03,113807
2005-03-30,43.73,43355
2005-03-31,43.62,23109
2005-04-01,45.42,57772
2005-04-04,46.95,57057
2005-04-05,47.64,34868
2005-04-06,46.22,18303
2005-04-07,47.01,17792
2005-04-08,45.68,14008
2005-04-11,45.37,17280
2005-04-12,46.95,50206
2005-04-13,46.33,29551
2005-04-14,45.48,44480
2005-04-15,43.64,48570
2005-04-18,43.26,29039
2005-04-19,44.06,43866
2005-04-20,43.28,39367
2005-04-21,43.83,30982
2005-04-22,43.1,58488
2005-04-25,43.76,11963
2005-04-26,43.57,18303
2005-04-27,43.69,24642
2005-04-28,43.16,16973
2005-04-29,43.37,33743
2005-05-02,44.24,45604
2005-05-03,43.23,33743
2005-05-04,44.08,21984
2005-05-05,43.72,19325
2005-05-06,46.33,33641
2005-05-09,47.3,41105
2005-05-10,46.56,38958
2005-05-11,46.7,13292
2005-05-12,46.97,22904
2005-05-13,46.85,21779
2005-05-16,47.08,28630
2005-05-17,47.25,17689
2005-05-18,48.59,35788
2005-05-19,48.54,25563
2005-05-20,48.36,34765
2005-05-23,49.97,84154
2005-05-24,49.83,24540
2005-05-25,50.12,29142
2005-05-26,51.15,28119
2005-05-27,51.93,30982
2005-05-31,50.76,29755
2005-06-01,51.0,21882
2005-06-02,51.83,23313
2005-06-03,51.29,30778
2005-06-06,51.34,17996
2005-06-07,51.49,30982
2005-06-08,51.83,21166
2005-06-09,51.29,35890
2005-06-10,49.77,33947
2005-06-13,49.99,17587
2005-06-14,50.09,20655
2005-06-15,50.41,12577
2005-06-16,51.93,12986
2005-06-17,51.75,40901
2005-06-20,51.87,22188
2005-06-21,51.9,19530
2005-06-22,51.63,12577
2005-06-23,50.12,39980
2005-06-24,48.16,59408
2005-06-27,49.29,19325
2005-06-28,50.87,24131
2005-06-29,51.0,19325
2005-06-30,50.34,15542
2005-07-01,51.36,12577
2005-07-05,52.13,32618
2005-07-06,51.9,18712
2005-07-07,52.26,17382
2005-07-08,53.55,25358
2005-07-11,54.88,59102
2005-07-12,56.83,64623
2005-07-13,57.9,53989
2005-07-14,56.92,73826
2005-07-15,58.24,38038
2005-07-18,56.5,79348
2005-07-19,56.58,40287
2005-07-20,56.78,38753
2005-07-21,56.52,77098
2005-07-22,57.02,37935
2005-07-25,57.11,33129
2005-07-26,59.02,53580
2005-07-27,58.87,26176
2005-07-28,59.46,48672
2005-07-29,60.02,44889
2005-08-01,60.61,44071
2005-08-02,60.16,62578
2005-08-03,57.17,123930
2005-08-04,56.58,47240
2005-08-05,54.96,74644
2005-08-08,51.88,141620
2005-08-09,53.25,41821
2005-08-10,52.74,64521
2005-08-11,53.34,23824
2005-08-12,52.4,31391
2005-08-15,53.53,23927
2005-08-16,52.53,16564
2005-08-17,51.98,17485
2005-08-18,50.55,29346
2005-08-19,50.23,25972
2005-08-22,50.17,64930
2005-08-23,49.88,20552
2005-08-24,50.61,36606
2005-08-25,50.63,14008
2005-08-26,49.01,26176
2005-08-29,48.69,80064
2005-08-30,48.84,22802
2005-08-31,50.03,47240
2005-09-01,50.51,23722
2005-09-02,49.82,18712
2005-09-06,51.42,27301
2005-09-07,51.34,11247
2005-09-08,50.46,22904
2005-09-09,51.12,37833
2005-09-12,51.17,15849
2005-09-13,49.94,18405
2005-09-14,48.89,21677
2005-09-15,48.18,14519
2005-09-16,49.05,59306
2005-09-19,47.82,20143
2005-09-20,47.56,67589
2005-09-21,45.33,118102
2005-09-22,45.57,71065
2005-09-23,45.23,33027
2005-09-26,46.45,25460
2005-09-27,45.95,17894
