Date,Close,Volume
2016-09-21,30.1,6005153
2016-09-22,28.8,2219594
2016-09-23,27.66,1021911
2016-09-26,27.77,292242
2016-09-27,29.98,981289
2016-09-28,33.39,1954206
2016-09-29,28.99,1614917
2016-09-30,29.22,906311
2016-10-03,26.38,1028429
2016-10-04,23.83,1273055
2016-10-05,24.78,918100
2016-10-06,26.08,826172
2016-10-07,26.26,435390
2016-10-10,25.28,347197
2016-10-11,25.52,516574
2016-10-12,26.9,310092
2016-10-13,25.97,234178
2016-10-14,26.36,212924
2016-10-17,26.27,324247
2016-10-18,25.88,163412
2016-10-19,25.46,106061
2016-10-20,26.49,98057
2016-10-21,27.48,223838
2016-10-24,28.52,272501
2016-10-25,28.8,280240
2016-10-26,28.18,181683
2016-10-27,25.52,366789
2016-10-28,25.61,165256
2016-10-31,25.18,176465
2016-11-01,25.24,88910
2016-11-02,24.43,182532
2016-11-03,22.9,402233
2016-11-04,23.87,153741
2016-11-07,22.9,205423
2016-11-08,22.8,574493
2016-11-09,22.95,548929
2016-11-10,23.43,532989
2016-11-11,25.45,1123608
2016-11-14,25.77,695161
2016-11-15,25.25,544098
2016-11-16,25.36,465736
2016-11-17,25.93,605861
2016-11-18,29.1,822409
2016-11-21,29.33,745520
2016-11-22,28.73,383029
2016-11-23,30.19,527459
2016-11-25,29.08,256055
2016-11-28,26.7,895471
2016-11-29,27.12,460249
2016-11-30,26.58,313633
2016-12-01,26.08,485297
2016-12-02,26.15,302373
2016-12-05,26.62,279037
2016-12-06,28.1,502685
2016-12-07,27.58,206090
2016-12-08,27.41,166274
2016-12-09,27.47,362283
2016-12-12,29.36,494574
2016-12-13,29.29,560294
2016-12-14,28.0,499295
2016-12-15,29.52,427941
2016-12-16,29.23,1025545
2016-12-19,29.22,324539
2016-12-20,31.1,528819
2016-12-21,30.39,324255
2016-12-22,30.32,268135
2016-12-23,30.15,104404
2016-12-27,29.94,169295
2016-12-28,28.49,230671
2016-12-29,28.38,206908
2016-12-30,27.67,285022
2017-01-03,26.93,441040
2017-01-04,27.1,420620
2017-01-05,27.45,160963
2017-01-06,27.7,236592
2017-01-09,28.44,248634
2017-01-10,28.86,208716
2017-01-11,29.75,255246
2017-01-12,29.37,143877
2017-01-13,29.35,161742
2017-01-17,28.99,68301
2017-01-18,29.01,128969
2017-01-19,29.0,96526
2017-01-20,29.26,79574
2017-01-23,29.79,74107
2017-01-24,29.65,154113
2017-01-25,30.41,249969
2017-01-26,30.78,152349
2017-01-27,30.83,133162
2017-01-30,29.75,308819
2017-01-31,29.66,335293
2017-02-01,29.59,254971
2017-02-02,29.02,75945
2017-02-03,28.92,228881
2017-02-06,28.8,82589
2017-02-07,28.55,120246
2017-02-08,28.34,61809
2017-02-09,29.04,118041
2017-02-10,29.05,94104
2017-02-13,30.06,208072
2017-02-14,30.35,470423
2017-02-15,31.67,135867
2017-02-16,33.36,434630
2017-02-17,32.41,1047616
2017-02-21,35.0,487561
2017-02-22,34.3,200103
2017-02-23,36.36,457649
2017-02-24,37.3,478079
2017-02-27,36.83,621546
2017-02-28,42.12,4087755
2017-03-01,43.05,810543
2017-03-02,42.44,441818
2017-03-03,44.6,654265
2017-03-06,42.36,712957
2017-03-07,44.08,416171
2017-03-08,43.2,258379
2017-03-09,44.38,259801
2017-03-10,45.79,508657
2017-03-13,43.35,366834
2017-03-14,41.22,479545
2017-03-15,41.55,789468
2017-03-16,40.18,459882
2017-03-17,39.51,620645
2017-03-20,38.1,682043
2017-03-21,37.55,1364422
2017-03-22,38.64,783951
2017-03-23,37.02,472478
2017-03-24,36.02,813427
2017-03-27,37.22,976596
2017-03-28,36.49,532011
2017-03-29,37.98,863953
2017-03-30,36.73,714448
2017-03-31,37.25,746176
2017-04-03,37.02,611086
2017-04-04,36.33,627569
2017-04-05,37.05,636934
2017-04-06,37.71,465836
2017-04-07,36.99,337915
2017-04-10,36.9,231595
2017-04-11,37.55,629573
2017-04-12,37.21,481712
2017-04-13,36.85,372503
2017-04-17,36.44,440891
2017-04-18,35.19,664950
2017-04-19,35.86,407968
2017-04-20,36.23,252161
2017-04-21,35.98,245104
2017-04-24,36.47,453834
