Date,Close,Volume
2009-10-29,7.0155,59509
2009-10-30,6.9366,15522
2009-11-02,6.908,41607
2009-11-03,6.8078,53077
2009-11-04,6.6933,68244
2009-11-05,6.7073,37438
2009-11-06,6.6004,3490
2009-11-09,6.4573,71801
2009-11-10,6.2855,488503
2009-11-11,6.407,177005
2009-11-12,6.4573,174683
2009-11-13,6.507,75263
2009-11-16,6.493,84298
2009-11-17,6.5,91638
2009-11-18,6.4787,35442
2009-11-19,6.6216,50291
2009-11-20,6.6004,57272
2009-11-23,6.5141,91885
2009-11-24,6.5503,8242
2009-11-25,6.5647,19700
2009-11-27,6.4787,38675
2009-11-30,6.4787,10617
2009-12-01,6.7223,85003
2009-12-02,6.8007,37998
2009-12-03,6.6577,6427
2009-12-04,6.7287,698
2009-12-07,6.7935,20260
2009-12-08,7.0868,26683
2009-12-09,7.0155,11317
2009-12-10,6.9438,9638
2009-12-11,6.9509,279
2009-12-14,6.9797,5059
2009-12-15,6.8725,6818
2009-12-16,7.0155,3214
2009-12-17,6.8725,5586
2009-12-18,6.8292,9638
2009-12-21,6.8007,48510
2009-12-22,6.9797,10475
2009-12-23,7.0155,13386
2009-12-24,7.0444,16288
2009-12-28,7.0155,25567
2009-12-29,6.8725,28917
2009-12-30,7.0087,20618
2009-12-31,7.0155,4539
2010-01-04,7.0226,16606
2010-01-05,7.0155,11873
2010-01-06,6.9438,9305
2010-01-07,7.0155,66266
2010-01-08,7.0155,10274
2010-01-11,6.9797,13131
2010-01-12,6.8153,33985
2010-01-13,6.9366,6150
2010-01-14,7.0087,3737
2010-01-15,6.9438,6474
2010-01-19,6.908,10061
2010-01-20,6.9224,6526
2010-01-21,6.7287,58501
2010-01-22,6.7005,99347
2010-01-25,6.6216,49836
2010-01-26,6.5787,56756
2010-01-27,6.6216,24447
2010-01-28,6.6216,52106
2010-01-29,6.8007,66494
2010-02-01,6.443,24028
2010-02-02,6.5858,33594
2010-02-03,6.5858,44038
2010-02-04,6.4573,60408
2010-02-05,6.5286,124963
2010-02-08,6.4638,61918
2010-02-09,6.414,49951
2010-02-10,6.3785,42605
2010-02-11,6.4787,28637
2010-02-12,6.5503,55318
2010-02-16,6.5219,26263
2010-02-17,6.443,191195
2010-02-18,6.407,101558
2010-02-19,6.3214,119068
