Date,Close,Volume
2005-02-25,45.11,1935300
2005-02-28,45.78,802300
2005-03-01,44.75,685700
2005-03-02,45.93,580800
2005-03-03,46.61,1158800
2005-03-04,47.21,817600
2005-03-07,47.22,889300
2005-03-08,45.81,1435300
2005-03-09,45.55,555100
2005-03-10,44.04,761500
2005-03-11,44.3,468700
2005-03-14,45.05,437900
2005-03-15,44.0,414500
2005-03-16,43.97,664500
2005-03-17,44.62,383500
2005-03-18,44.46,445500
2005-03-21,44.45,497000
2005-03-22,45.25,607700
2005-03-23,43.97,632300
2005-03-24,44.09,360900
2005-03-28,44.27,496600
2005-03-29,43.52,494800
2005-03-30,43.77,626400
2005-03-31,45.17,438100
2005-04-01,46.78,502200
2005-04-04,46.62,350600
2005-04-05,46.0,395200
2005-04-06,46.45,369800
2005-04-07,45.44,475300
2005-04-08,44.33,312900
2005-04-11,44.38,296900
2005-04-12,43.93,460600
2005-04-13,41.3,803000
2005-04-14,40.87,367900
2005-04-15,39.2,397400
2005-04-18,39.6,405100
2005-04-19,40.73,476800
2005-04-20,39.85,385900
2005-04-21,41.36,235200
2005-04-22,41.09,321200
2005-04-25,42.41,326500
2005-04-26,40.98,310000
2005-04-27,39.58,229000
2005-04-28,38.59,405300
2005-04-29,38.36,428200
2005-05-02,40.15,483200
2005-05-03,37.98,577400
2005-05-04,39.07,678000
2005-05-05,39.5,407400
2005-05-06,39.45,348900
2005-05-09,40.17,262400
2005-05-10,39.0,332700
2005-05-11,39.5,428100
2005-05-12,37.14,427800
2005-05-13,36.42,248700
2005-05-16,36.18,458200
2005-05-17,36.98,246100
2005-05-18,36.77,310000
2005-05-19,37.0,237900
2005-05-20,36.53,187900
2005-05-23,36.98,506400
2005-05-24,37.19,315500
2005-05-25,37.69,396300
2005-05-26,38.17,246600
2005-05-27,38.91,181200
2005-05-31,39.02,284600
2005-06-01,39.92,269300
2005-06-02,40.35,458000
2005-06-03,40.55,257200
2005-06-06,41.29,361200
2005-06-07,40.27,320400
2005-06-08,40.27,367800
2005-06-09,42.19,341400
2005-06-10,41.46,242200
2005-06-13,41.65,364600
2005-06-14,41.62,396600
2005-06-15,41.89,452200
2005-06-16,42.45,430100
2005-06-17,42.15,685100
2005-06-20,42.15,423800
2005-06-21,40.6,587300
2005-06-22,40.27,466100
2005-06-23,40.66,363300
2005-06-24,40.86,1487200
2005-06-27,43.85,885100
2005-06-28,42.79,623600
2005-06-29,43.69,583600
2005-06-30,44.01,366800
2005-07-01,44.35,322700
2005-07-05,45.16,372400
2005-07-06,44.41,365100
2005-07-07,44.15,724300
2005-07-08,44.5,477400
2005-07-11,44.45,283200
2005-07-12,45.4,243700
2005-07-13,45.0,298100
2005-07-14,43.61,306600
2005-07-15,42.98,271700
2005-07-18,42.82,366400
2005-07-19,44.26,254500
2005-07-20,44.28,194800
2005-07-21,43.7,206800
2005-07-22,45.53,235300
2005-07-25,45.87,244700
2005-07-26,46.41,365100
2005-07-27,47.08,487000
2005-07-28,47.73,377800
2005-07-29,47.5,203200
2005-08-01,47.8,292500
2005-08-02,49.2,666500
2005-08-03,49.85,706800
2005-08-04,50.55,873600
2005-08-05,50.44,660200
2005-08-08,51.85,1021100
2005-08-09,51.49,405600
2005-08-10,52.0,624500
2005-08-11,52.66,617600
2005-08-12,51.97,238300
2005-08-15,50.9,263500
2005-08-16,50.2,256000
2005-08-17,49.1,350400
2005-08-18,48.38,429700
2005-08-19,49.38,255400
2005-08-22,49.63,363100
2005-08-23,48.99,361100
2005-08-24,49.68,380200
2005-08-25,49.6,199500
2005-08-26,48.1,347000
2005-08-29,49.11,314700
2005-08-30,51.09,467800
2005-08-31,52.06,658400
2005-09-01,52.85,455300
2005-09-02,51.09,246200
2005-09-06,51.92,355500
2005-09-07,51.17,352500
2005-09-08,51.09,252400
2005-09-09,51.95,388700
2005-09-12,50.75,407500
2005-09-13,50.1,300000
2005-09-14,50.25,502600
2005-09-15,49.51,610400
2005-09-16,49.79,818300
2005-09-19,51.95,398600
2005-09-20,51.5,398600
2005-09-21,52.29,427000
2005-09-22,50.83,434500
2005-09-23,50.08,275800
2005-09-26,51.85,394300
2005-09-27,52.13,586800
2005-09-28,55.04,1396300
2005-09-29,55.9,660700
2005-09-30,55.28,377700
2005-10-03,55.06,623600
2005-10-04,53.1,581600
2005-10-05,50.7,628400
2005-10-06,48.74,723000
2005-10-07,50.7,473000
2005-10-10,49.46,351000
2005-10-11,50.19,385500
2005-10-12,48.94,384000
2005-10-13,47.63,635900
2005-10-14,48.69,714300
2005-10-17,49.88,347600
2005-10-18,46.67,486600
2005-10-19,48.41,440300
2005-10-20,46.25,518500
2005-10-21,47.01,363300
2005-10-24,48.35,319600
2005-10-25,50.4,509800
2005-10-26,51.3,545800
2005-10-27,49.3,504800
2005-10-28,51.11,531900
2005-10-31,52.4,485300
2005-11-01,53.31,513300
2005-11-02,54.92,555000
2005-11-03,55.51,500500
2005-11-04,53.15,423000
2005-11-07,52.25,428700
2005-11-08,53.14,337700
2005-11-09,51.93,560000
2005-11-10,49.85,623600
2005-11-11,50.3,325000
2005-11-14,50.88,314300
2005-11-15,50.68,415100
2005-11-16,52.26,336600
2005-11-17,53.25,320800
2005-11-18,53.23,285000
2005-11-21,54.72,237200
2005-11-22,55.72,313900
2005-11-23,54.82,325300
2005-11-25,54.96,70200
2005-11-28,53.32,537500
2005-11-29,53.76,315400
2005-11-30,54.16,483900
2005-12-01,56.65,593200
2005-12-02,56.11,491400
2005-12-05,57.19,563300
2005-12-06,57.14,439300
2005-12-07,56.67,395800
2005-12-08,58.52,754800
2005-12-09,58.18,403800
2005-12-12,59.02,271300
2005-12-13,58.3,280400
2005-12-14,59.21,248900
2005-12-15,58.14,292100
2005-12-16,55.8,310000
2005-12-19,55.4,340300
2005-12-20,56.73,211800
2005-12-21,56.7,272500
2005-12-22,56.8,178800
2005-12-23,56.18,165800
2005-12-27,53.82,335700
2005-12-28,54.6,157600
2005-12-29,54.43,256300
2005-12-30,55.03,301400
2006-01-03,57.34,424000
2006-01-04,58.39,470800
2006-01-05,56.34,515900
2006-01-06,57.45,295100
2006-01-09,57.19,296300
2006-01-10,58.17,318500
2006-01-11,58.35,234300
2006-01-12,58.2,596900
2006-01-13,58.49,292900
2006-01-17,59.19,384400
2006-01-18,59.19,351600
2006-01-19,60.11,637400
2006-01-20,60.7,696700
2006-01-23,61.8,766600
2006-01-24,61.25,390000
2006-01-25,58.76,458800
2006-01-26,58.2,674900
2006-01-27,58.68,386300
2006-01-30,59.77,367400
2006-01-31,59.7,322400
2006-02-01,57.99,477900
2006-02-02,58.09,541300
2006-02-03,57.72,360900
2006-02-06,58.5,354300
2006-02-07,54.87,734400
2006-02-08,54.8,610600
2006-02-09,52.21,626000
2006-02-10,52.57,675200
2006-02-13,50.48,1201600
2006-02-14,50.12,1242800
2006-02-15,49.18,796800
2006-02-16,50.07,897000
2006-02-17,50.32,497500
2006-02-21,53.14,553800
2006-02-22,51.87,462700
2006-02-23,53.19,880400
2006-02-24,55.05,728900
2006-02-27,53.29,834900
2006-02-28,53.17,912900
2006-03-01,54.45,520600
2006-03-02,54.9,746500
2006-03-03,55.82,444000
2006-03-06,54.13,1041300
2006-03-07,51.99,526800
2006-03-08,52.92,786600
2006-03-09,52.14,396300
2006-03-10,52.26,384900
2006-03-13,52.88,612100
2006-03-14,53.71,818300
2006-03-15,53.94,504400
2006-03-16,55.5,583800
2006-03-17,54.42,638000
2006-03-20,52.09,536400
2006-03-21,52.0,608900
2006-03-22,52.13,691400
2006-03-23,53.64,455200
2006-03-24,54.56,417300
2006-03-27,53.9,377700
2006-03-28,54.6,432200
2006-03-29,55.59,514400
2006-03-30,56.22,434400
2006-03-31,55.75,478500
2006-04-03,56.14,600800
2006-04-04,56.24,335500
2006-04-05,56.56,317800
2006-04-06,56.91,450900
2006-04-07,55.75,287400
2006-04-10,57.67,662000
2006-04-11,56.96,498000
2006-04-12,56.46,279900
2006-04-13,57.07,355100
2006-04-17,58.29,400300
2006-04-18,58.88,420900
2006-04-19,59.06,602200
2006-04-20,57.65,1023900
2006-04-21,58.09,439100
2006-04-24,57.48,483200
2006-04-25,57.06,688300
2006-04-26,56.66,583000
2006-04-27,57.09,1008400
2006-04-28,57.75,716400
2006-05-01,60.32,988600
2006-05-02,62.19,794000
2006-05-03,61.61,676300
2006-05-04,62.4,676000
2006-05-05,62.62,364400
2006-05-08,62.57,346600
2006-05-09,62.77,395300
2006-05-10,63.46,361800
2006-05-11,62.8,716200
2006-05-12,61.2,439100
2006-05-15,59.66,679700
2006-05-16,59.23,445300
2006-05-17,58.2,639100
2006-05-18,56.48,440700
2006-05-19,56.08,640000
2006-05-22,55.48,728200
2006-05-23,56.56,679700
2006-05-24,56.02,920300
2006-05-25,57.46,554100
2006-05-26,58.28,416400
2006-05-30,57.0,546500
2006-05-31,59.92,811000
2006-06-01,60.29,621500
2006-06-02,61.77,659900
2006-06-05,59.13,498800
2006-06-06,59.07,481100
2006-06-07,55.81,767600
2006-06-08,55.5,1028400
2006-06-09,54.93,469600
2006-06-12,53.52,584300
2006-06-13,51.84,597200
2006-06-14,52.52,699000
2006-06-15,54.29,600600
2006-06-16,54.41,525400
2006-06-19,51.74,684100
2006-06-20,50.93,660100
2006-06-21,51.88,815300
2006-06-22,51.88,468600
2006-06-23,53.55,669200
2006-06-26,54.18,432300
2006-06-27,53.23,799000
2006-06-28,54.29,510700
2006-06-29,55.4,565800
2006-06-30,56.89,393600
2006-07-03,57.23,182400
2006-07-05,57.03,439700
2006-07-06,56.34,372200
2006-07-07,54.88,434900
2006-07-10,54.99,429900
2006-07-11,55.82,360700
2006-07-12,55.6,343200
2006-07-13,54.81,367700
2006-07-14,55.01,455700
2006-07-17,52.04,672500
2006-07-18,51.03,717300
2006-07-19,51.58,491000
2006-07-20,49.8,702600
2006-07-21,49.23,494900
2006-07-24,50.79,404200
2006-07-25,53.92,716000
2006-07-26,55.23,862200
2006-07-27,55.77,868700
2006-07-28,56.95,845200
2006-07-31,58.64,617500
2006-08-01,58.87,617400
2006-08-02,58.45,604000
2006-08-03,58.1,588200
2006-08-04,57.28,352600
2006-08-07,57.91,332800
2006-08-08,56.35,682600
2006-08-09,56.99,681400
2006-08-10,56.89,471700
2006-08-11,56.9,391800
2006-08-14,55.41,686500
2006-08-15,55.64,498800
2006-08-16,56.62,518300
2006-08-17,55.76,544100
2006-08-18,56.29,652000
2006-08-21,56.24,428700
2006-08-22,56.29,341000
2006-08-23,54.34,583700
2006-08-24,54.45,531500
2006-08-25,55.25,480500
2006-08-28,53.7,326000
2006-08-29,53.19,920000
2006-08-30,52.48,531200
2006-08-31,52.71,561200
2006-09-01,53.31,602400
2006-09-05,53.57,367800
2006-09-06,51.31,665300
2006-09-07,51.01,671600
2006-09-08,50.0,534300
2006-09-11,48.15,610200
2006-09-12,47.56,496000
2006-09-13,48.27,584200
2006-09-14,46.76,661600
2006-09-15,46.76,501700
2006-09-18,47.32,610200
2006-09-19,46.48,634700
2006-09-20,45.29,426400
2006-09-21,45.65,683400
2006-09-22,44.76,467400
2006-09-25,45.44,979400
2006-09-26,45.96,672200
2006-09-27,46.15,516000
2006-09-28,45.74,477900
2006-09-29,45.97,393500
2006-10-02,44.92,465100
2006-10-03,42.5,991300
2006-10-04,43.21,754400
2006-10-05,43.7,822500
2006-10-06,44.04,628200
2006-10-09,43.44,573500
2006-10-10,44.3,603800
2006-10-11,43.55,539800
2006-10-12,44.05,669400
2006-10-13,44.36,397100
2006-10-16,45.58,479900
2006-10-17,45.31,469400
2006-10-18,44.77,437000
2006-10-19,46.5,551600
2006-10-20,45.9,570600
2006-10-23,46.01,528600
2006-10-24,46.68,563100
2006-10-25,47.5,848100
2006-10-26,47.34,576600
2006-10-27,46.62,324800
2006-10-30,46.01,448900
2006-10-31,46.39,582400
2006-11-01,45.58,471800
2006-11-02,45.59,556700
2006-11-03,48.12,794000
2006-11-06,50.08,1065900
2006-11-07,49.68,617000
2006-11-08,50.77,530400
2006-11-09,51.21,599900
2006-11-10,50.2,453200
2006-11-13,49.7,528800
2006-11-14,50.12,522600
2006-11-15,50.81,527200
2006-11-16,49.05,607600
2006-11-17,48.86,624500
2006-11-20,49.31,420700
2006-11-21,49.69,460400
2006-11-22,49.48,237800
2006-11-24,49.62,96700
2006-11-27,48.56,337000
2006-11-28,49.05,488100
2006-11-29,50.75,461900
2006-11-30,51.03,376400
2006-12-01,52.08,505000
2006-12-04,51.35,408800
2006-12-05,51.68,552700
2006-12-06,51.83,372200
2006-12-07,51.72,295200
2006-12-08,51.56,312000
2006-12-11,51.71,391300
2006-12-12,51.76,435700
2006-12-13,51.53,545300
2006-12-14,52.67,485000
2006-12-15,52.34,405900
2006-12-18,49.96,333200
2006-12-19,50.98,392200
2006-12-20,50.01,420100
2006-12-21,49.34,515000
2006-12-22,49.16,269100
2006-12-26,48.95,353600
2006-12-27,49.51,245100
2006-12-28,49.02,200200
2006-12-29,48.45,202100
2007-01-03,46.65,827600
2007-01-04,45.8,596400
2007-01-05,46.07,390600
2007-01-08,46.18,651100
2007-01-09,45.6,559100
2007-01-10,45.17,486400
2007-01-11,44.35,624100
2007-01-12,45.86,519200
2007-01-16,45.37,381600
2007-01-17,46.38,429600
2007-01-18,45.47,333600
2007-01-19,46.74,355100
2007-01-22,46.96,472600
2007-01-23,48.26,387000
2007-01-24,47.61,497700
2007-01-25,46.71,384300
2007-01-26,46.86,317800
2007-01-29,46.93,348200
2007-01-30,48.2,424700
2007-01-31,48.48,557600
2007-02-01,48.8,430800
2007-02-02,49.68,655700
2007-02-05,49.45,378500
2007-02-06,49.28,416400
2007-02-07,48.72,412300
2007-02-08,49.55,435000
2007-02-09,49.07,287700
2007-02-12,48.25,316118
2007-02-13,49.14,234219
2007-02-14,48.1,694204
2007-02-15,47.92,388700
2007-02-16,48.45,381800
2007-02-20,48.72,449700
2007-02-21,49.19,299200
2007-02-22,49.3,393800
2007-02-23,49.62,550400
2007-02-26,50.28,498770
2007-02-27,49.17,603700
2007-02-28,48.91,373900
2007-03-01,48.97,586622
2007-03-02,47.58,629500
2007-03-05,46.84,461100
2007-03-06,46.99,587800
2007-03-07,48.0,589600
2007-03-08,48.52,567300
2007-03-09,48.45,327900
2007-03-12,48.25,351400
2007-03-13,47.77,267800
2007-03-14,48.18,255800
2007-03-15,47.87,164200
2007-03-16,47.36,253400
2007-03-19,48.58,410400
2007-03-20,48.95,404700
2007-03-21,50.41,417800
2007-03-22,51.3,414400
2007-03-23,51.3,573000
2007-03-26,51.76,321200
2007-03-27,51.59,332100
2007-03-28,51.11,255400
2007-03-29,51.5,341100
2007-03-30,50.59,271200
2007-04-02,51.19,261900
2007-04-03,51.31,238700
2007-04-04,51.28,274200
2007-04-05,51.95,378100
2007-04-09,52.02,260000
2007-04-10,52.98,308000
2007-04-11,53.4,530900
2007-04-12,55.26,580398
2007-04-13,55.94,456700
2007-04-16,56.13,277000
2007-04-17,55.13,436400
2007-04-18,54.87,353900
2007-04-19,54.29,374600
2007-04-20,54.67,372000
2007-04-23,55.59,476800
2007-04-24,55.99,465000
2007-04-25,57.15,469800
2007-04-26,57.41,501599
2007-04-27,58.0,403870
2007-04-30,57.15,618700
2007-05-01,57.72,578400
2007-05-02,58.2,373400
2007-05-03,57.63,868600
2007-05-04,58.16,695100
2007-05-07,57.6,466200
2007-05-08,56.7,763500
2007-05-09,56.85,562100
2007-05-10,55.77,576070
2007-05-11,56.68,352300
2007-05-14,56.73,323900
2007-05-15,56.71,896800
2007-05-16,56.83,628300
2007-05-17,57.92,430900
2007-05-18,58.95,599056
2007-05-21,59.6,460600
2007-05-22,59.84,616100
2007-05-23,60.3,554400
2007-05-24,59.23,518000
2007-05-25,60.08,235800
2007-05-29,60.06,328300
2007-05-30,61.47,679700
2007-05-31,61.61,435400
2007-06-01,61.65,330200
2007-06-04,62.61,372800
2007-06-05,61.89,557400
2007-06-06,61.6,438200
2007-06-07,61.45,656000
