Date,Close,Volume
1988-01-05,7.2992,17540
1988-01-06,7.2129,159104
1988-01-07,7.2416,43846
1988-01-08,7.2129,65144
1988-01-11,7.1361,16283
1988-01-12,6.9733,50111
1988-01-13,6.8584,33824
1988-01-14,6.8298,13780
1988-01-15,6.9157,132792
1988-01-18,6.9446,12526
1988-01-19,6.983,5010
1988-01-20,6.8009,859398
1988-01-21,6.8009,12526
1988-01-22,6.8584,16283
1988-01-25,7.1361,92705
1988-01-26,7.0787,167868
1988-01-27,7.2129,26309
1988-01-28,7.2129,167868
1988-01-29,7.2129,51363
1988-02-01,7.4329,85189
1988-02-02,7.4619,17540
1988-02-03,7.5768,196687
1988-02-04,7.5768,36330
1988-02-05,7.5768,61385
1988-02-08,7.5768,120266
1988-02-09,7.5768,5010
1988-02-10,7.5768,43846
1988-02-11,7.5768,13780
1988-02-12,7.6249,11274
1988-02-16,7.6822,55121
1988-02-17,7.6536,145321
1988-02-18,7.6441,17540
1988-02-19,7.6822,182904
1988-02-22,7.6822,145321
1988-02-23,7.7395,76419
1988-02-24,7.7395,11274
1988-02-25,7.7108,38834
1988-02-26,7.6822,21296
1988-02-29,7.7395,46354
1988-03-01,7.8163,114001
1988-03-02,7.8739,37581
1988-03-03,8.1801,151586
1988-03-04,8.2858,93960
1988-03-07,8.2858,53871
1988-03-08,8.3431,76419
1988-03-09,8.3526,3760
1988-03-10,8.0652,65144
1988-03-11,8.0749,28814
1988-03-14,8.0941,16283
1988-03-15,8.1038,3760
1988-03-16,8.2378,66394
1988-03-17,8.2378,67650
1988-03-18,8.3431,63891
1988-03-21,8.3431,111499
1988-03-22,8.3526,16283
1988-03-23,8.3431,42593
1988-03-24,8.4007,80178
1988-03-25,8.4007,52618
1988-03-28,8.2858,47605
1988-03-29,8.3431,33824
1988-03-30,8.2665,38834
1988-03-31,8.2858,22550
1988-04-04,8.2092,91455
1988-04-05,8.1419,28814
1988-04-06,8.0941,40087
1988-04-07,8.1613,37581
1988-04-08,8.2474,16283
1988-04-11,8.2474,67650
1988-04-12,8.2858,12526
1988-04-13,8.2665,46354
1988-04-14,8.2378,90198
1988-04-15,8.2858,35077
1988-04-18,8.3431,65144
1988-04-19,8.621,120266
1988-04-20,8.5634,96465
1988-04-21,8.506,56377
1988-04-22,8.621,261829
1988-04-25,8.4292,70153
1988-04-26,8.506,13780
1988-04-27,8.4579,28814
1988-04-28,8.2858,62639
1988-04-29,8.3431,47605
1988-05-02,8.2858,22550
1988-05-03,8.3715,75169
1988-05-04,8.3431,85189
1988-05-05,8.3912,22550
1988-05-06,8.3143,125276
1988-05-09,8.3431,68903
1988-05-10,8.2665,32575
1988-05-11,8.0941,141563
1988-05-12,8.1226,5010
1988-05-13,8.0844,32575
1988-05-16,8.0749,30067
1988-05-17,8.1801,46354
1988-05-18,8.2665,37581
1988-05-19,8.2092,23800
1988-05-20,8.3431,61385
1988-05-23,8.2378,36330
1988-05-24,8.1801,61385
1988-05-25,8.1517,8771
1988-05-26,8.1517,31322
1988-05-27,8.2092,16283
1988-05-31,8.2378,81431
1988-06-01,8.3431,36330
1988-06-02,8.4579,150331
1988-06-03,8.4102,22550
1988-06-06,8.4007,5010
1988-06-07,8.3622,36330
1988-06-08,8.3622,139055
1988-06-09,8.5156,37581
1988-06-10,8.4963,50111
1988-06-13,8.5538,134044
1988-06-14,8.6115,45099
1988-06-15,8.621,27563
1988-06-16,8.5346,40087
1988-06-17,8.5923,18794
1988-06-20,8.6115,16283
1988-06-21,8.4579,31322
1988-06-22,8.5156,126532
1988-06-23,8.5346,86440
1988-06-24,8.4579,67650
1988-06-27,8.4007,50111
1988-06-28,8.4292,11274
1988-06-29,8.4292,71406
1988-06-30,8.5156,121519
1988-07-01,8.5156,18794
1988-07-05,8.4868,23800
1988-07-06,8.5346,18794
1988-07-07,8.4579,73915
1988-07-08,8.4579,6265
1988-07-11,8.5346,18794
1988-07-12,8.5156,5010
1988-07-13,8.5538,20044
1988-07-14,8.5156,21296
1988-07-15,8.4579,35077
1988-07-18,8.6019,105230
1988-07-19,8.4868,66394
1988-07-20,8.4868,5010
1988-07-21,8.5346,13780
1988-07-22,8.5346,46354
1988-07-25,8.5538,26309
1988-07-26,8.5346,12526
1988-07-27,8.5634,33824
1988-07-28,8.5634,33824
1988-07-29,8.4868,41342
1988-08-01,8.5346,37581
1988-08-02,8.5346,27563
1988-08-03,8.5827,7517
1988-08-04,8.621,157850
1988-08-05,8.621,50111
1988-08-08,8.6496,66394
1988-08-09,8.6496,50111
1988-08-10,8.4868,27563
1988-08-11,8.3912,37581
1988-08-12,8.3912,62639
1988-08-15,8.3143,26309
1988-08-16,8.1226,103978
1988-08-17,8.2092,37581
1988-08-18,8.2858,23800
1988-08-19,8.2568,72660
1988-08-22,8.1995,37581
1988-08-23,8.2283,38834
1988-08-24,8.1038,61385
1988-08-25,8.1226,117760
1988-08-26,8.1226,30067
1988-08-29,8.1517,56377
1988-08-30,8.1995,2505
1988-08-31,8.2283,2505
1988-09-01,8.2474,11274
1988-09-02,8.3335,291896
1988-09-06,8.4007,41342
1988-09-07,8.4579,66394
1988-09-08,8.5156,11274
1988-09-09,8.5156,7517
1988-09-12,8.5156,16283
1988-09-13,8.5923,50111
1988-09-14,8.5156,82683
1988-09-15,8.5156,15033
1988-09-16,8.5156,62639
1988-09-19,8.5634,32575
1988-09-20,8.621,15033
1988-09-21,8.621,42593
1988-09-22,8.5634,46354
1988-09-23,8.5923,15033
1988-09-26,8.5634,11274
1988-09-27,8.6115,61385
1988-09-28,8.5923,6265
1988-09-29,8.5923,12526
1988-09-30,8.5923,501109
1988-10-03,8.5156,3760
1988-10-04,8.4579,10024
1988-10-05,8.5156,7517
1988-10-06,8.5156,12526
1988-10-07,8.6115,42593
1988-10-11,8.621,6265
1988-10-12,8.5156,51363
1988-10-13,8.5634,2505
1988-10-14,8.6977,50111
1988-10-17,8.6785,48858
1988-10-18,8.6496,368314
1988-10-19,8.7358,3760
1988-10-20,8.7642,10024
1988-10-21,8.7069,61385
1988-10-24,8.6785,17540
1988-10-25,8.8507,16283
1988-10-26,8.9562,37581
1988-10-27,8.9562,142817
1988-10-28,8.9562,235520
1988-10-31,8.9849,46354
1988-11-01,8.9562,10024
1988-11-02,8.9562,45099
1988-11-03,8.9752,22550
1988-11-04,8.9849,22550
1988-11-07,8.9562,23800
1988-11-08,8.9083,52618
1988-11-09,8.8507,21296
1988-11-10,8.7934,21296
1988-11-11,8.7642,21296
1988-11-14,8.9275,42593
1988-11-15,8.9275,8771
1988-11-16,8.9849,66394
1988-11-17,9.071,45099
1988-11-18,8.9562,12526
