,Date,Close
0,2015-02-12,43.0
1,2015-02-13,41.02
2,2015-02-17,43.26
3,2015-02-18,45.0
4,2015-02-19,43.88
5,2015-02-20,45.64
6,2015-02-23,44.82
7,2015-02-24,44.98
8,2015-02-25,44.51
9,2015-02-26,44.45
10,2015-02-27,43.66
11,2015-03-02,42.93
12,2015-03-03,43.0
13,2015-03-04,43.48
14,2015-03-05,42.59
15,2015-03-06,41.01
16,2015-03-09,39.56
17,2015-03-10,39.35
18,2015-03-11,40.48
19,2015-03-12,40.42
20,2015-03-13,40.15
21,2015-03-16,42.0
22,2015-03-17,41.48
23,2015-03-18,42.42
24,2015-03-19,43.14
25,2015-03-20,43.96
26,2015-03-23,42.75
27,2015-03-24,42.49
28,2015-03-25,41.11
29,2015-03-26,41.93
30,2015-03-27,41.94
31,2015-03-30,41.99
32,2015-03-31,42.82
33,2015-04-01,43.53
34,2015-04-02,43.26
35,2015-04-06,43.38
36,2015-04-07,43.93
37,2015-04-08,44.17
38,2015-04-09,43.74
39,2015-04-10,44.17
40,2015-04-13,44.51
41,2015-04-14,43.88
42,2015-04-15,44.8
43,2015-04-16,43.96
44,2015-04-17,43.95
45,2015-04-20,43.97
46,2015-04-21,43.88
47,2015-04-22,44.65
48,2015-04-23,45.49
49,2015-04-24,44.88
50,2015-04-27,44.48
51,2015-04-28,44.25
52,2015-04-29,43.94
53,2015-04-30,43.76
54,2015-05-01,43.74
55,2015-05-04,45.16
56,2015-05-05,44.18
57,2015-05-06,44.3
58,2015-05-07,44.5
59,2015-05-08,44.98
60,2015-05-11,44.41
61,2015-05-12,44.24
62,2015-05-13,43.94
63,2015-05-14,43.48
64,2015-05-15,43.97
65,2015-05-18,45.41
66,2015-05-19,45.05
67,2015-05-20,45.25
68,2015-05-21,45.82
69,2015-05-22,46.7
70,2015-05-26,45.22
71,2015-05-27,46.26
72,2015-05-28,46.25
73,2015-05-29,46.09
74,2015-06-01,45.76
75,2015-06-02,45.0
76,2015-06-03,45.02
77,2015-06-04,45.33
78,2015-06-05,45.28
79,2015-06-08,44.99
80,2015-06-09,44.92
81,2015-06-10,46.92
82,2015-06-11,47.24
83,2015-06-12,46.53
84,2015-06-15,46.25
85,2015-06-16,47.39
86,2015-06-17,47.39
87,2015-06-18,47.42
88,2015-06-19,47.07
89,2015-06-22,46.65
90,2015-06-23,46.58
91,2015-06-24,46.01
92,2015-06-25,46.22
93,2015-06-26,45.74
94,2015-06-29,44.98
95,2015-06-30,44.9
96,2015-07-01,44.81
97,2015-07-02,44.5
98,2015-07-06,44.72
99,2015-07-07,44.2
100,2015-07-08,44.08
101,2015-07-09,43.96
102,2015-07-10,43.93
103,2015-07-13,43.55
104,2015-07-14,44.32
105,2015-07-15,44.1
106,2015-07-16,43.97
107,2015-07-17,42.95
108,2015-07-20,43.05
109,2015-07-21,42.87
110,2015-07-22,43.83
111,2015-07-23,44.07
112,2015-07-24,44.15
113,2015-07-27,44.7
114,2015-07-28,46.05
115,2015-07-29,46.25
116,2015-07-30,46.16
117,2015-07-31,47.17
118,2015-08-03,46.07
119,2015-08-04,47.29
120,2015-08-05,48.17
121,2015-08-06,48.35
122,2015-08-07,47.74
123,2015-08-10,47.22
124,2015-08-11,47.13
125,2015-08-12,47.31
126,2015-08-13,47.71
127,2015-08-14,48.38
128,2015-08-17,48.74
129,2015-08-18,48.28
130,2015-08-19,47.64
131,2015-08-20,46.04
132,2015-08-21,45.54
133,2015-08-24,43.95
134,2015-08-25,43.43
135,2015-08-26,45.4
136,2015-08-27,46.3
137,2015-08-28,48.41
138,2015-08-31,46.76
139,2015-09-01,46.52
140,2015-09-02,46.99
141,2015-09-03,46.73
142,2015-09-04,45.82
143,2015-09-08,46.94
144,2015-09-09,46.18
145,2015-09-10,45.9
146,2015-09-11,47.12
147,2015-09-14,46.18
148,2015-09-15,46.47
149,2015-09-16,46.96
150,2015-09-17,46.68
151,2015-09-18,45.07
152,2015-09-21,44.76
153,2015-09-22,44.67
154,2015-09-23,44.4
155,2015-09-24,44.98
156,2015-09-25,45.1
157,2015-09-28,43.08
158,2015-09-29,42.9
159,2015-09-30,44.43
160,2015-10-01,43.91
161,2015-10-02,43.49
162,2015-10-05,44.58
163,2015-10-06,43.98
164,2015-10-07,44.17
165,2015-10-08,43.99
166,2015-10-09,44.0
167,2015-10-12,43.74
168,2015-10-13,43.54
169,2015-10-14,42.53
170,2015-10-15,42.43
171,2015-10-16,42.48
172,2015-10-19,42.81
173,2015-10-20,42.66
174,2015-10-21,41.78
175,2015-10-22,42.19
176,2015-10-23,42.49
177,2015-10-26,43.14
178,2015-10-27,42.37
179,2015-10-28,44.3
180,2015-10-29,44.29
181,2015-10-30,44.72
182,2015-11-02,44.84
183,2015-11-03,46.07
184,2015-11-04,45.76
185,2015-11-05,46.04
186,2015-11-06,45.77
187,2015-11-09,45.23
188,2015-11-10,45.87
189,2015-11-11,45.43
190,2015-11-12,46.29
191,2015-11-13,42.46
192,2015-11-16,43.14
193,2015-11-17,43.41
194,2015-11-18,43.35
195,2015-11-19,43.14
196,2015-11-20,44.14
197,2015-11-23,43.31
198,2015-11-24,43.94
199,2015-11-25,44.17
200,2015-11-27,44.36
201,2015-11-30,44.05
202,2015-12-01,43.68
203,2015-12-02,43.33
204,2015-12-03,42.44
205,2015-12-04,43.13
206,2015-12-07,44.03
207,2015-12-08,43.7
208,2015-12-09,42.54
209,2015-12-10,42.47
210,2015-12-11,42.28
211,2015-12-14,42.42
212,2015-12-15,42.45
213,2015-12-16,43.03
214,2015-12-17,42.85
215,2015-12-18,43.4
216,2015-12-21,44.35
217,2015-12-22,45.48
218,2015-12-23,45.71
219,2015-12-24,45.42
220,2015-12-28,44.39
221,2015-12-29,45.0
222,2015-12-30,45.06
223,2015-12-31,44.51
224,2016-01-04,45.28
225,2016-01-05,46.7
226,2016-01-06,47.24
227,2016-01-07,47.75
228,2016-01-08,46.33
229,2016-01-11,45.67
230,2016-01-12,45.44
