Date,Close,Volume
2005-02-25,24.112,281531
2005-02-28,24.034,178445
2005-03-01,24.246,201953
2005-03-02,24.394,222257
2005-03-03,24.356,264157
2005-03-04,24.542,245762
2005-03-07,24.799,137443
2005-03-08,24.622,165164
2005-03-09,24.378,200163
2005-03-10,24.473,260583
2005-03-11,24.487,218430
2005-03-14,24.7,179213
2005-03-15,24.793,289069
2005-03-16,24.7,386405
2005-03-17,24.824,252022
2005-03-18,24.793,450015
2005-03-21,24.722,210891
2005-03-22,24.356,395600
2005-03-23,24.018,284086
2005-03-24,24.004,179724
2005-03-28,24.071,204888
2005-03-29,23.587,450145
2005-03-30,23.972,216512
2005-03-31,24.237,278464
2005-04-01,24.211,231972
2005-04-04,24.198,614791
2005-04-05,24.048,368392
2005-04-06,23.876,304779
2005-04-07,24.018,225839
2005-04-08,23.916,154561
2005-04-11,24.026,230820
2005-04-12,24.418,280763
2005-04-13,24.048,214214
2005-04-14,23.774,330583
2005-04-15,23.533,342463
2005-04-18,23.549,241165
2005-04-19,23.707,368521
2005-04-20,23.485,264157
2005-04-21,23.765,208465
2005-04-22,23.743,256878
2005-04-25,23.807,252022
2005-04-26,23.502,202206
2005-04-27,23.542,282936
2005-04-28,23.61,407861
2005-04-29,23.729,467386
2005-05-02,24.145,359706
2005-05-03,24.167,366862
2005-05-04,24.27,215874
2005-05-05,24.284,181132
2005-05-06,24.433,154050
2005-05-09,24.606,148304
2005-05-10,24.402,163627
2005-05-11,24.646,139359
2005-05-12,24.292,171422
2005-05-13,24.183,266836
2005-05-16,24.799,319855
2005-05-17,25.122,269777
2005-05-18,25.458,226095
2005-05-19,25.351,194157
2005-05-20,25.217,144211
2005-05-23,25.201,127481
2005-05-24,25.176,175896
2005-05-25,24.943,190072
2005-05-26,25.302,168742
2005-05-27,25.428,122498
2005-05-31,25.475,122879
2005-06-01,25.664,187898
2005-06-02,25.771,170276
2005-06-03,25.615,153797
2005-06-06,25.82,173595
2005-06-07,25.68,151623
2005-06-08,25.615,145747
