ticker,min,max,min_date,max_date
este,-75.81,73.51,2016-12-05,2016-06-06
vmc,-23.28,22.85,2016-08-15,2013-07-01
mtw,-31.25,28.16,2015-08-24,2013-03-11
drq,-58.0,41.88,2016-05-02,2015-11-09
nem,-43.35,43.34,2015-08-31,2015-03-02
ceco,-59.25,33.14,2011-11-21,2015-03-16
nsit,-23.96,28.38,2016-08-22,2017-02-27
mtn,-33.91,49.19,2015-12-21,2017-10-09
mye,-24.46,27.6,2013-06-03,2013-09-09
apa,-11.22,11.26,2017-03-13,2016-09-19
dg,-76.9,66.73,2011-09-26,2012-04-02
nuan,-19.58,17.96,2017-05-22,2016-11-28
chs,-22.66,37.15,2013-09-09,2013-03-11
jnj,-17.49,25.94,2017-08-21,2017-02-20
crus,-43.72,42.73,2012-04-30,2011-02-14
plxs,-19.43,14.39,2016-07-25,2010-11-15
emn,-39.16,48.67,2013-08-26,2013-03-04
ghl,-17.59,52.89,2010-05-17,2017-10-02
gpn,-53.04,51.47,2016-10-24,2016-05-02
wu,-34.85,34.98,2016-08-22,2017-02-27
frc,-36.17,43.87,2012-09-03,2012-03-05
gnw,-22.29,31.16,2017-08-28,2017-02-27
foe,-45.69,38.33,2016-08-29,2016-02-29
f,-67.73,71.81,2011-09-05,2011-03-14
becn,-21.99,29.54,2011-02-28,2011-08-15
trc,-43.94,52.83,2011-06-27,2011-05-23
px,-18.48,21.01,2012-09-10,2012-03-12
aroc,-59.49,48.88,2016-09-12,2016-03-14
sre,-38.98,48.46,2016-07-11,2016-01-11
tmus,-76.15,61.42,2016-07-04,2016-01-11
cys,-21.91,23.79,2015-08-24,2013-03-04
qep,-32.54,28.04,2016-08-22,2016-02-29
holx,-35.79,50.73,2017-06-12,2016-12-12
krg,-69.37,33.51,2014-08-18,2015-12-07
ocsl,-37.88,49.36,2015-07-20,2015-02-23
vrts,-13.62,16.0,2011-03-07,2011-02-28
unt,-22.56,21.62,2013-08-19,2013-02-25
two,-53.97,55.71,2013-12-02,2013-06-17
ntg,-51.42,78.34,2011-05-23,2011-02-07
mro,-40.92,34.62,2016-08-29,2016-02-29
dvn,-29.98,30.29,2012-12-24,2013-06-24
aee,-44.28,55.48,2016-08-15,2016-02-22
fico,-39.9,28.16,2016-06-13,2015-01-05
scsc,-32.66,35.14,2017-06-05,2015-12-07
podd,-47.96,34.59,2016-08-29,2016-04-04
adtn,-25.31,24.53,2017-05-15,2016-11-21
wgl,-29.91,19.95,2010-04-05,2017-10-09
syna,-46.71,46.64,2016-04-25,2015-11-02
amcx,-19.62,20.19,2017-09-11,2015-06-22
acm,-55.58,43.35,2011-01-17,2010-07-19
kra,-41.25,38.36,2013-09-09,2013-03-11
cps,-43.92,46.33,2017-06-05,2017-06-12
jcom,-37.77,41.71,2012-03-05,2011-09-19
arry,-61.74,63.98,2015-10-05,2015-04-13
smtc,-22.78,27.59,2012-09-03,2012-03-05
col,-16.64,23.71,2012-05-21,2011-11-21
semg,-24.13,24.79,2017-04-03,2016-10-03
odp,-54.93,52.1,2013-08-19,2013-03-04
mcd,-10.76,8.38,2010-08-16,2010-11-22
p,-43.36,27.93,2016-10-17,2016-04-25
ecyt,-34.1,37.25,2012-06-18,2011-12-26
kbr,-37.11,24.2,2016-09-05,2016-03-07
amc,-31.9,32.74,2014-06-23,2014-01-20
fsic,-50.62,52.68,2017-02-13,2016-01-18
scwx,-35.7,35.26,2016-10-31,2016-10-24
fcb,-46.03,47.84,2017-02-13,2016-09-05
tmhc,-71.84,69.73,2015-11-30,2016-02-15
hawk,-73.82,74.29,2014-06-09,2014-01-06
out,-31.18,30.03,2017-08-21,2017-02-27
qts,-48.42,46.89,2015-08-31,2015-03-16
ladr,-57.56,49.53,2015-08-24,2015-03-02
qtwo,-51.73,50.61,2015-10-12,2016-04-04
mobl,-24.74,24.58,2015-08-17,2015-03-23
navi,-40.95,46.52,2016-08-08,2016-02-15
vsto,-71.9,52.08,2015-09-28,2015-08-17
eri,-20.28,26.59,2016-05-09,2017-05-08
mcrn,-46.9,50.94,2016-04-04,2016-09-26
cveo,-66.6,66.6,2015-07-20,2015-07-27
nblx,-21.7,54.79,2017-08-07,2017-03-27
htz,-28.49,28.49,2016-12-05,2016-11-21
ttd,-49.09,50.62,2017-05-22,2017-07-24
arnc,-18.55,20.29,2017-07-17,2016-12-05
arch,-35.29,52.88,2017-08-28,2017-04-10
